municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Cadalso de los Vidrios,79500.0,1,3,119.0,Cadalso de los Vidrios,99202785,https://www.idealista.com/inmueble/99202785/
Cadalso de los Vidrios,189000.0,2,3,248.0,Calle Badajoz,103306135,https://www.idealista.com/inmueble/103306135/
Cadalso de los Vidrios,150000.0,3,5,160.0,Cadalso de los Vidrios,103785896,https://www.idealista.com/inmueble/103785896/
Cadalso de los Vidrios,150000.0,3,5,160.0,Cadalso de los Vidrios,103785872,https://www.idealista.com/inmueble/103785872/
Cadalso de los Vidrios,110000.0,2,4,112.0,Calle Orense no number,103536635,https://www.idealista.com/obra-nueva/103536635/
Cadalso de los Vidrios,395000.0,2,3,175.0,Cadalso de los Vidrios,100359083,https://www.idealista.com/inmueble/100359083/
Cadalso de los Vidrios,150000.0,3,3,210.0,"NUEVA, 2",103395234,https://www.idealista.com/inmueble/103395234/
Cadalso de los Vidrios,150000.0,3,3,178.0,"NUEVA, 1",103395249,https://www.idealista.com/inmueble/103395249/
Cadalso de los Vidrios,75000.0,1,3,77.0,Cadalso de los Vidrios,103759530,https://www.idealista.com/inmueble/103759530/
Cadalso de los Vidrios,67700.0,1,2,94.0,Calle Orense no number,103082863,https://www.idealista.com/obra-nueva/103082863/
Cadalso de los Vidrios,86200.0,2,3,131.0,Calle Orense no number,103082872,https://www.idealista.com/obra-nueva/103082872/
Cadalso de los Vidrios,168000.0,1,3,218.0,pedro álvarez no number,100849409,https://www.idealista.com/inmueble/100849409/
Cadalso de los Vidrios,65300.0,1,2,93.0,Calle Orense no number,103082839,https://www.idealista.com/obra-nueva/103082839/
Cadalso de los Vidrios,150000.0,2,4,139.0,Calle Valencia,103534769,https://www.idealista.com/inmueble/103534769/
Cadalso de los Vidrios,274999.0,2,4,228.0,"Calle Amapola, 18",103161706,https://www.idealista.com/inmueble/103161706/
Cadalso de los Vidrios,117000.0,2,3,109.0,fuente la peluquera,99853594,https://www.idealista.com/inmueble/99853594/
Cadalso de los Vidrios,189000.0,2,3,168.0,Calle Badajoz,102928516,https://www.idealista.com/inmueble/102928516/
Cadalso de los Vidrios,258000.0,2,2,200.0,MALLORCA,101780812,https://www.idealista.com/inmueble/101780812/
Cadalso de los Vidrios,150000.0,2,3,177.0,Calle Nueva,103538470,https://www.idealista.com/inmueble/103538470/
Cadalso de los Vidrios,150000.0,2,3,209.0,Calle Nueva,103538471,https://www.idealista.com/inmueble/103538471/
Cadalso de los Vidrios,119000.0,2,7,240.0,km1.3 carretera 542 no number,103498816,https://www.idealista.com/inmueble/103498816/
