municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Camarma de Esteruelas,399000.0,3,4,297.0,Camarma de Esteruelas,102875272,https://www.idealista.com/inmueble/102875272/
Camarma de Esteruelas,310890.0,2,4,295.0,Camarma de Esteruelas,102395106,https://www.idealista.com/inmueble/102395106/
Camarma de Esteruelas,685000.0,3,4,231.0,Camarma de Esteruelas,101979817,https://www.idealista.com/inmueble/101979817/
Camarma de Esteruelas,135000.0,2,2,60.0,Henares,103789872,https://www.idealista.com/inmueble/103789872/
Camarma de Esteruelas,119900.0,1,1,56.0,Camarma de Esteruelas,101758434,https://www.idealista.com/inmueble/101758434/
Camarma de Esteruelas,139900.0,1,1,69.0,Camarma de Esteruelas,101758467,https://www.idealista.com/inmueble/101758467/
Camarma de Esteruelas,139900.0,1,1,61.0,Camarma de Esteruelas,101758449,https://www.idealista.com/inmueble/101758449/
Camarma de Esteruelas,124900.0,1,1,54.0,Camarma de Esteruelas,101758466,https://www.idealista.com/inmueble/101758466/
Camarma de Esteruelas,119900.0,1,1,54.0,Camarma de Esteruelas,101758439,https://www.idealista.com/inmueble/101758439/
Camarma de Esteruelas,155000.0,1,2,72.0,Camarma de Esteruelas,103783037,https://www.idealista.com/inmueble/103783037/
Camarma de Esteruelas,119900.0,1,1,52.0,Camarma de Esteruelas,101758457,https://www.idealista.com/inmueble/101758457/
Camarma de Esteruelas,234167.0,1,5,130.0,Camarma de Esteruelas,98367649,https://www.idealista.com/inmueble/98367649/
Camarma de Esteruelas,385000.0,4,6,366.0,Camarma de Esteruelas,101505299,https://www.idealista.com/inmueble/101505299/
Camarma de Esteruelas,115000.0,1,1,85.0,Camarma de Esteruelas,102649033,https://www.idealista.com/inmueble/102649033/
Camarma de Esteruelas,311900.0,2,3,119.0,"Calle Gran Vía, 7",102883256,https://www.idealista.com/obra-nueva/102883256/
Camarma de Esteruelas,315900.0,2,3,119.0,"Calle Gran Vía, 7",101500144,https://www.idealista.com/obra-nueva/101500144/
Camarma de Esteruelas,309900.0,2,3,119.0,"Calle Gran Vía, 7",102883237,https://www.idealista.com/obra-nueva/102883237/
Camarma de Esteruelas,320000.0,3,5,239.0,"Calle de la Alondra, 3",100177269,https://www.idealista.com/inmueble/100177269/
Camarma de Esteruelas,298000.0,3,3,250.0,Calle La Manda,100230028,https://www.idealista.com/inmueble/100230028/
Camarma de Esteruelas,94500.0,1,0,55.0,"Henares, 2",103713608,https://www.idealista.com/inmueble/103713608/
Camarma de Esteruelas,285000.0,3,3,250.0,la Manda,103659910,https://www.idealista.com/inmueble/103659910/
Camarma de Esteruelas,289000.0,3,3,200.0,Calle La Manda,100399007,https://www.idealista.com/inmueble/100399007/
Camarma de Esteruelas,498000.0,3,5,339.0,Avenida Complutense,100694182,https://www.idealista.com/inmueble/100694182/
Camarma de Esteruelas,460000.0,4,6,345.0,Camarma de Esteruelas,102761215,https://www.idealista.com/inmueble/102761215/
Camarma de Esteruelas,265000.0,3,4,390.0,Calle Mirlo,103680526,https://www.idealista.com/inmueble/103680526/
Camarma de Esteruelas,369900.0,2,4,120.0,"Calle Gran Vía, 7",101620872,https://www.idealista.com/obra-nueva/101620872/
Camarma de Esteruelas,374980.0,4,4,319.0,Camarma de Esteruelas,103203028,https://www.idealista.com/inmueble/103203028/
Camarma de Esteruelas,93000.0,1,0,55.0,"henares, 2",103260361,https://www.idealista.com/inmueble/103260361/
Camarma de Esteruelas,239900.0,2,3,172.0,Camarma de Esteruelas,102857419,https://www.idealista.com/inmueble/102857419/
Camarma de Esteruelas,369000.0,2,4,189.0,Nuestra Señora del Pilar,103693123,https://www.idealista.com/inmueble/103693123/
Camarma de Esteruelas,285000.0,3,3,196.0,Calle la Manda,103065233,https://www.idealista.com/inmueble/103065233/
Camarma de Esteruelas,397000.0,4,5,310.0,ACACIAS,103323353,https://www.idealista.com/inmueble/103323353/
Camarma de Esteruelas,370000.0,3,4,211.0,Camarma de Esteruelas,103721726,https://www.idealista.com/inmueble/103721726/
Camarma de Esteruelas,170000.0,1,2,90.0,Golondrina,103715565,https://www.idealista.com/inmueble/103715565/
Camarma de Esteruelas,270000.0,2,4,180.0,Camino de Alcalá,99712915,https://www.idealista.com/inmueble/99712915/
Camarma de Esteruelas,500000.0,4,6,316.0,Camarma de Esteruelas,102376072,https://www.idealista.com/inmueble/102376072/
Camarma de Esteruelas,92900.0,1,0,54.0,henares no number,103247039,https://www.idealista.com/inmueble/103247039/
Camarma de Esteruelas,63000.0,1,1,48.0,Camino de Alcalá,102211064,https://www.idealista.com/inmueble/102211064/
Camarma de Esteruelas,135000.0,1,2,105.0,"Aguadores, 1",102293768,https://www.idealista.com/inmueble/102293768/
Camarma de Esteruelas,56900.0,1,1,54.0,Camino de Alcalá,102199661,https://www.idealista.com/inmueble/102199661/
Camarma de Esteruelas,100000.0,1,0,80.0,"Calle Miño, 1",84578418,https://www.idealista.com/inmueble/84578418/
Camarma de Esteruelas,190000.0,1,2,70.0,Camarma de Esteruelas,102819251,https://www.idealista.com/inmueble/102819251/
Camarma de Esteruelas,498000.0,4,5,339.0,Avenida complutense,103394291,https://www.idealista.com/inmueble/103394291/
Camarma de Esteruelas,157000.0,2,2,134.0,Calle Daganzo,92702128,https://www.idealista.com/inmueble/92702128/
