municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Carabaña,388100.0,1,3,264.0,SIERRA DE CAZORLA,102961400,https://www.idealista.com/inmueble/102961400/
Carabaña,94900.0,1,2,86.0,Avenida de Tielmes,92955269,https://www.idealista.com/inmueble/92955269/
Carabaña,119000.0,1,2,114.0,M-221,103423226,https://www.idealista.com/inmueble/103423226/
Carabaña,388100.0,1,3,264.0,SIERRA DE CAZORLA,102921906,https://www.idealista.com/inmueble/102921906/
Carabaña,57000.0,2,4,125.0,"Calle del real, 32",99116324,https://www.idealista.com/inmueble/99116324/
Carabaña,149000.0,1,9,484.0,"Calle Santa Bárbara, 3",101480179,https://www.idealista.com/inmueble/101480179/
Carabaña,180000.0,2,3,140.0,Camino de Orusco,100397657,https://www.idealista.com/inmueble/100397657/
Carabaña,160000.0,3,5,221.0,Calle de San Juan,103334416,https://www.idealista.com/inmueble/103334416/
Carabaña,110000.0,2,3,176.0,Carabaña,103851504,https://www.idealista.com/inmueble/103851504/
Carabaña,129900.0,2,2,82.0,"Palacio, 1",103107091,https://www.idealista.com/inmueble/103107091/
Carabaña,105000.0,1,5,400.0,Calle del Doctor Cortezo,100403898,https://www.idealista.com/inmueble/100403898/
Carabaña,169000.0,2,3,173.0,Camino del Embocadero,95697871,https://www.idealista.com/inmueble/95697871/
Carabaña,388100.0,1,3,264.0,Carabaña,102828362,https://www.idealista.com/inmueble/102828362/
Carabaña,94900.0,2,2,85.0,Carabaña,86204095,https://www.idealista.com/inmueble/86204095/
Carabaña,1375000.0,7,12,1500.0,Calle Madrid,103204762,https://www.idealista.com/inmueble/103204762/
Carabaña,110000.0,2,3,107.0,"Plaza de España, 2",90362880,https://www.idealista.com/inmueble/90362880/
Carabaña,195000.0,2,6,246.0,Calle Sierra de Guadarrama,103496717,https://www.idealista.com/inmueble/103496717/
Carabaña,91500.0,2,2,81.0,Alcalá Alta,103601027,https://www.idealista.com/inmueble/103601027/
Carabaña,175000.0,1,3,102.0,Calle del Palacio,99427053,https://www.idealista.com/inmueble/99427053/
Carabaña,65000.0,1,6,162.0,San Juan,100519496,https://www.idealista.com/inmueble/100519496/
Carabaña,120000.0,2,5,192.0,Calle Orusco,101299179,https://www.idealista.com/inmueble/101299179/
Carabaña,119500.0,2,3,78.0,Calle Cuevas De Altamira no number,98008168,https://www.idealista.com/inmueble/98008168/
Carabaña,132000.0,2,3,72.0,Carabaña,100586185,https://www.idealista.com/inmueble/100586185/
Carabaña,94900.0,2,2,90.0,Carabaña,98793120,https://www.idealista.com/inmueble/98793120/
Carabaña,115000.0,2,2,120.0,Calle Madrid,96395996,https://www.idealista.com/inmueble/96395996/
Carabaña,94900.0,2,2,87.0,Avenida de Tielmes,103306132,https://www.idealista.com/inmueble/103306132/
Carabaña,96000.0,1,2,61.0,Carabaña,103032229,https://www.idealista.com/inmueble/103032229/
Carabaña,58000.0,4,4,220.0,Carabaña,101650057,https://www.idealista.com/inmueble/101650057/
