municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Cercedilla,310000.0,3,5,307.0,Robledal,99894900,https://www.idealista.com/inmueble/99894900/
Cercedilla,199000.0,1,2,69.0,Ramon y Cajal,102220209,https://www.idealista.com/inmueble/102220209/
Cercedilla,182000.0,1,2,68.0,Pontezuela,98944609,https://www.idealista.com/inmueble/98944609/
Cercedilla,475000.0,4,5,174.0,Colonia Vaqueriza,102670099,https://www.idealista.com/inmueble/102670099/
Cercedilla,690000.0,5,5,495.0,Cercedilla,101245563,https://www.idealista.com/inmueble/101245563/
Cercedilla,595000.0,3,5,400.0,Cercedilla,100232668,https://www.idealista.com/inmueble/100232668/
Cercedilla,127000.0,1,1,54.0,"Calle arroyo, 11",103477372,https://www.idealista.com/inmueble/103477372/
Cercedilla,430000.0,1,3,160.0,"Avenida de la Sierra del Guadarrama, 75",102772906,https://www.idealista.com/inmueble/102772906/
Cercedilla,295000.0,1,3,120.0,Calle Linares,103140460,https://www.idealista.com/inmueble/103140460/
Cercedilla,205681.0,1,1,70.0,"Calle Carmen, 1",101925061,https://www.idealista.com/obra-nueva/101925061/
Cercedilla,190840.0,2,2,63.0,"Calle Carmen, 1",102698214,https://www.idealista.com/obra-nueva/102698214/
Cercedilla,229887.0,2,2,76.0,"Calle Carmen, 1",102698211,https://www.idealista.com/obra-nueva/102698211/
Cercedilla,315922.0,2,3,103.0,"Calle Carmen, 1",101902954,https://www.idealista.com/obra-nueva/101902954/
Cercedilla,221821.0,2,2,74.0,"Calle Carmen, 1",102698212,https://www.idealista.com/obra-nueva/102698212/
Cercedilla,192189.0,1,2,64.0,"Calle Carmen, 1",102698215,https://www.idealista.com/obra-nueva/102698215/
Cercedilla,310598.0,2,3,103.0,"Calle Carmen, 1",102698221,https://www.idealista.com/obra-nueva/102698221/
Cercedilla,340000.0,3,5,264.0,Pasaje DE SAN ANDRÉS,101720258,https://www.idealista.com/inmueble/101720258/
Cercedilla,395000.0,2,4,144.0,Cercedilla,103549193,https://www.idealista.com/inmueble/103549193/
Cercedilla,299000.0,3,6,317.0,"Calle de Emilio Serrano, 32",103418968,https://www.idealista.com/inmueble/103418968/
Cercedilla,595000.0,3,4,175.0,Calle Sotillos 2,103657257,https://www.idealista.com/inmueble/103657257/
Cercedilla,550000.0,2,5,150.0,Cercedilla,102140431,https://www.idealista.com/inmueble/102140431/
Cercedilla,570000.0,4,6,326.0,Cercedilla,101701996,https://www.idealista.com/inmueble/101701996/
Cercedilla,165000.0,1,2,74.0,Paseo de Canalejas,103263529,https://www.idealista.com/inmueble/103263529/
Cercedilla,27500.0,1,1,107.0,Calle de José Aguinaga,101764193,https://www.idealista.com/inmueble/101764193/
Cercedilla,449000.0,4,10,469.0,Cercedilla,97570412,https://www.idealista.com/inmueble/97570412/
Cercedilla,480000.0,4,5,340.0,Cercedilla,84637659,https://www.idealista.com/inmueble/84637659/
Cercedilla,235000.0,2,3,104.0,campo,102711342,https://www.idealista.com/inmueble/102711342/
Cercedilla,185000.0,2,3,103.0,Cercedilla,103565317,https://www.idealista.com/inmueble/103565317/
Cercedilla,449000.0,4,4,238.0,Cercedilla,96345768,https://www.idealista.com/inmueble/96345768/
Cercedilla,385000.0,2,4,200.0,Cercedilla,100789896,https://www.idealista.com/inmueble/100789896/
Cercedilla,360000.0,2,4,230.0,Cercedilla,102754000,https://www.idealista.com/inmueble/102754000/
Cercedilla,670000.0,5,6,389.0,Cercedilla,101167980,https://www.idealista.com/inmueble/101167980/
Cercedilla,149000.0,1,2,70.0,Cercedilla,103423248,https://www.idealista.com/inmueble/103423248/
Cercedilla,295000.0,2,4,279.0,Cercedilla,96244340,https://www.idealista.com/inmueble/96244340/
Cercedilla,300000.0,3,3,200.0,Cercedilla,103516881,https://www.idealista.com/inmueble/103516881/
Cercedilla,209000.0,2,3,152.0,Cercedilla,98265152,https://www.idealista.com/inmueble/98265152/
Cercedilla,300000.0,3,3,200.0,Cercedilla,103635384,https://www.idealista.com/inmueble/103635384/
Cercedilla,487000.0,2,2,168.0,Calle del Valle,99412827,https://www.idealista.com/inmueble/99412827/
Cercedilla,435000.0,3,6,206.0,Cercedilla,101644412,https://www.idealista.com/inmueble/101644412/
Cercedilla,199000.0,1,2,80.0,Cercedilla,103518348,https://www.idealista.com/inmueble/103518348/
Cercedilla,480000.0,4,5,330.0,Cercedilla,103518102,https://www.idealista.com/inmueble/103518102/
Cercedilla,260000.0,5,10,400.0,Cercedilla,102596834,https://www.idealista.com/inmueble/102596834/
Cercedilla,209000.0,3,5,150.0,Cercedilla,103253951,https://www.idealista.com/inmueble/103253951/
Cercedilla,550000.0,8,8,350.0,Cercedilla,102502202,https://www.idealista.com/inmueble/102502202/
Cercedilla,350000.0,3,10,300.0,Cercedilla,102468743,https://www.idealista.com/inmueble/102468743/
Cercedilla,264900.0,2,4,150.0,Cercedilla,102602689,https://www.idealista.com/inmueble/102602689/
Cercedilla,150000.0,1,2,76.0,Cercedilla,102921056,https://www.idealista.com/inmueble/102921056/
Cercedilla,182000.0,1,2,78.0,Cercedilla,103014774,https://www.idealista.com/inmueble/103014774/
Cercedilla,150000.0,1,2,80.0,Cercedilla,83967648,https://www.idealista.com/inmueble/83967648/
Cercedilla,185000.0,2,3,120.0,Cercedilla,103661020,https://www.idealista.com/inmueble/103661020/
