municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Chinchón,200000.0,1,9,600.0,"Contreras, 5",95144545,https://www.idealista.com/inmueble/95144545/
Chinchón,850000.0,5,10,787.0,"Convento, 8",99548425,https://www.idealista.com/inmueble/99548425/
Chinchón,950000.0,5,9,2000.0,"Calle Cañada, 7",452815,https://www.idealista.com/inmueble/452815/
Chinchón,69000.0,1,3,119.0,"Diseminado Vega Chinchon, km 0",102813202,https://www.idealista.com/inmueble/102813202/
Chinchón,580000.0,3,6,448.0,"Urbanización Valgrande, 30",103694168,https://www.idealista.com/inmueble/103694168/
Chinchón,130000.0,1,2,86.0,"Calle de las Mulillas, 1",103783088,https://www.idealista.com/inmueble/103783088/
Chinchón,149000.0,1,4,103.0,Chinchón,102866340,https://www.idealista.com/inmueble/102866340/
Chinchón,180000.0,3,3,168.0,Calle de Doña Francisca y Don Francisco Fausto,102526618,https://www.idealista.com/inmueble/102526618/
Chinchón,134000.0,2,3,76.0,Chinchón,103390270,https://www.idealista.com/inmueble/103390270/
Chinchón,1400000.0,8,10,978.0,Chinchón,98890750,https://www.idealista.com/inmueble/98890750/
Chinchón,1285000.0,8,10,929.0,Chinchón,103199750,https://www.idealista.com/inmueble/103199750/
Chinchón,308000.0,2,4,421.0,Avenida virreina,103432005,https://www.idealista.com/inmueble/103432005/
Chinchón,890000.0,5,5,740.0,Chinchón,103301472,https://www.idealista.com/inmueble/103301472/
Chinchón,450000.0,3,6,300.0,Calle de la Cerca,103275930,https://www.idealista.com/inmueble/103275930/
Chinchón,475000.0,8,8,362.0,"Calle de Morata, 35",103155258,https://www.idealista.com/inmueble/103155258/
Chinchón,189000.0,3,6,328.0,SOLARES,103318985,https://www.idealista.com/inmueble/103318985/
Chinchón,475000.0,10,8,351.0,Chinchón,100474506,https://www.idealista.com/inmueble/100474506/
Chinchón,116000.0,1,4,167.0,"Calle de Quiñones, 6",103758837,https://www.idealista.com/inmueble/103758837/
Chinchón,195000.0,2,3,120.0,Chinchón,102163673,https://www.idealista.com/inmueble/102163673/
Chinchón,319900.0,1,4,100.0,Calle de la Chinchona,103238717,https://www.idealista.com/inmueble/103238717/
Chinchón,350000.0,2,5,266.0,Quiñones,96664073,https://www.idealista.com/inmueble/96664073/
Chinchón,239000.0,3,5,230.0,Travesía zurita chinchon,103543763,https://www.idealista.com/inmueble/103543763/
Chinchón,275000.0,1,3,108.0,Chinchón,103184553,https://www.idealista.com/inmueble/103184553/
Chinchón,240000.0,2,5,245.0,Calle de Concepción,101879214,https://www.idealista.com/inmueble/101879214/
Chinchón,890000.0,5,5,740.0,Chinchón,103155064,https://www.idealista.com/inmueble/103155064/
Chinchón,1400000.0,7,10,900.0,Chinchón,101301387,https://www.idealista.com/inmueble/101301387/
Chinchón,105500.0,1,4,96.0,Calle de Morata,103645917,https://www.idealista.com/inmueble/103645917/
Chinchón,289900.0,2,3,209.0,Calle Francisca y Francisco Fausto,92776466,https://www.idealista.com/inmueble/92776466/
Chinchón,310000.0,5,7,410.0,Virreina,96205523,https://www.idealista.com/inmueble/96205523/
Chinchón,1400000.0,10,10,950.0,Chinchón,100979982,https://www.idealista.com/inmueble/100979982/
Chinchón,160000.0,1,2,55.0,Chinchón,103209463,https://www.idealista.com/inmueble/103209463/
Chinchón,160000.0,1,3,177.0,Los Almendros,102704621,https://www.idealista.com/inmueble/102704621/
Chinchón,130000.0,1,3,190.0,Diseminado Vega Chinchon,102840610,https://www.idealista.com/inmueble/102840610/
Chinchón,229000.0,3,5,234.0,Calle Morata,95776151,https://www.idealista.com/inmueble/95776151/
Chinchón,1400000.0,6,7,730.0,Chinchón,102313774,https://www.idealista.com/inmueble/102313774/
Chinchón,259000.0,3,4,230.0,Calle de Morata,96258968,https://www.idealista.com/inmueble/96258968/
Chinchón,1400000.0,6,12,805.0,Chinchón,99405606,https://www.idealista.com/inmueble/99405606/
Chinchón,175000.0,2,3,200.0,Carretera de Madrid,90939362,https://www.idealista.com/inmueble/90939362/
Chinchón,225000.0,4,4,238.0,Don Fernando y doña Teresa Cabrera,101767330,https://www.idealista.com/inmueble/101767330/
Chinchón,287000.0,3,3,152.0,Juan Arias,102699439,https://www.idealista.com/inmueble/102699439/
Chinchón,1400000.0,7,11,805.0,Chinchón,103035405,https://www.idealista.com/inmueble/103035405/
Chinchón,470000.0,5,6,427.0,Calle de la Virgen de Gracia,101190750,https://www.idealista.com/inmueble/101190750/
Chinchón,1400000.0,6,11,805.0,Chinchón,103630827,https://www.idealista.com/inmueble/103630827/
Chinchón,395000.0,6,10,616.0,Chinchón,84359264,https://www.idealista.com/inmueble/84359264/
Chinchón,499000.0,1,4,120.0,Chinchón,101216807,https://www.idealista.com/inmueble/101216807/
Chinchón,1400000.0,5,7,730.0,Chinchón,99140851,https://www.idealista.com/inmueble/99140851/
Chinchón,1400000.0,7,10,950.0,Chinchón,98066612,https://www.idealista.com/inmueble/98066612/
Chinchón,215000.0,3,3,236.0,Chinchón,103528784,https://www.idealista.com/inmueble/103528784/
Chinchón,398000.0,6,6,573.0,Calle del Espejo,100731699,https://www.idealista.com/inmueble/100731699/
Chinchón,135000.0,1,2,60.0,Calle de Abapies,103084603,https://www.idealista.com/inmueble/103084603/
