municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Ciempozuelos,140000.0,1,2,127.0,Calle de las Estrellas,97084194,https://www.idealista.com/inmueble/97084194/
Ciempozuelos,125000.0,1,3,88.0,Calle de Jerónimo del Moral,102746458,https://www.idealista.com/inmueble/102746458/
Ciempozuelos,119000.0,1,3,81.0,Los Cestos - Belén - Las Eras,103045777,https://www.idealista.com/inmueble/103045777/
Ciempozuelos,300000.0,2,4,272.0,Cañadas del Teide,103750836,https://www.idealista.com/inmueble/103750836/
Ciempozuelos,110000.0,1,2,60.0,Calle del Doctor Rivas,103760920,https://www.idealista.com/inmueble/103760920/
Ciempozuelos,139000.0,2,3,93.0,Calle Caretos,97742231,https://www.idealista.com/inmueble/97742231/
Ciempozuelos,269000.0,2,3,182.0,Calle Cañadas del Teide,103782544,https://www.idealista.com/inmueble/103782544/
Ciempozuelos,170000.0,2,3,232.0,"Callejón del Prado, 2",103781679,https://www.idealista.com/inmueble/103781679/
Ciempozuelos,120000.0,1,2,75.0,Calle de las Estrellas,102612827,https://www.idealista.com/inmueble/102612827/
Ciempozuelos,183750.0,3,3,149.0,Calle de Nicanor Zabaleta,103779710,https://www.idealista.com/inmueble/103779710/
Ciempozuelos,160000.0,1,3,149.0,Doctor Rivas,102172509,https://www.idealista.com/inmueble/102172509/
Ciempozuelos,410000.0,3,4,423.0,Calle de Antonio Cabezón,101641193,https://www.idealista.com/inmueble/101641193/
Ciempozuelos,140000.0,1,3,78.0,parque olimpia,103771413,https://www.idealista.com/inmueble/103771413/
Ciempozuelos,88000.0,1,1,37.0,Lucero,103745747,https://www.idealista.com/inmueble/103745747/
Ciempozuelos,105000.0,1,2,65.0,San Benito - Soledad - Hispanidad,92748942,https://www.idealista.com/inmueble/92748942/
Ciempozuelos,493500.0,10,10,930.0,"Avenida de Belén, 38",103384047,https://www.idealista.com/inmueble/103384047/
Ciempozuelos,59000.0,1,3,80.0,Vereda del Prado no number,99495403,https://www.idealista.com/inmueble/99495403/
Ciempozuelos,480000.0,4,6,465.0,Travesía de Beatriz Galindo,103127870,https://www.idealista.com/inmueble/103127870/
Ciempozuelos,645000.0,7,8,887.0,Camino de Seseña,103232698,https://www.idealista.com/inmueble/103232698/
Ciempozuelos,181500.0,2,2,107.0,Calle de la Cruz Antigua,99445442,https://www.idealista.com/inmueble/99445442/
Ciempozuelos,119900.0,1,2,75.0,Los Cestos - Belén - Las Eras,103557733,https://www.idealista.com/inmueble/103557733/
Ciempozuelos,139000.0,2,2,90.0,Santa Clara,103355825,https://www.idealista.com/inmueble/103355825/
Ciempozuelos,344900.0,4,6,516.0,Calle la Virgen,103005353,https://www.idealista.com/inmueble/103005353/
Ciempozuelos,180000.0,1,2,71.0,Calle la luna,103213192,https://www.idealista.com/inmueble/103213192/
Ciempozuelos,295000.0,2,3,246.0,Vereda DEL PRADO,103094876,https://www.idealista.com/inmueble/103094876/
Ciempozuelos,148000.0,2,2,87.0,"Avenida madrid, 3",103707866,https://www.idealista.com/inmueble/103707866/
Ciempozuelos,81000.0,1,3,76.0,Calle Olimpia,99722814,https://www.idealista.com/inmueble/99722814/
Ciempozuelos,294000.0,8,8,250.0,Cuevas - Ilustración,95320036,https://www.idealista.com/inmueble/95320036/
Ciempozuelos,131000.0,2,4,105.0,Casco Antiguo sur,90563755,https://www.idealista.com/inmueble/90563755/
Ciempozuelos,410000.0,3,4,380.0,Los Cestos - Belén - Las Eras,102704176,https://www.idealista.com/inmueble/102704176/
Ciempozuelos,115000.0,1,1,75.0,Casco Antiguo norte,102850400,https://www.idealista.com/inmueble/102850400/
Ciempozuelos,135000.0,2,3,110.0,"Avenida de la ilustración, 12",103700423,https://www.idealista.com/inmueble/103700423/
Ciempozuelos,96000.0,1,3,86.0,Calle de Jerónimo del Moral,103760847,https://www.idealista.com/inmueble/103760847/
Ciempozuelos,120000.0,1,1,72.0,Calle Cuevas del Consuelo,102805069,https://www.idealista.com/inmueble/102805069/
Ciempozuelos,130000.0,2,2,108.0,Calle de la Cruz Antigua,98733375,https://www.idealista.com/inmueble/98733375/
Ciempozuelos,149000.0,2,3,83.0,Avenida de Belén,103537142,https://www.idealista.com/inmueble/103537142/
Ciempozuelos,175000.0,2,3,129.0,Travesía de la Cruz Verde,100552107,https://www.idealista.com/inmueble/100552107/
Ciempozuelos,146000.0,2,3,83.0,Avenida de Belén,103629503,https://www.idealista.com/inmueble/103629503/
Ciempozuelos,344900.0,5,8,516.0,Casco Antiguo sur,98616237,https://www.idealista.com/inmueble/98616237/
Ciempozuelos,299999.0,4,6,523.0,Casco Antiguo sur,100703668,https://www.idealista.com/inmueble/100703668/
Ciempozuelos,150000.0,2,3,115.0,Plaza MAYOR,102446780,https://www.idealista.com/inmueble/102446780/
Ciempozuelos,129000.0,1,2,78.0,Avenida del Consuelo,103140600,https://www.idealista.com/inmueble/103140600/
Ciempozuelos,167361.0,3,3,201.0,Calle del Pintor,103595556,https://www.idealista.com/inmueble/103595556/
Ciempozuelos,224000.0,5,5,145.0,Calle del carmen,103422890,https://www.idealista.com/inmueble/103422890/
Ciempozuelos,127000.0,2,3,92.0,Calle Caretos,102672704,https://www.idealista.com/inmueble/102672704/
Ciempozuelos,104900.0,1,2,61.0,Calle de la Luna,102855018,https://www.idealista.com/inmueble/102855018/
Ciempozuelos,257500.0,2,3,179.0,Travesía de San Sebastián,92178342,https://www.idealista.com/inmueble/92178342/
Ciempozuelos,160000.0,2,3,93.0,Paseo de la Estación,103714206,https://www.idealista.com/inmueble/103714206/
Ciempozuelos,93000.0,1,1,55.0,España,100518059,https://www.idealista.com/inmueble/100518059/
Ciempozuelos,80000.0,1,1,73.0,Avenida Venerable Madre María Antonia de la Miseri,103306149,https://www.idealista.com/inmueble/103306149/
