municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Cobeña,690000.0,3,4,360.0,Cobeña,103608450,https://www.idealista.com/inmueble/103608450/
Cobeña,635000.0,3,4,317.0,Calle Olivo,95600785,https://www.idealista.com/inmueble/95600785/
Cobeña,439000.0,4,6,215.0,LIRIO,102356761,https://www.idealista.com/inmueble/102356761/
Cobeña,900000.0,3,5,312.0,Calle Viñuelas,102213093,https://www.idealista.com/inmueble/102213093/
Cobeña,650000.0,3,4,271.0,Clavel,100108967,https://www.idealista.com/inmueble/100108967/
Cobeña,450000.0,3,4,190.0,Calle Arenal,102820838,https://www.idealista.com/inmueble/102820838/
Cobeña,320000.0,2,4,242.0,Calle del Olivar,100972963,https://www.idealista.com/inmueble/100972963/
Cobeña,670000.0,3,4,290.0,Calle Clavel,98932388,https://www.idealista.com/inmueble/98932388/
Cobeña,499000.0,3,5,261.0,Callejón Begonia,101494283,https://www.idealista.com/inmueble/101494283/
Cobeña,150000.0,1,3,68.0,Olivo,103687923,https://www.idealista.com/inmueble/103687923/
Cobeña,353900.0,3,4,160.0,Travesía del Olivo,103352388,https://www.idealista.com/inmueble/103352388/
Cobeña,130000.0,1,1,47.0,Calle Conquistadores,103153715,https://www.idealista.com/inmueble/103153715/
Cobeña,260000.0,1,3,90.0,Avenida Guadalajara,101541969,https://www.idealista.com/inmueble/101541969/
Cobeña,400000.0,2,5,307.0,Cobeña,101669198,https://www.idealista.com/inmueble/101669198/
Cobeña,532200.0,3,7,279.0,Cobeña,103331616,https://www.idealista.com/inmueble/103331616/
Cobeña,749990.0,7,6,441.0,Calle Conquistadores,103686959,https://www.idealista.com/inmueble/103686959/
Cobeña,338500.0,2,3,89.0,Calle Ajalvir no number,102983477,https://www.idealista.com/obra-nueva/102983477/
Cobeña,317600.0,2,3,93.0,Calle Ajalvir no number,102983033,https://www.idealista.com/obra-nueva/102983033/
Cobeña,445700.0,3,4,137.0,Calle Ajalvir no number,102983570,https://www.idealista.com/obra-nueva/102983570/
Cobeña,427500.0,3,4,112.0,Calle Ajalvir no number,102983254,https://www.idealista.com/obra-nueva/102983254/
Cobeña,342800.0,3,3,106.0,Calle Ajalvir no number,102983453,https://www.idealista.com/obra-nueva/102983453/
Cobeña,225741.0,2,2,77.0,"Calle Miguel Hernández, 85",101321115,https://www.idealista.com/obra-nueva/101321115/
Cobeña,319590.0,2,4,114.0,"Calle Miguel Hernández, 85",101321149,https://www.idealista.com/obra-nueva/101321149/
Cobeña,289240.0,2,3,99.0,"Calle Miguel Hernández, 85",101321141,https://www.idealista.com/obra-nueva/101321141/
Cobeña,1536000.0,13,27,718.0,Carretera alcala torrelaguna,103084279,https://www.idealista.com/inmueble/103084279/
Cobeña,647000.0,2,3,336.0,Cobeña,103112780,https://www.idealista.com/inmueble/103112780/
Cobeña,589000.0,5,5,312.0,Calle Dalia,101379442,https://www.idealista.com/inmueble/101379442/
Cobeña,640000.0,5,5,293.0,Calle Dalia,103181110,https://www.idealista.com/inmueble/103181110/
Cobeña,540000.0,3,4,300.0,Cobeña,100598178,https://www.idealista.com/inmueble/100598178/
Cobeña,369000.0,3,3,255.0,Cobeña,101985591,https://www.idealista.com/inmueble/101985591/
