municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Collado Villalba,999000.0,4,4,446.0,Matalpino,102654329,https://www.idealista.com/inmueble/102654329/
Collado Villalba,255000.0,2,2,97.0,Calle jazmines,101289203,https://www.idealista.com/inmueble/101289203/
Collado Villalba,598000.0,2,5,164.0,Maestro Acevedo,103295297,https://www.idealista.com/inmueble/103295297/
Collado Villalba,1300000.0,6,8,361.0,Portillo de la Mina,103177651,https://www.idealista.com/inmueble/103177651/
Collado Villalba,165000.0,1,1,56.0,Federico García Lorca,103322536,https://www.idealista.com/inmueble/103322536/
Collado Villalba,730000.0,5,5,326.0,Dehesa - El Soto,102794239,https://www.idealista.com/inmueble/102794239/
Collado Villalba,195000.0,2,4,180.0,Villalba Estación,103323520,https://www.idealista.com/inmueble/103323520/
Collado Villalba,250000.0,2,3,132.0,Calle Islas Cies,103120943,https://www.idealista.com/inmueble/103120943/
Collado Villalba,365000.0,3,3,145.0,Los Valles,103754287,https://www.idealista.com/inmueble/103754287/
Collado Villalba,219000.0,2,2,83.0,Villalba Estación,100129067,https://www.idealista.com/inmueble/100129067/
Collado Villalba,950000.0,4,5,460.0,Fontenebro - Altavista,96591486,https://www.idealista.com/inmueble/96591486/
Collado Villalba,275000.0,2,3,108.0,Calle los Madroños,102595197,https://www.idealista.com/inmueble/102595197/
Collado Villalba,610000.0,5,8,425.0,Carlos Ruiz,101892087,https://www.idealista.com/inmueble/101892087/
Collado Villalba,950000.0,5,5,580.0,Fontenebro - Altavista,31837969,https://www.idealista.com/inmueble/31837969/
Collado Villalba,220000.0,1,3,86.0,Villalba Pueblo,103867762,https://www.idealista.com/inmueble/103867762/
Collado Villalba,1090000.0,5,4,536.0,Villalba Estación,100420720,https://www.idealista.com/inmueble/100420720/
Collado Villalba,449000.0,5,6,850.0,Husillo,95466516,https://www.idealista.com/inmueble/95466516/
Collado Villalba,160000.0,1,2,53.0,Isla de Salvora,101563436,https://www.idealista.com/inmueble/101563436/
Collado Villalba,194000.0,1,2,86.0,Parque de la Coruña - Las Suertes,102435741,https://www.idealista.com/inmueble/102435741/
Collado Villalba,180000.0,1,1,55.0,"Calle real, 52",103787125,https://www.idealista.com/inmueble/103787125/
Collado Villalba,165000.0,1,1,59.0,Villalba Estación,103363253,https://www.idealista.com/inmueble/103363253/
Collado Villalba,667000.0,5,6,539.0,Los Negrales,102813800,https://www.idealista.com/inmueble/102813800/
