municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Colmenar de Oreja,219000.0,6,4,408.0,Avenida de las Naciones,103871181,https://www.idealista.com/inmueble/103871181/
Colmenar de Oreja,195000.0,1,3,115.0,Colmenar de Oreja,102946380,https://www.idealista.com/inmueble/102946380/
Colmenar de Oreja,176000.0,2,5,192.0,ORENSE,102530483,https://www.idealista.com/inmueble/102530483/
Colmenar de Oreja,267000.0,3,4,240.0,Calle de Aranjuez,103214960,https://www.idealista.com/inmueble/103214960/
Colmenar de Oreja,175000.0,3,6,372.0,Colmenar de Oreja,103870330,https://www.idealista.com/inmueble/103870330/
Colmenar de Oreja,266000.0,3,3,220.0,Calle Noruega,103850782,https://www.idealista.com/inmueble/103850782/
Colmenar de Oreja,200000.0,3,3,251.0,Avenida de las naciones,103223802,https://www.idealista.com/inmueble/103223802/
Colmenar de Oreja,790000.0,5,3,519.0,Calle Gualija,99070192,https://www.idealista.com/inmueble/99070192/
Colmenar de Oreja,199000.0,3,5,257.0,Calle Polonia,103442561,https://www.idealista.com/inmueble/103442561/
Colmenar de Oreja,230000.0,2,3,199.0,Colmenar de Oreja,103858115,https://www.idealista.com/inmueble/103858115/
Colmenar de Oreja,161500.0,3,7,425.0,"Calle del Enebro, 14",101142840,https://www.idealista.com/inmueble/101142840/
Colmenar de Oreja,351000.0,4,4,300.0,Calle gerona,103320900,https://www.idealista.com/inmueble/103320900/
Colmenar de Oreja,260000.0,3,4,204.0,Calle Noruega,99070980,https://www.idealista.com/inmueble/99070980/
Colmenar de Oreja,223000.0,2,9,439.0,Avenida de las Naciones,92541489,https://www.idealista.com/inmueble/92541489/
Colmenar de Oreja,279000.0,3,5,209.0,Jarama,102537074,https://www.idealista.com/inmueble/102537074/
Colmenar de Oreja,223000.0,6,6,438.0,"Avenida de las Naciones, 94",102428104,https://www.idealista.com/inmueble/102428104/
Colmenar de Oreja,1500000.0,0,0,2247.0,Camino M-318 no number,91488660,https://www.idealista.com/inmueble/91488660/
Colmenar de Oreja,250000.0,4,6,700.0,NENE,100899028,https://www.idealista.com/inmueble/100899028/
Colmenar de Oreja,280000.0,2,4,110.0,Colmenar de Oreja,102607518,https://www.idealista.com/inmueble/102607518/
Colmenar de Oreja,207500.0,1,3,347.0,Calle España,100938154,https://www.idealista.com/inmueble/100938154/
Colmenar de Oreja,330000.0,2,3,400.0,Calle de los Lirios,103546880,https://www.idealista.com/inmueble/103546880/
Colmenar de Oreja,990000.0,0,0,2361.0,convento,99453380,https://www.idealista.com/inmueble/99453380/
Colmenar de Oreja,219000.0,2,6,350.0,Calle Jarama,103180281,https://www.idealista.com/inmueble/103180281/
Colmenar de Oreja,175000.0,3,6,353.0,Calle Gerona,99053046,https://www.idealista.com/inmueble/99053046/
Colmenar de Oreja,236000.0,4,4,327.0,Calle Guadarrama,103626228,https://www.idealista.com/inmueble/103626228/
Colmenar de Oreja,219000.0,3,4,129.0,Calle Madrid,103493755,https://www.idealista.com/inmueble/103493755/
Colmenar de Oreja,145000.0,2,3,97.0,Calle Ciudad Real,103837625,https://www.idealista.com/inmueble/103837625/
Colmenar de Oreja,199500.0,3,3,265.0,"GUALIJA, 543",94965168,https://www.idealista.com/inmueble/94965168/
