municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Colmenar Viejo,575933.0,3,4,289.0,Calle Margarita Sala no number,102997548,https://www.idealista.com/obra-nueva/102997548/
Colmenar Viejo,570933.0,3,4,289.0,Calle Margarita Sala no number,102997586,https://www.idealista.com/obra-nueva/102997586/
Colmenar Viejo,565933.0,3,4,289.0,Calle Margarita Sala no number,102997564,https://www.idealista.com/obra-nueva/102997564/
Colmenar Viejo,439000.0,5,4,292.0,Rosalía de Castro,101214903,https://www.idealista.com/inmueble/101214903/
Colmenar Viejo,610000.0,4,4,259.0,Pedro Lázaro,102907419,https://www.idealista.com/inmueble/102907419/
Colmenar Viejo,580000.0,3,3,257.0,Pedro Lázaro,103760617,https://www.idealista.com/inmueble/103760617/
Colmenar Viejo,430000.0,2,2,75.0,"LEGAZPI, 12",103647017,https://www.idealista.com/inmueble/103647017/
Colmenar Viejo,490000.0,3,4,250.0,AV ANDALUCIA,103349526,https://www.idealista.com/inmueble/103349526/
Colmenar Viejo,590933.0,3,4,289.0,Calle Margarita Sala no number,102997602,https://www.idealista.com/obra-nueva/102997602/
Colmenar Viejo,483900.0,3,5,139.0,"Calle Luis Cancela, 2",100457627,https://www.idealista.com/obra-nueva/100457627/
Colmenar Viejo,600000.0,3,4,232.0,Calle cadiz,103355054,https://www.idealista.com/inmueble/103355054/
Colmenar Viejo,290000.0,2,3,85.0,RIO ESLA,103653067,https://www.idealista.com/inmueble/103653067/
Colmenar Viejo,450000.0,2,4,233.0,Travesía DE DOS MAYO,103648390,https://www.idealista.com/inmueble/103648390/
Colmenar Viejo,565000.0,3,3,267.0,Paseo de la Estación esquina Doctor Torres Feced no number,97754493,https://www.idealista.com/obra-nueva/97754493/
Colmenar Viejo,580000.0,3,3,234.0,Paseo de la Estación esquina Doctor Torres Feced no number,101612563,https://www.idealista.com/obra-nueva/101612563/
Colmenar Viejo,405000.0,2,4,159.0,Calle del pilar de zaragoza,103352010,https://www.idealista.com/inmueble/103352010/
Colmenar Viejo,379900.0,3,3,153.0,"Camino de la Corredera, 3",103873624,https://www.idealista.com/obra-nueva/103873624/
Colmenar Viejo,385000.0,2,2,84.0,magallanes,103451286,https://www.idealista.com/inmueble/103451286/
Colmenar Viejo,620000.0,3,5,331.0,"Calle de los Geranios, 1",102209579,https://www.idealista.com/inmueble/102209579/
Colmenar Viejo,565000.0,2,5,287.0,"Avenida Séptima, 11",102636552,https://www.idealista.com/inmueble/102636552/
Colmenar Viejo,363000.0,2,4,153.0,Calle Juan Miro,101438988,https://www.idealista.com/inmueble/101438988/
Colmenar Viejo,235792.0,2,3,136.0,"Calle Blas de Lezo, 19",103873490,https://www.idealista.com/obra-nueva/103873490/
Colmenar Viejo,232965.0,2,3,124.0,"Calle Blas de Lezo, 19",103873504,https://www.idealista.com/obra-nueva/103873504/
Colmenar Viejo,209322.0,2,3,103.0,"Calle Blas de Lezo, 19",103873389,https://www.idealista.com/obra-nueva/103873389/
Colmenar Viejo,209333.0,2,3,103.0,"Calle Blas de Lezo, 19",103873474,https://www.idealista.com/obra-nueva/103873474/
Colmenar Viejo,201547.0,2,3,103.0,"Calle Blas de Lezo, 19",103862028,https://www.idealista.com/obra-nueva/103862028/
Colmenar Viejo,230665.0,2,3,103.0,"Calle Blas de Lezo, 19",103873466,https://www.idealista.com/obra-nueva/103873466/
Colmenar Viejo,230243.0,2,3,101.0,"Calle Blas de Lezo, 19",103873431,https://www.idealista.com/obra-nueva/103873431/
Colmenar Viejo,207286.0,2,3,101.0,"Calle Blas de Lezo, 19",103873399,https://www.idealista.com/obra-nueva/103873399/
Colmenar Viejo,222436.0,2,3,102.0,"Calle Blas de Lezo, 19",103873430,https://www.idealista.com/obra-nueva/103873430/
Colmenar Viejo,235792.0,2,3,126.0,"Calle Blas de Lezo, 19",103873493,https://www.idealista.com/obra-nueva/103873493/
Colmenar Viejo,231108.0,2,3,136.0,"Calle Blas de Lezo, 19",103873388,https://www.idealista.com/obra-nueva/103873388/
Colmenar Viejo,227523.0,2,3,135.0,"Calle Blas de Lezo, 19",103873507,https://www.idealista.com/obra-nueva/103873507/
Colmenar Viejo,236140.0,2,3,104.0,"Calle Blas de Lezo, 19",103873390,https://www.idealista.com/obra-nueva/103873390/
Colmenar Viejo,229990.0,2,3,193.0,"Calle Blas de Lezo, 19",103873503,https://www.idealista.com/obra-nueva/103873503/
Colmenar Viejo,231519.0,2,3,194.0,"Calle Blas de Lezo, 19",103873506,https://www.idealista.com/obra-nueva/103873506/
Colmenar Viejo,398000.0,2,4,136.0,Calle de los Carrilejos,102898687,https://www.idealista.com/inmueble/102898687/
Colmenar Viejo,299990.0,2,4,123.0,Calle de Zurbarán,103271707,https://www.idealista.com/inmueble/103271707/
Colmenar Viejo,185000.0,1,3,81.0,Calle de la Navalaosa,102635254,https://www.idealista.com/inmueble/102635254/
Colmenar Viejo,420000.0,3,3,234.0,San Andrés,103184322,https://www.idealista.com/inmueble/103184322/
Colmenar Viejo,250000.0,2,2,103.0,huertas,103857090,https://www.idealista.com/inmueble/103857090/
Colmenar Viejo,470000.0,2,3,283.0,Nuñez de Balboa no number,103774439,https://www.idealista.com/inmueble/103774439/
Colmenar Viejo,168000.0,2,3,90.0,Calle RIO DUERO,103557647,https://www.idealista.com/inmueble/103557647/
Colmenar Viejo,335000.0,2,4,122.0,amargura,103818794,https://www.idealista.com/inmueble/103818794/
Colmenar Viejo,369000.0,3,3,230.0,El Olivar - La Magdalena,103829171,https://www.idealista.com/inmueble/103829171/
Colmenar Viejo,185000.0,1,3,85.0,ISLA LANZAROTE no number,103802676,https://www.idealista.com/inmueble/103802676/
Colmenar Viejo,650000.0,3,3,249.0,"SALVADOR DALI, 7",103732450,https://www.idealista.com/inmueble/103732450/
Colmenar Viejo,175000.0,2,3,85.0,URUGUAY,103446950,https://www.idealista.com/inmueble/103446950/
Colmenar Viejo,599000.0,4,5,332.0,Calle GIMIALCON,103753891,https://www.idealista.com/inmueble/103753891/
Colmenar Viejo,470000.0,3,4,290.0,antonio machado,103761362,https://www.idealista.com/inmueble/103761362/
