municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Colmenarejo,695000.0,6,7,337.0,Calle del Arroyo del Membrillo,101226447,https://www.idealista.com/inmueble/101226447/
Colmenarejo,185000.0,1,2,80.0,Colmenarejo,103807645,https://www.idealista.com/inmueble/103807645/
Colmenarejo,184000.0,1,2,72.0,"Calle Praofuentes, 20",99376441,https://www.idealista.com/inmueble/99376441/
Colmenarejo,440000.0,4,4,217.0,Abeto,101951071,https://www.idealista.com/inmueble/101951071/
Colmenarejo,328000.0,3,3,196.0,Calle POZUELO,100188525,https://www.idealista.com/inmueble/100188525/
Colmenarejo,790000.0,6,7,610.0,Calle del Arroyo del Membrillo,100329436,https://www.idealista.com/inmueble/100329436/
Colmenarejo,155000.0,1,1,56.0,Colmenarejo,103329125,https://www.idealista.com/inmueble/103329125/
Colmenarejo,1100000.0,7,8,935.0,"Calle de Santiago Apóstol, 7",103166000,https://www.idealista.com/inmueble/103166000/
Colmenarejo,750000.0,3,5,464.0,Colmenarejo,102728084,https://www.idealista.com/inmueble/102728084/
Colmenarejo,570000.0,3,5,270.0,El Fresno,101493451,https://www.idealista.com/inmueble/101493451/
Colmenarejo,136000.0,2,2,75.0,Colmenarejo,102028021,https://www.idealista.com/inmueble/102028021/
Colmenarejo,415000.0,3,4,291.0,"Calle del Tejar, 20",100903268,https://www.idealista.com/inmueble/100903268/
Colmenarejo,1990000.0,6,7,2178.0,Camino Fuenfria,100445390,https://www.idealista.com/inmueble/100445390/
Colmenarejo,240000.0,2,3,108.0,"Calle de la Inmaculada, 4",96494661,https://www.idealista.com/inmueble/96494661/
Colmenarejo,595000.0,4,5,624.0,Calle de Carmelo Rodríguez,98223891,https://www.idealista.com/inmueble/98223891/
Colmenarejo,308000.0,2,4,175.0,"San Lorenzo, 32",103004868,https://www.idealista.com/inmueble/103004868/
Colmenarejo,695000.0,7,7,337.0,Calle del Arroyo del Membrillo,103837265,https://www.idealista.com/inmueble/103837265/
Colmenarejo,184000.0,1,2,69.0,"Calle Praofuentes, 20",102793464,https://www.idealista.com/inmueble/102793464/
Colmenarejo,447000.0,1,3,236.0,Calle Calderón de La Barca no number,103781490,https://www.idealista.com/inmueble/103781490/
Colmenarejo,135000.0,1,3,80.0,Colmenarejo,102481570,https://www.idealista.com/inmueble/102481570/
Colmenarejo,369900.0,3,5,205.0,Avenida Federico García Lorca,102784485,https://www.idealista.com/inmueble/102784485/
Colmenarejo,447000.0,2,3,236.0,Calle Calderón de La Barca,103677641,https://www.idealista.com/inmueble/103677641/
Colmenarejo,169900.0,2,2,92.0,Maravillas,101999770,https://www.idealista.com/inmueble/101999770/
Colmenarejo,412000.0,4,5,220.0,Camino de los Huertos,103005020,https://www.idealista.com/inmueble/103005020/
Colmenarejo,299000.0,3,5,180.0,Calle Seis de Diciembre,103843498,https://www.idealista.com/inmueble/103843498/
Colmenarejo,184000.0,2,2,75.0,"praofuentes, 11",103011661,https://www.idealista.com/inmueble/103011661/
Colmenarejo,198000.0,2,2,72.0,Colmenarejo,103647894,https://www.idealista.com/inmueble/103647894/
Colmenarejo,209000.0,2,3,147.0,Colmenarejo,103772249,https://www.idealista.com/inmueble/103772249/
Colmenarejo,447000.0,2,3,237.0,"Calle Calderón de La Barca, 6",103690504,https://www.idealista.com/inmueble/103690504/
Colmenarejo,195000.0,1,3,95.0,cañada de las merinas,97918686,https://www.idealista.com/inmueble/97918686/
Colmenarejo,510000.0,3,4,205.0,Colmenarejo,103083520,https://www.idealista.com/inmueble/103083520/
Colmenarejo,125000.0,1,3,65.0,Calle Cañada de las Merinas,103211617,https://www.idealista.com/inmueble/103211617/
Colmenarejo,349900.0,4,3,168.0,Inmaculada,103238070,https://www.idealista.com/inmueble/103238070/
Colmenarejo,650000.0,3,5,246.0,Calle de Francisco Elvira,102085418,https://www.idealista.com/inmueble/102085418/
Colmenarejo,625000.0,4,5,271.0,Colmenarejo,102773232,https://www.idealista.com/inmueble/102773232/
Colmenarejo,685000.0,4,6,361.0,Colmenarejo,102944532,https://www.idealista.com/inmueble/102944532/
Colmenarejo,510000.0,3,4,248.0,Colmenarejo,103325368,https://www.idealista.com/inmueble/103325368/
Colmenarejo,469000.0,3,4,227.0,Calle de Francisco Elvira,102722322,https://www.idealista.com/inmueble/102722322/
Colmenarejo,200000.0,1,3,85.0,Colmenarejo,98782950,https://www.idealista.com/inmueble/98782950/
Colmenarejo,993000.0,3,5,1094.0,Colmenarejo,93496394,https://www.idealista.com/inmueble/93496394/
Colmenarejo,570000.0,3,4,255.0,Abeto,102651646,https://www.idealista.com/inmueble/102651646/
Colmenarejo,130000.0,1,2,62.0,Colmenarejo,101456475,https://www.idealista.com/inmueble/101456475/
Colmenarejo,397000.0,2,2,102.0,"Calle Sarmientos, 1",103724679,https://www.idealista.com/obra-nueva/103724679/
Colmenarejo,169900.0,1,2,70.0,Revuelta,102065144,https://www.idealista.com/inmueble/102065144/
Colmenarejo,217000.0,2,2,88.0,"Calle molino, 3",100433134,https://www.idealista.com/obra-nueva/100433134/
Colmenarejo,212000.0,2,2,85.0,"Calle molino, 3",100433067,https://www.idealista.com/obra-nueva/100433067/
Colmenarejo,235000.0,2,2,95.0,"Calle molino, 3",100433146,https://www.idealista.com/obra-nueva/100433146/
Colmenarejo,290000.0,2,3,119.0,"Calle molino, 3",103017058,https://www.idealista.com/obra-nueva/103017058/
Colmenarejo,220000.0,2,2,85.0,"Calle molino, 3",100433138,https://www.idealista.com/obra-nueva/100433138/
Colmenarejo,245000.0,2,2,101.0,"Calle molino, 3",100433124,https://www.idealista.com/obra-nueva/100433124/
