municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Coslada,570000.0,3,3,154.0,almendros,103241064,https://www.idealista.com/inmueble/103241064/
Coslada,484000.0,2,3,137.0,El Puerto,103159532,https://www.idealista.com/inmueble/103159532/
Coslada,330000.0,2,3,115.0,Plaza del Mar Egeo,103801590,https://www.idealista.com/inmueble/103801590/
Coslada,695000.0,4,5,434.0,Las Conejeras - Esparragal,102158269,https://www.idealista.com/inmueble/102158269/
Coslada,525000.0,4,5,350.0,Calle Sofía,102487681,https://www.idealista.com/inmueble/102487681/
Coslada,445000.0,2,4,141.0,Avenida del Plantío,97749068,https://www.idealista.com/inmueble/97749068/
Coslada,700000.0,4,5,381.0,Miguel Hernandez,103431180,https://www.idealista.com/inmueble/103431180/
Coslada,346000.0,2,3,120.0,El Puerto,103869632,https://www.idealista.com/inmueble/103869632/
Coslada,152000.0,1,3,71.0,Calle del Aeropuerto,103761576,https://www.idealista.com/inmueble/103761576/
Coslada,182000.0,1,3,80.0,Plaza de Uruguay,103857357,https://www.idealista.com/inmueble/103857357/
Coslada,990000.0,4,4,556.0,Las Conejeras - Esparragal,101338153,https://www.idealista.com/inmueble/101338153/
Coslada,300000.0,2,3,89.0,El Puerto,103868487,https://www.idealista.com/inmueble/103868487/
Coslada,165000.0,1,3,87.0,Barrio de la Estación,103875954,https://www.idealista.com/inmueble/103875954/
Coslada,172000.0,1,3,80.0,Valleaguado - La Cañada,103860405,https://www.idealista.com/inmueble/103860405/
Coslada,239000.0,1,4,141.0,Calle de Jesús de San Antonio,98427361,https://www.idealista.com/inmueble/98427361/
Coslada,850000.0,4,6,332.0,Calle de Chile,103591124,https://www.idealista.com/inmueble/103591124/
Coslada,124000.0,1,3,72.0,Avenida Lisboa,103738006,https://www.idealista.com/inmueble/103738006/
Coslada,310000.0,2,3,130.0,Calle de Argentina,103001909,https://www.idealista.com/inmueble/103001909/
Coslada,144900.0,1,2,50.0,charca,103147266,https://www.idealista.com/inmueble/103147266/
Coslada,457000.0,2,4,153.0,"Calle Oceano Atlantico, 7",103386140,https://www.idealista.com/inmueble/103386140/
Coslada,232000.0,2,3,94.0,Calle Uruguay,101965283,https://www.idealista.com/inmueble/101965283/
Coslada,352000.0,2,3,113.0,"Calle Colombia, 27",103646147,https://www.idealista.com/obra-nueva/103646147/
Coslada,330000.0,2,3,109.0,"Calle Colombia, 27",103646168,https://www.idealista.com/obra-nueva/103646168/
Coslada,525000.0,2,4,173.0,Calle Copenhague,103609720,https://www.idealista.com/inmueble/103609720/
Coslada,321000.0,2,3,113.0,"Calle Colombia, 27",101708774,https://www.idealista.com/obra-nueva/101708774/
Coslada,311000.0,2,3,109.0,"Calle Colombia, 27",101708749,https://www.idealista.com/obra-nueva/101708749/
Coslada,326000.0,2,3,113.0,"Calle Colombia, 27",98544571,https://www.idealista.com/obra-nueva/98544571/
Coslada,342000.0,2,3,108.0,"Calle Colombia, 27",102946799,https://www.idealista.com/obra-nueva/102946799/
Coslada,230000.0,1,1,65.0,"Calle Colombia, 27",98544411,https://www.idealista.com/obra-nueva/98544411/
Coslada,344000.0,2,3,109.0,"Calle Colombia, 27",103169660,https://www.idealista.com/obra-nueva/103169660/
Coslada,328000.0,2,3,113.0,"Calle Colombia, 27",98544584,https://www.idealista.com/obra-nueva/98544584/
Coslada,351000.0,2,3,108.0,"Calle Colombia, 27",102946774,https://www.idealista.com/obra-nueva/102946774/
Coslada,356000.0,2,3,125.0,"Calle Colombia, 27",101708683,https://www.idealista.com/obra-nueva/101708683/
Coslada,398500.0,2,3,125.0,"Calle Colombia, 27",103532110,https://www.idealista.com/obra-nueva/103532110/
Coslada,228000.0,2,2,94.0,Calle de Uruguay,103592200,https://www.idealista.com/inmueble/103592200/
Coslada,280000.0,2,2,95.0,MAR ROJO,100962224,https://www.idealista.com/inmueble/100962224/
Coslada,124000.0,1,1,56.0,Calle de Lorenzo Bosquet,94755975,https://www.idealista.com/inmueble/94755975/
Coslada,131000.0,1,2,55.0,"Calle de Palestina, 1",101191715,https://www.idealista.com/inmueble/101191715/
Coslada,132000.0,1,1,58.0,Calle de Lorenzo Bosquet,94755973,https://www.idealista.com/inmueble/94755973/
Coslada,457000.0,2,4,148.0,Calle Océano Atlántico,103013884,https://www.idealista.com/inmueble/103013884/
Coslada,300000.0,2,4,94.0,Calle del Rincón de la Huerta,103582178,https://www.idealista.com/inmueble/103582178/
Coslada,385000.0,2,3,126.0,Calle Alameda,98853209,https://www.idealista.com/inmueble/98853209/
Coslada,246900.0,2,3,104.0,Calle Honduras,102832624,https://www.idealista.com/inmueble/102832624/
Coslada,199000.0,1,3,80.0,Calle Perú,102922802,https://www.idealista.com/inmueble/102922802/
Coslada,319000.0,2,3,120.0,Valleaguado - La Cañada,102829358,https://www.idealista.com/inmueble/102829358/
Coslada,230000.0,1,1,60.0,AV. CONSTITUCION,102539700,https://www.idealista.com/inmueble/102539700/
Coslada,298000.0,2,3,108.0,Valleaguado - La Cañada,103847243,https://www.idealista.com/inmueble/103847243/
Coslada,359900.0,1,2,83.0,Calle Mar Rojo,103402834,https://www.idealista.com/inmueble/103402834/
Coslada,155000.0,1,2,60.0,Ciudad 70,102311153,https://www.idealista.com/inmueble/102311153/
Coslada,169900.0,1,2,75.0,San Juan,103430764,https://www.idealista.com/inmueble/103430764/
