municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Cubas de la Sagra,599000.0,5,5,387.0,Calle Retamar,100327221,https://www.idealista.com/inmueble/100327221/
Cubas de la Sagra,325000.0,3,3,200.0,Cubas de la Sagra,103874698,https://www.idealista.com/inmueble/103874698/
Cubas de la Sagra,403000.0,4,5,300.0,Calle mimbres no number,103808810,https://www.idealista.com/inmueble/103808810/
Cubas de la Sagra,476000.0,4,5,387.0,Retama no number,103727004,https://www.idealista.com/inmueble/103727004/
Cubas de la Sagra,589000.0,5,5,387.0,retamar,102896363,https://www.idealista.com/inmueble/102896363/
Cubas de la Sagra,349000.0,4,4,178.0,Calle de la Huerta no number,102938741,https://www.idealista.com/obra-nueva/102938741/
Cubas de la Sagra,476000.0,4,5,387.0,Calle Retamar,103687477,https://www.idealista.com/inmueble/103687477/
Cubas de la Sagra,476000.0,4,5,387.0,retamar,103708871,https://www.idealista.com/inmueble/103708871/
Cubas de la Sagra,257500.0,3,3,160.0,Calle Robles,102813723,https://www.idealista.com/inmueble/102813723/
Cubas de la Sagra,436000.0,2,4,240.0,Camino de Batres,99448987,https://www.idealista.com/inmueble/99448987/
Cubas de la Sagra,556000.0,3,5,450.0,"Callejón de Santa Juana, 4",102661461,https://www.idealista.com/inmueble/102661461/
Cubas de la Sagra,349000.0,3,4,345.0,"Calle Cementerio, 5 A",103521667,https://www.idealista.com/inmueble/103521667/
Cubas de la Sagra,349000.0,3,4,345.0,"cementerio, 5",103490323,https://www.idealista.com/inmueble/103490323/
Cubas de la Sagra,476000.0,4,5,387.0,Calle Retamar,103709383,https://www.idealista.com/inmueble/103709383/
Cubas de la Sagra,476000.0,4,5,387.0,RETAMAR,103579501,https://www.idealista.com/inmueble/103579501/
Cubas de la Sagra,476000.0,4,5,387.0,Retamar,103662902,https://www.idealista.com/inmueble/103662902/
Cubas de la Sagra,549000.0,3,4,1005.0,Calle San Juan de la Cruz,102810052,https://www.idealista.com/inmueble/102810052/
Cubas de la Sagra,259900.0,1,3,148.0,Carretera Real,103353536,https://www.idealista.com/inmueble/103353536/
Cubas de la Sagra,314900.0,4,4,234.0,Almendros,103259543,https://www.idealista.com/inmueble/103259543/
Cubas de la Sagra,649900.0,4,6,482.0,Calle del Reloj,103530366,https://www.idealista.com/inmueble/103530366/
Cubas de la Sagra,476000.0,3,4,352.0,Cubas de la Sagra,81921109,https://www.idealista.com/inmueble/81921109/
Cubas de la Sagra,475000.0,4,4,163.0,"Calle Mimbres, 37",103426482,https://www.idealista.com/obra-nueva/103426482/
Cubas de la Sagra,385000.0,3,4,204.0,"Calle Mimbres, 37",103426502,https://www.idealista.com/obra-nueva/103426502/
Cubas de la Sagra,280000.0,2,3,117.0,Cubas de la Sagra,103450899,https://www.idealista.com/inmueble/103450899/
Cubas de la Sagra,278000.0,3,4,175.0,almendros,103699869,https://www.idealista.com/inmueble/103699869/
Cubas de la Sagra,476000.0,4,4,387.0,Cubas de la Sagra,103722523,https://www.idealista.com/inmueble/103722523/
