municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Daganzo de Arriba,365000.0,2,3,170.0,Monjas,103664075,https://www.idealista.com/inmueble/103664075/
Daganzo de Arriba,280000.0,2,3,132.0,Calle Peñuelas,99566559,https://www.idealista.com/inmueble/99566559/
Daganzo de Arriba,374900.0,3,4,251.0,Valdezarza,101246951,https://www.idealista.com/inmueble/101246951/
Daganzo de Arriba,316000.0,3,3,218.0,Calle Cervantes,103619900,https://www.idealista.com/inmueble/103619900/
Daganzo de Arriba,346000.0,4,5,138.0,Daganzo de Arriba,102818163,https://www.idealista.com/inmueble/102818163/
Daganzo de Arriba,389000.0,3,3,154.0,Calle Valdeorilla,102968289,https://www.idealista.com/inmueble/102968289/
Daganzo de Arriba,416000.0,3,3,220.0,Calle Calderón de la Barca,102498886,https://www.idealista.com/inmueble/102498886/
Daganzo de Arriba,363000.0,3,3,190.0,Ajar,100902521,https://www.idealista.com/inmueble/100902521/
Daganzo de Arriba,389900.0,4,5,251.0,Daganzo de Arriba,103874723,https://www.idealista.com/inmueble/103874723/
Daganzo de Arriba,424000.0,4,5,187.0,LA GALATEA,102245870,https://www.idealista.com/inmueble/102245870/
Daganzo de Arriba,398000.0,3,5,169.0,Daganzo de Arriba,103237217,https://www.idealista.com/inmueble/103237217/
Daganzo de Arriba,177000.0,1,3,130.0,Calle pintor murillo,103227975,https://www.idealista.com/inmueble/103227975/
Daganzo de Arriba,388000.0,2,3,252.0,Avenida conde de coruña,99984020,https://www.idealista.com/inmueble/99984020/
Daganzo de Arriba,340000.0,3,3,232.0,"Calle calderon de la barca, 15",103665570,https://www.idealista.com/inmueble/103665570/
Daganzo de Arriba,235000.0,1,3,119.0,Calle de la Soledad,103812362,https://www.idealista.com/inmueble/103812362/
Daganzo de Arriba,239200.0,1,4,224.0,Calle Mayor,101182192,https://www.idealista.com/inmueble/101182192/
Daganzo de Arriba,374900.0,3,4,251.0,VADEZARZA,102509743,https://www.idealista.com/inmueble/102509743/
Daganzo de Arriba,167200.0,1,1,60.0,"Calle Constitución, 64",102984646,https://www.idealista.com/obra-nueva/102984646/
Daganzo de Arriba,362000.0,3,4,217.0,Picasso,101963182,https://www.idealista.com/inmueble/101963182/
Daganzo de Arriba,190304.0,2,2,65.0,"Calle Constitución, 64",102984730,https://www.idealista.com/obra-nueva/102984730/
Daganzo de Arriba,182671.0,1,1,60.0,"Calle Constitución, 64",102984634,https://www.idealista.com/obra-nueva/102984634/
Daganzo de Arriba,277005.0,2,3,102.0,"Calle Constitución, 64",102984729,https://www.idealista.com/obra-nueva/102984729/
Daganzo de Arriba,238954.0,2,2,73.0,"Calle Constitución, 64",102984613,https://www.idealista.com/obra-nueva/102984613/
Daganzo de Arriba,304345.0,2,3,96.0,"Calle Constitución, 64",102984635,https://www.idealista.com/obra-nueva/102984635/
Daganzo de Arriba,266976.0,2,3,99.0,"Calle Constitución, 64",102984737,https://www.idealista.com/obra-nueva/102984737/
Daganzo de Arriba,307002.0,2,3,101.0,"Calle Constitución, 64",102984732,https://www.idealista.com/obra-nueva/102984732/
Daganzo de Arriba,136000.0,1,1,59.0,"Glorieta de Alcalá, 8",103824296,https://www.idealista.com/inmueble/103824296/
Daganzo de Arriba,235000.0,1,3,107.0,Calle Soledad,103795470,https://www.idealista.com/inmueble/103795470/
Daganzo de Arriba,367000.0,4,3,251.0,Calle Duque de Ahumada,103638736,https://www.idealista.com/inmueble/103638736/
Daganzo de Arriba,378000.0,3,3,206.0,Calle Salvador Dalí,103699512,https://www.idealista.com/inmueble/103699512/
