municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
El Escorial,1099000.0,6,6,765.0,Calle Dieciocho,103302281,https://www.idealista.com/inmueble/103302281/
El Escorial,389900.0,3,4,270.0,Calle Juliana,103160827,https://www.idealista.com/inmueble/103160827/
El Escorial,3500000.0,7,9,1294.0,Navalquejigo - Los Arroyos,101294313,https://www.idealista.com/inmueble/101294313/
El Escorial,660000.0,4,9,450.0,Calle tres,99285946,https://www.idealista.com/inmueble/99285946/
El Escorial,319900.0,3,4,120.0,juliana,103510327,https://www.idealista.com/inmueble/103510327/
El Escorial,2100000.0,5,10,1683.0,Jardín de los Reyes - Parque Real,98524433,https://www.idealista.com/inmueble/98524433/
El Escorial,210000.0,2,3,95.0,MIGUEL ANTONA,102897587,https://www.idealista.com/inmueble/102897587/
El Escorial,589900.0,4,4,264.0,VEINTIOCHO,102714451,https://www.idealista.com/inmueble/102714451/
El Escorial,400000.0,3,4,188.0,Jardín de los Reyes - Parque Real,102772469,https://www.idealista.com/inmueble/102772469/
El Escorial,575000.0,3,5,295.0,Calle veintiseis,102242720,https://www.idealista.com/inmueble/102242720/
El Escorial,634900.0,2,5,258.0,castilla,102267773,https://www.idealista.com/inmueble/102267773/
El Escorial,386999.0,4,5,260.0,Juliana,103309277,https://www.idealista.com/inmueble/103309277/
El Escorial,680000.0,4,5,426.0,Avenida de los Cierros,103044016,https://www.idealista.com/inmueble/103044016/
El Escorial,289900.0,2,3,178.0,MANUEL moratiel,102866939,https://www.idealista.com/inmueble/102866939/
El Escorial,409900.0,3,3,222.0,constitucion,103139906,https://www.idealista.com/inmueble/103139906/
El Escorial,265000.0,2,2,82.0,Avenida Felipe II,103178941,https://www.idealista.com/inmueble/103178941/
El Escorial,440000.0,3,6,180.0,Pinosol - El Alcor - Peralejo,98190060,https://www.idealista.com/inmueble/98190060/
El Escorial,345000.0,3,3,184.0,Centro,103033407,https://www.idealista.com/inmueble/103033407/
El Escorial,164900.0,1,3,68.0,cipriano herranz,103510949,https://www.idealista.com/inmueble/103510949/
El Escorial,261900.0,1,2,85.0,"SEBASTIAN SANTOYO, 32",103870039,https://www.idealista.com/inmueble/103870039/
El Escorial,196000.0,2,3,105.0,Navalquejigo - Los Arroyos,27739248,https://www.idealista.com/inmueble/27739248/
El Escorial,420000.0,3,4,232.0,Calle Pablo Mayoral,103862051,https://www.idealista.com/inmueble/103862051/
El Escorial,247000.0,2,4,100.0,Navalquejigo - Los Arroyos,102578796,https://www.idealista.com/inmueble/102578796/
El Escorial,375000.0,4,4,190.0,Calle de Juan de Austria,103859566,https://www.idealista.com/inmueble/103859566/
El Escorial,245000.0,2,3,84.0,Centro,102485423,https://www.idealista.com/inmueble/102485423/
El Escorial,1195000.0,5,4,679.0,Navalquejigo - Los Arroyos,103813936,https://www.idealista.com/inmueble/103813936/
El Escorial,426000.0,2,2,127.0,Avenida Felipe II,103683061,https://www.idealista.com/inmueble/103683061/
El Escorial,730000.0,4,4,452.0,"Paseo DEL ÁLAMO, 10",103478163,https://www.idealista.com/inmueble/103478163/
El Escorial,169900.0,1,3,89.0,santoyo,103614123,https://www.idealista.com/inmueble/103614123/
El Escorial,685000.0,4,7,540.0,Navalquejigo - Los Arroyos,101335498,https://www.idealista.com/inmueble/101335498/
El Escorial,476511.0,2,5,231.0,"Calle Del Clavel, 1",102884054,https://www.idealista.com/inmueble/102884054/
El Escorial,399900.0,3,4,245.0,Calle de Juliana,100010676,https://www.idealista.com/inmueble/100010676/
El Escorial,690000.0,3,4,435.0,La Estación,96883649,https://www.idealista.com/inmueble/96883649/
El Escorial,375000.0,4,4,200.0,JUAN DE AUSTRIA,103843218,https://www.idealista.com/inmueble/103843218/
El Escorial,490000.0,2,4,252.0,Pizarro,103019218,https://www.idealista.com/inmueble/103019218/
El Escorial,415000.0,3,4,173.0,"Avenida Castilla , 9",101340635,https://www.idealista.com/obra-nueva/101340635/
El Escorial,389900.0,3,4,275.0,Juliana,102843043,https://www.idealista.com/inmueble/102843043/
El Escorial,171000.0,1,3,100.0,Calle Siete,103596081,https://www.idealista.com/inmueble/103596081/
El Escorial,420000.0,1,1,100.0,"Avenida de Castilla, 29",93294195,https://www.idealista.com/inmueble/93294195/
El Escorial,265000.0,2,3,90.0,Calle Seis,103844769,https://www.idealista.com/inmueble/103844769/
El Escorial,239900.0,2,3,140.0,Calle Doce,103738953,https://www.idealista.com/inmueble/103738953/
El Escorial,399000.0,3,4,245.0,Calle de Juliana,103636402,https://www.idealista.com/inmueble/103636402/
El Escorial,349900.0,2,3,168.0,"JULIANA, 17",102057980,https://www.idealista.com/inmueble/102057980/
El Escorial,585000.0,3,5,281.0,Las Zorreras - Monte Encinar,103735313,https://www.idealista.com/inmueble/103735313/
El Escorial,490000.0,2,2,102.0,"Calle Granada, Urb. PINOSOL, 49",103723563,https://www.idealista.com/obra-nueva/103723563/
El Escorial,244900.0,2,3,145.0,Calle Seis,103644417,https://www.idealista.com/inmueble/103644417/
El Escorial,194900.0,1,1,76.0,REYES CATOLICOS,103510614,https://www.idealista.com/inmueble/103510614/
El Escorial,219000.0,2,4,105.0,Calle baltasar porreno,102822749,https://www.idealista.com/inmueble/102822749/
El Escorial,144900.0,1,2,86.0,Urbanizacion Dehesa Omaña,103847312,https://www.idealista.com/inmueble/103847312/
El Escorial,364900.0,3,4,190.0,JUAN DE AUSTRIA,103614927,https://www.idealista.com/inmueble/103614927/
