municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
El Molar,1900000.0,7,8,1582.0,El Molar,98308921,https://www.idealista.com/inmueble/98308921/
El Molar,450000.0,3,3,315.0,Prado redondo,101779301,https://www.idealista.com/inmueble/101779301/
El Molar,349000.0,3,4,180.0,Atalayas,103863532,https://www.idealista.com/inmueble/103863532/
El Molar,360000.0,2,5,180.0,El Molar,103852391,https://www.idealista.com/inmueble/103852391/
El Molar,1659600.0,4,7,1116.0,El Molar,103659283,https://www.idealista.com/inmueble/103659283/
El Molar,320000.0,3,3,160.0,Calle de la Cruz,103638164,https://www.idealista.com/inmueble/103638164/
El Molar,259900.0,2,3,194.0,El Molar,98023797,https://www.idealista.com/inmueble/98023797/
El Molar,715000.0,2,3,176.0,El Molar,103680421,https://www.idealista.com/inmueble/103680421/
El Molar,985000.0,3,3,425.0,El Molar,87647974,https://www.idealista.com/inmueble/87647974/
El Molar,160000.0,2,2,76.0,"Cuesta santa maria de la, 9",103681084,https://www.idealista.com/inmueble/103681084/
El Molar,285000.0,3,4,270.0,Sauces,97499551,https://www.idealista.com/inmueble/97499551/
El Molar,329000.0,4,6,277.0,El Molar,103634149,https://www.idealista.com/inmueble/103634149/
El Molar,299000.0,3,3,281.0,Calle sauces,100968592,https://www.idealista.com/inmueble/100968592/
El Molar,1659600.0,5,7,1051.0,El Molar,101034240,https://www.idealista.com/inmueble/101034240/
El Molar,125000.0,0,1,160.0,Calle San Roque,98002427,https://www.idealista.com/inmueble/98002427/
El Molar,125000.0,0,1,160.0,Calle San Roque,98002402,https://www.idealista.com/inmueble/98002402/
El Molar,131000.0,2,2,70.0,"FUENTE DEL TORO, 20",103552066,https://www.idealista.com/inmueble/103552066/
El Molar,163000.0,2,2,87.0,El Molar,103845221,https://www.idealista.com/inmueble/103845221/
El Molar,799000.0,6,7,1000.0,Paraje Arroyo Fuente Cardena,95787967,https://www.idealista.com/inmueble/95787967/
El Molar,410000.0,2,4,200.0,El Molar,103770512,https://www.idealista.com/inmueble/103770512/
El Molar,375000.0,2,5,180.0,Camino de Francia,103426507,https://www.idealista.com/inmueble/103426507/
El Molar,2620000.0,20,20,1560.0,Paraje Arroyo Fuente Cardena,95686920,https://www.idealista.com/inmueble/95686920/
El Molar,285000.0,3,4,270.0,Sauces,102980495,https://www.idealista.com/inmueble/102980495/
El Molar,150000.0,2,3,78.0,Calle Angustias,102505732,https://www.idealista.com/inmueble/102505732/
El Molar,360000.0,3,3,255.0,Calle las viñas,102683951,https://www.idealista.com/inmueble/102683951/
El Molar,315000.0,2,3,253.0,SAUCES,103291471,https://www.idealista.com/inmueble/103291471/
El Molar,360000.0,3,4,206.0,Avenida España,101814297,https://www.idealista.com/inmueble/101814297/
El Molar,157000.0,1,2,70.0,El Molar,100577341,https://www.idealista.com/inmueble/100577341/
El Molar,398000.0,2,6,380.0,El Molar,100624552,https://www.idealista.com/inmueble/100624552/
El Molar,145000.0,2,3,83.0,El Molar,102308977,https://www.idealista.com/inmueble/102308977/
El Molar,169000.0,2,2,75.0,El Molar,102767852,https://www.idealista.com/inmueble/102767852/
El Molar,130000.0,1,2,57.0,El Molar,103157455,https://www.idealista.com/inmueble/103157455/
El Molar,169900.0,1,3,86.0,El Molar,100159076,https://www.idealista.com/inmueble/100159076/
El Molar,163000.0,2,2,87.0,"jacoba diaz benito, 54",82609728,https://www.idealista.com/inmueble/82609728/
El Molar,189000.0,2,3,76.0,Almendro,101133561,https://www.idealista.com/inmueble/101133561/
El Molar,379000.0,3,3,299.0,El Molar,101386256,https://www.idealista.com/inmueble/101386256/
El Molar,206900.0,2,3,150.0,El Molar,100952419,https://www.idealista.com/inmueble/100952419/
El Molar,99900.0,1,3,70.0,Calle de Jacoba Díaz Benito,102900865,https://www.idealista.com/inmueble/102900865/
El Molar,130000.0,2,2,65.0,"Calle amigos, 1",102685099,https://www.idealista.com/inmueble/102685099/
El Molar,385000.0,3,4,220.0,El Molar,100665125,https://www.idealista.com/inmueble/100665125/
El Molar,360000.0,3,5,160.0,El Molar,103776080,https://www.idealista.com/inmueble/103776080/
El Molar,149000.0,2,2,85.0,El Molar,94418778,https://www.idealista.com/inmueble/94418778/
El Molar,190000.0,1,1,95.0,"Alamo, 8",103741275,https://www.idealista.com/inmueble/103741275/
El Molar,320000.0,3,4,207.0,El Molar,99433179,https://www.idealista.com/inmueble/99433179/
El Molar,110000.0,1,3,100.0,El Molar,103022315,https://www.idealista.com/inmueble/103022315/
El Molar,155000.0,1,1,60.0,El Molar,103452965,https://www.idealista.com/inmueble/103452965/
El Molar,139000.0,1,3,92.0,El Molar,103509515,https://www.idealista.com/inmueble/103509515/
El Molar,195000.0,3,3,85.0,El Molar,102618827,https://www.idealista.com/inmueble/102618827/
El Molar,165000.0,2,3,74.0,El Molar,103510916,https://www.idealista.com/inmueble/103510916/
El Molar,165000.0,2,2,78.0,Cuesta santa maria de la,103611647,https://www.idealista.com/inmueble/103611647/
