municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Fuenlabrada,152000.0,1,1,44.0,Calle Luis Sauquillo,97781168,https://www.idealista.com/inmueble/97781168/
Fuenlabrada,478000.0,3,4,250.0,Paseo de la Convivencia no number,103558644,https://www.idealista.com/inmueble/103558644/
Fuenlabrada,159500.0,1,4,87.0,La Avanzada - La Cueva,102457652,https://www.idealista.com/inmueble/102457652/
Fuenlabrada,160000.0,1,3,70.0,Plaza de Cádiz,101582847,https://www.idealista.com/inmueble/101582847/
Fuenlabrada,175000.0,1,3,68.0,Paseo Valmoral,102157692,https://www.idealista.com/inmueble/102157692/
Fuenlabrada,139000.0,1,3,81.0,Avenida de Francisco Javier Sauquillo,103804097,https://www.idealista.com/inmueble/103804097/
Fuenlabrada,173900.0,1,3,78.0,Calle de Móstoles,103005594,https://www.idealista.com/inmueble/103005594/
Fuenlabrada,109000.0,1,3,73.0,Calle de Ávila no number,103866019,https://www.idealista.com/inmueble/103866019/
Fuenlabrada,195000.0,2,4,98.0,Centro,103754491,https://www.idealista.com/inmueble/103754491/
Fuenlabrada,146000.0,1,2,75.0,Centro,102680533,https://www.idealista.com/inmueble/102680533/
Fuenlabrada,215000.0,1,1,110.0,El Arroyo - La Fuente,103686270,https://www.idealista.com/inmueble/103686270/
Fuenlabrada,169000.0,1,3,70.0,Fuenlabrada II - El Molino,103340308,https://www.idealista.com/inmueble/103340308/
Fuenlabrada,187260.0,1,3,91.0,Fuenlabrada II - El Molino,103548757,https://www.idealista.com/inmueble/103548757/
Fuenlabrada,169500.0,2,2,63.0,Centro,102289096,https://www.idealista.com/inmueble/102289096/
Fuenlabrada,179900.0,1,1,77.0,Calle de Navalcarnero,103877363,https://www.idealista.com/inmueble/103877363/
Fuenlabrada,182300.0,1,3,75.0,Lima,102908234,https://www.idealista.com/inmueble/102908234/
Fuenlabrada,215000.0,2,3,147.0,Calle de Extremadura,103244745,https://www.idealista.com/inmueble/103244745/
Fuenlabrada,348000.0,3,3,152.0,La Avanzada - La Cueva,95996076,https://www.idealista.com/inmueble/95996076/
Fuenlabrada,304260.0,2,3,102.0,Universidad - Hospital,101726211,https://www.idealista.com/inmueble/101726211/
Fuenlabrada,309000.0,2,3,117.0,Avenida de la Universidad,103658087,https://www.idealista.com/inmueble/103658087/
Fuenlabrada,335000.0,2,3,125.0,"Calle Honda, 21",103854607,https://www.idealista.com/obra-nueva/103854607/
Fuenlabrada,275000.0,2,3,101.0,Calle del Manantial,103867518,https://www.idealista.com/inmueble/103867518/
Fuenlabrada,118000.0,1,3,71.0,Paseo de San Antonio,103326178,https://www.idealista.com/inmueble/103326178/
Fuenlabrada,129900.0,1,2,56.0,LEGANES,103869205,https://www.idealista.com/inmueble/103869205/
Fuenlabrada,173000.0,1,3,78.0,Calle de Callao,102152128,https://www.idealista.com/inmueble/102152128/
Fuenlabrada,163630.0,2,2,70.0,El Arroyo - La Fuente,102927036,https://www.idealista.com/inmueble/102927036/
Fuenlabrada,137260.0,1,3,90.0,Centro,103286322,https://www.idealista.com/inmueble/103286322/
Fuenlabrada,163050.0,1,3,63.0,La Serna,102200383,https://www.idealista.com/inmueble/102200383/
Fuenlabrada,169900.0,1,3,92.0,Fuenlabrada II - El Molino,103877344,https://www.idealista.com/inmueble/103877344/
Fuenlabrada,384000.0,3,5,173.0,Loranca,103867436,https://www.idealista.com/inmueble/103867436/
Fuenlabrada,175000.0,1,3,66.0,Calle de Móstoles,102466453,https://www.idealista.com/inmueble/102466453/
Fuenlabrada,289900.0,3,4,131.0,Calle Escultura,103853509,https://www.idealista.com/inmueble/103853509/
Fuenlabrada,260000.0,2,3,100.0,Calle Suiza,103870604,https://www.idealista.com/inmueble/103870604/
Fuenlabrada,179900.0,1,2,78.0,La Avanzada - La Cueva,103870348,https://www.idealista.com/inmueble/103870348/
Fuenlabrada,137260.0,1,3,90.0,Centro,101611351,https://www.idealista.com/inmueble/101611351/
Fuenlabrada,109000.0,1,3,79.0,"Avila, 6",103862653,https://www.idealista.com/inmueble/103862653/
Fuenlabrada,120000.0,1,3,101.0,Plaza de París,103827280,https://www.idealista.com/inmueble/103827280/
Fuenlabrada,149000.0,1,2,75.0,Calle de San Andrés,103732301,https://www.idealista.com/inmueble/103732301/
Fuenlabrada,229900.0,1,4,108.0,La Avanzada - La Cueva,103869193,https://www.idealista.com/inmueble/103869193/
Fuenlabrada,129260.0,1,3,76.0,La Avanzada - La Cueva,103868638,https://www.idealista.com/inmueble/103868638/
Fuenlabrada,139000.0,1,2,51.0,La Avanzada - La Cueva,103868342,https://www.idealista.com/inmueble/103868342/
Fuenlabrada,169000.0,2,3,83.0,La Avanzada - La Cueva,103868944,https://www.idealista.com/inmueble/103868944/
Fuenlabrada,282000.0,2,3,86.0,Avenida del Hospital 3B,103860067,https://www.idealista.com/inmueble/103860067/
Fuenlabrada,175000.0,1,3,93.0,Calle Suiza,103837731,https://www.idealista.com/inmueble/103837731/
Fuenlabrada,120000.0,1,3,101.0,"Plaza de París, 1",103855015,https://www.idealista.com/inmueble/103855015/
Fuenlabrada,450000.0,3,3,250.0,Loranca,103864083,https://www.idealista.com/inmueble/103864083/
Fuenlabrada,174999.0,1,3,89.0,La Serna,103868698,https://www.idealista.com/inmueble/103868698/
Fuenlabrada,173000.0,1,3,89.0,Fuenlabrada II - El Molino,103864391,https://www.idealista.com/inmueble/103864391/
Fuenlabrada,220000.0,2,3,81.0,Calle de Castilla la Nueva,103727615,https://www.idealista.com/inmueble/103727615/
Fuenlabrada,168000.0,1,3,100.0,Urbanización Parque Miraflores,100152945,https://www.idealista.com/inmueble/100152945/
