municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Fuente el Saz de Jarama,570000.0,3,3,601.0,Pablo Picasso,103159329,https://www.idealista.com/inmueble/103159329/
Fuente el Saz de Jarama,1150000.0,2,5,474.0,Camino VIEJO DEL CASAR,99797884,https://www.idealista.com/inmueble/99797884/
Fuente el Saz de Jarama,330000.0,1,2,164.0,"Vereda del Chaparro, 12",103869047,https://www.idealista.com/inmueble/103869047/
Fuente el Saz de Jarama,477000.0,3,5,298.0,Fuente el Saz de Jarama,100664674,https://www.idealista.com/inmueble/100664674/
Fuente el Saz de Jarama,890000.0,6,12,600.0,Fuente el Saz de Jarama,103369811,https://www.idealista.com/inmueble/103369811/
Fuente el Saz de Jarama,725000.0,3,9,429.0,Fuente el Saz de Jarama,100460728,https://www.idealista.com/inmueble/100460728/
Fuente el Saz de Jarama,795000.0,3,5,256.0,Fuente el Saz de Jarama,102346667,https://www.idealista.com/inmueble/102346667/
Fuente el Saz de Jarama,588000.0,5,7,394.0,"Pino, 22",103815536,https://www.idealista.com/inmueble/103815536/
Fuente el Saz de Jarama,595000.0,3,5,372.0,Fuente el Saz de Jarama,99539855,https://www.idealista.com/inmueble/99539855/
Fuente el Saz de Jarama,1150000.0,2,5,470.0,Fuente el Saz de Jarama,99203454,https://www.idealista.com/inmueble/99203454/
Fuente el Saz de Jarama,995000.0,4,6,400.0,Fuente el Saz de Jarama,101787816,https://www.idealista.com/inmueble/101787816/
Fuente el Saz de Jarama,450000.0,2,2,150.0,Fuente el Saz de Jarama,102555781,https://www.idealista.com/inmueble/102555781/
Fuente el Saz de Jarama,625000.0,3,5,350.0,Fuente el Saz de Jarama,98020820,https://www.idealista.com/inmueble/98020820/
Fuente el Saz de Jarama,650000.0,3,5,267.0,Fuente el Saz de Jarama,103504348,https://www.idealista.com/inmueble/103504348/
Fuente el Saz de Jarama,395000.0,2,4,300.0,CAÑADA DEL BARCO VIEJO,103101294,https://www.idealista.com/inmueble/103101294/
Fuente el Saz de Jarama,320000.0,3,3,132.0,"Carretera del Casar , 5",102791094,https://www.idealista.com/obra-nueva/102791094/
Fuente el Saz de Jarama,320000.0,3,4,132.0,"Carretera del Casar , 5",102791101,https://www.idealista.com/obra-nueva/102791101/
Fuente el Saz de Jarama,149900.0,1,2,497.0,CL DISEMINADO 114 RUST: 11-114 no number,103830875,https://www.idealista.com/inmueble/103830875/
