municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Fuentidueña de Tajo,140890.0,2,12,346.0,Fuentidueña de Tajo,103817305,https://www.idealista.com/inmueble/103817305/
Fuentidueña de Tajo,149000.0,2,4,142.0,Fuentidueña de Tajo,102028023,https://www.idealista.com/inmueble/102028023/
Fuentidueña de Tajo,124000.0,2,3,122.0,Travesía de la Plazuela,101375583,https://www.idealista.com/inmueble/101375583/
Fuentidueña de Tajo,123600.0,2,3,124.0,Colonia Tierno Galvan,103721907,https://www.idealista.com/inmueble/103721907/
Fuentidueña de Tajo,1000000.0,1,5,200.0,poligono,103586506,https://www.idealista.com/inmueble/103586506/
Fuentidueña de Tajo,120000.0,2,4,165.0,Calle cañada,103368653,https://www.idealista.com/inmueble/103368653/
Fuentidueña de Tajo,170000.0,2,8,230.0,Barrio Iglesia De La,103325848,https://www.idealista.com/inmueble/103325848/
Fuentidueña de Tajo,185000.0,2,8,260.0,Avenida de la paz,103326279,https://www.idealista.com/inmueble/103326279/
Fuentidueña de Tajo,149000.0,2,4,142.0,Calle Tres,102492598,https://www.idealista.com/inmueble/102492598/
Fuentidueña de Tajo,149000.0,2,4,142.0,"A-3, 203",103632224,https://www.idealista.com/inmueble/103632224/
Fuentidueña de Tajo,179000.0,2,4,190.0,"Calle Once, 30 B",100470118,https://www.idealista.com/inmueble/100470118/
Fuentidueña de Tajo,149000.0,2,4,469.0,Fuentidueña de Tajo,103638019,https://www.idealista.com/inmueble/103638019/
Fuentidueña de Tajo,150000.0,3,4,222.0,"NARDOS, 4",100500341,https://www.idealista.com/inmueble/100500341/
Fuentidueña de Tajo,185000.0,1,2,114.0,Calle Don Silvino Real,99801897,https://www.idealista.com/inmueble/99801897/
Fuentidueña de Tajo,152500.0,2,4,153.0,Calle Mayor,99499883,https://www.idealista.com/inmueble/99499883/
Fuentidueña de Tajo,110000.0,1,3,117.0,Calle Nueve,103547415,https://www.idealista.com/inmueble/103547415/
Fuentidueña de Tajo,79000.0,2,10,91.0,"Barrio de la Cruz, 13",101885587,https://www.idealista.com/inmueble/101885587/
Fuentidueña de Tajo,54000.0,1,3,228.0,Calle de San Andrés,102210855,https://www.idealista.com/inmueble/102210855/
Fuentidueña de Tajo,150000.0,2,3,193.0,"Calle Nardos, 4",100501222,https://www.idealista.com/inmueble/100501222/
Fuentidueña de Tajo,41400.0,1,2,70.0,Calle de San Andrés,96567005,https://www.idealista.com/inmueble/96567005/
Fuentidueña de Tajo,150000.0,2,3,193.0,Fuentidueña de Tajo,102867199,https://www.idealista.com/inmueble/102867199/
Fuentidueña de Tajo,140000.0,2,3,258.0,Fuentidueña de Tajo,102560537,https://www.idealista.com/inmueble/102560537/
