municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Galapagar,745000.0,2,3,280.0,Calle de soroya,100037307,https://www.idealista.com/inmueble/100037307/
Galapagar,560000.0,4,4,350.0,Calle de la ramona,98627286,https://www.idealista.com/inmueble/98627286/
Galapagar,1200000.0,5,5,500.0,La Navata,102294274,https://www.idealista.com/inmueble/102294274/
Galapagar,825000.0,5,5,514.0,Casco Antiguo,102163819,https://www.idealista.com/inmueble/102163819/
Galapagar,475000.0,3,5,258.0,Deportivo Galapagar - Los Almendros,101181471,https://www.idealista.com/inmueble/101181471/
Galapagar,398000.0,3,3,201.0,El Praderón,101433840,https://www.idealista.com/inmueble/101433840/
Galapagar,560000.0,3,6,315.0,La Navata,103005062,https://www.idealista.com/inmueble/103005062/
Galapagar,420000.0,3,3,201.0,El Praderón,101639796,https://www.idealista.com/inmueble/101639796/
Galapagar,495000.0,3,4,263.0,Parquelagos - Puente Nuevo,102456276,https://www.idealista.com/inmueble/102456276/
Galapagar,159900.0,2,2,87.0,Calvario,101805879,https://www.idealista.com/inmueble/101805879/
Galapagar,214900.0,2,3,114.0,Comercio,99045250,https://www.idealista.com/inmueble/99045250/
Galapagar,549900.0,3,5,263.0,Magnolia,103021364,https://www.idealista.com/inmueble/103021364/
Galapagar,284900.0,2,3,127.0,Calle de la Sílice,103186337,https://www.idealista.com/inmueble/103186337/
Galapagar,4500000.0,4,4,613.0,Casa Amarilla,94516293,https://www.idealista.com/inmueble/94516293/
Galapagar,790000.0,5,6,584.0,La Navata,102234171,https://www.idealista.com/inmueble/102234171/
Galapagar,359000.0,3,4,165.0,"Calle prado chico, 19",101227441,https://www.idealista.com/inmueble/101227441/
Galapagar,179900.0,2,3,125.0,Calle de Juan Fraile,99230871,https://www.idealista.com/inmueble/99230871/
Galapagar,595000.0,4,4,331.0,Parquelagos - Puente Nuevo,103528524,https://www.idealista.com/inmueble/103528524/
Galapagar,399000.0,2,4,241.0,El Guijo - Colonia España - Colonia San Antonio,102222398,https://www.idealista.com/inmueble/102222398/
Galapagar,640000.0,5,5,320.0,Parquelagos - Puente Nuevo,103262328,https://www.idealista.com/inmueble/103262328/
Galapagar,609900.0,3,5,364.0,Manantiales,102463258,https://www.idealista.com/inmueble/102463258/
Galapagar,629000.0,3,5,300.0,Rio Jarama,101809272,https://www.idealista.com/inmueble/101809272/
Galapagar,420000.0,2,5,317.0,Panaderos,94180947,https://www.idealista.com/inmueble/94180947/
Galapagar,165000.0,1,1,80.0,Calle del comercio,101515297,https://www.idealista.com/inmueble/101515297/
Galapagar,745000.0,5,5,600.0,Parquelagos - Puente Nuevo,32807560,https://www.idealista.com/inmueble/32807560/
Galapagar,164900.0,1,2,73.0,San Gregorio,103381923,https://www.idealista.com/inmueble/103381923/
Galapagar,830000.0,3,4,200.0,"Calle Carcalacueva, 43",103636294,https://www.idealista.com/inmueble/103636294/
Galapagar,449900.0,4,8,464.0,Riscos,101714780,https://www.idealista.com/inmueble/101714780/
Galapagar,515000.0,3,3,180.0,"Islas Cies, 17",97768837,https://www.idealista.com/inmueble/97768837/
Galapagar,664900.0,3,3,197.0,Alto de la Navata,102062111,https://www.idealista.com/inmueble/102062111/
Galapagar,199900.0,2,3,105.0,Avenida de los Voluntarios,102170261,https://www.idealista.com/inmueble/102170261/
Galapagar,149900.0,1,2,76.0,Calle de Juan Fraile,102989208,https://www.idealista.com/inmueble/102989208/
Galapagar,345000.0,3,4,138.0,Circonita,102993542,https://www.idealista.com/inmueble/102993542/
Galapagar,300000.0,3,4,140.0,"Calle del Cinabrio, 6",102100064,https://www.idealista.com/inmueble/102100064/
Galapagar,570000.0,4,4,293.0,Calle Alsacia,100916820,https://www.idealista.com/inmueble/100916820/
Galapagar,590000.0,5,7,465.0,RONCESVALLES,103869118,https://www.idealista.com/inmueble/103869118/
Galapagar,425000.0,2,4,192.0,El Guijo - Colonia España - Colonia San Antonio,101780858,https://www.idealista.com/inmueble/101780858/
Galapagar,195000.0,2,3,138.0,Casco Antiguo,101814145,https://www.idealista.com/inmueble/101814145/
Galapagar,1650000.0,6,6,1238.0,Parquelagos - Puente Nuevo,100785526,https://www.idealista.com/inmueble/100785526/
Galapagar,160000.0,1,2,79.0,Calle Palomera,103865326,https://www.idealista.com/inmueble/103865326/
Galapagar,173000.0,1,3,100.0,Calle Veracruz,103372717,https://www.idealista.com/inmueble/103372717/
Galapagar,550000.0,3,6,330.0,Puerto de Galapagar-Las Cuestas,28600122,https://www.idealista.com/inmueble/28600122/
Galapagar,600000.0,4,4,250.0,medianiles,98986033,https://www.idealista.com/inmueble/98986033/
Galapagar,172620.0,2,3,93.0,"principe, 11",103004320,https://www.idealista.com/inmueble/103004320/
Galapagar,539000.0,4,6,313.0,Parquelagos - Puente Nuevo,103613663,https://www.idealista.com/inmueble/103613663/
Galapagar,797000.0,6,7,500.0,Parquelagos - Puente Nuevo,95094649,https://www.idealista.com/inmueble/95094649/
Galapagar,695000.0,4,6,450.0,Puerto de Galapagar-Las Cuestas,102756848,https://www.idealista.com/inmueble/102756848/
Galapagar,840000.0,3,5,350.0,Puerto de Galapagar-Las Cuestas,103835194,https://www.idealista.com/inmueble/103835194/
Galapagar,435000.0,2,3,190.0,Parquelagos - Puente Nuevo,103871629,https://www.idealista.com/inmueble/103871629/
Galapagar,679000.0,2,3,231.0,Calle Almendro no number,103814678,https://www.idealista.com/inmueble/103814678/
