municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Griñón,385000.0,3,6,320.0,Griñón,98428157,https://www.idealista.com/inmueble/98428157/
Griñón,320000.0,3,4,230.0,Calle los Arcos,103814426,https://www.idealista.com/inmueble/103814426/
Griñón,390000.0,3,5,309.0,Griñón,102133057,https://www.idealista.com/inmueble/102133057/
Griñón,419900.0,3,5,314.0,Griñón,102458612,https://www.idealista.com/inmueble/102458612/
Griñón,560000.0,5,6,366.0,Griñón,100363288,https://www.idealista.com/inmueble/100363288/
Griñón,389000.0,3,3,205.0,Griñón,103636230,https://www.idealista.com/inmueble/103636230/
Griñón,795000.0,7,5,573.0,ABRANTES,98792832,https://www.idealista.com/inmueble/98792832/
Griñón,415000.0,3,5,269.0,Paseo del Carraperal,103558698,https://www.idealista.com/inmueble/103558698/
Griñón,443900.0,3,4,223.0,Manantiales,103352973,https://www.idealista.com/inmueble/103352973/
Griñón,795000.0,7,5,573.0,Griñón,98793024,https://www.idealista.com/inmueble/98793024/
Griñón,349000.0,3,4,330.0,Antonio Machado no number,103483315,https://www.idealista.com/inmueble/103483315/
Griñón,780000.0,6,6,721.0,Griñón,103045929,https://www.idealista.com/inmueble/103045929/
Griñón,525000.0,5,7,453.0,Calle Higuerales,103688413,https://www.idealista.com/inmueble/103688413/
Griñón,335000.0,3,3,212.0,Calle Zurbarán,103401543,https://www.idealista.com/inmueble/103401543/
Griñón,680000.0,3,4,543.0,Avenida de la paz,96223376,https://www.idealista.com/inmueble/96223376/
Griñón,209900.0,2,3,73.0,Alcázares,103657627,https://www.idealista.com/inmueble/103657627/
Griñón,529900.0,4,5,451.0,Calle del Sol,102545479,https://www.idealista.com/inmueble/102545479/
Griñón,690000.0,5,8,539.0,Charcos de Santa Bárbara no number,101859902,https://www.idealista.com/inmueble/101859902/
Griñón,380000.0,4,3,272.0,Paseo del Carraperal,100917769,https://www.idealista.com/inmueble/100917769/
Griñón,719000.0,3,4,260.0,Avenida de Europa,98308609,https://www.idealista.com/inmueble/98308609/
Griñón,319000.0,2,4,160.0,Calle sur,103214426,https://www.idealista.com/inmueble/103214426/
Griñón,379000.0,5,5,393.0,Calle MAYOR,102681896,https://www.idealista.com/inmueble/102681896/
Griñón,360000.0,3,4,222.0,Griñón,102785822,https://www.idealista.com/inmueble/102785822/
Griñón,399000.0,2,4,262.0,Calle la Rosa,102307190,https://www.idealista.com/inmueble/102307190/
Griñón,450000.0,5,5,432.0,Calle Austral,102511368,https://www.idealista.com/inmueble/102511368/
Griñón,389900.0,3,4,215.0,Griñón,101450185,https://www.idealista.com/inmueble/101450185/
Griñón,338900.0,4,4,231.0,Paseo de la Cárcava,101606712,https://www.idealista.com/inmueble/101606712/
Griñón,289900.0,3,4,212.0,Paseo del Carraperal,102973818,https://www.idealista.com/inmueble/102973818/
Griñón,409000.0,3,5,207.0,Paseo del Carraperal,103363567,https://www.idealista.com/inmueble/103363567/
Griñón,559900.0,5,5,519.0,Calle Abrantes,102014139,https://www.idealista.com/inmueble/102014139/
Griñón,150000.0,1,3,103.0,"Mayor, 46",87743830,https://www.idealista.com/inmueble/87743830/
Griñón,130000.0,1,3,86.0,Paseo de la Cárcava,100973595,https://www.idealista.com/inmueble/100973595/
Griñón,525000.0,5,7,453.0,Griñón,103646804,https://www.idealista.com/inmueble/103646804/
Griñón,525000.0,6,7,420.0,Griñón,103660769,https://www.idealista.com/inmueble/103660769/
Griñón,220000.0,2,3,97.0,"Calle Mayor, 10",100917757,https://www.idealista.com/inmueble/100917757/
Griñón,130000.0,1,1,56.0,Griñón,102480518,https://www.idealista.com/inmueble/102480518/
Griñón,495000.0,4,5,348.0,Griñón,103465270,https://www.idealista.com/inmueble/103465270/
Griñón,385000.0,2,4,224.0,Griñón,103432043,https://www.idealista.com/inmueble/103432043/
Griñón,390000.0,2,3,199.0,Griñón,102729187,https://www.idealista.com/inmueble/102729187/
Griñón,130000.0,1,3,86.0,"Paseo de la carcava, 2",100971599,https://www.idealista.com/inmueble/100971599/
Griñón,440000.0,3,6,315.0,Griñón,97055363,https://www.idealista.com/inmueble/97055363/
Griñón,349000.0,3,4,330.0,Calle Federico García Lorca,90266975,https://www.idealista.com/inmueble/90266975/
Griñón,289900.0,3,4,165.0,Alcázares,103459249,https://www.idealista.com/inmueble/103459249/
Griñón,560000.0,5,6,365.0,Griñón,103022738,https://www.idealista.com/inmueble/103022738/
Griñón,289990.0,3,4,212.0,Paseo del Carraperal,103802404,https://www.idealista.com/inmueble/103802404/
Griñón,356260.0,3,5,300.0,Griñón,102948941,https://www.idealista.com/inmueble/102948941/
Griñón,450000.0,5,5,432.0,Griñón,103236514,https://www.idealista.com/inmueble/103236514/
Griñón,750000.0,5,5,502.0,Griñón,94583389,https://www.idealista.com/inmueble/94583389/
Griñón,380000.0,4,4,272.0,Griñón,101898344,https://www.idealista.com/inmueble/101898344/
Griñón,527900.0,4,5,440.0,Calle del sol no number,103440732,https://www.idealista.com/inmueble/103440732/
