municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Guadalix de la Sierra,339000.0,2,3,196.0,Manolete,93228768,https://www.idealista.com/inmueble/93228768/
Guadalix de la Sierra,246000.0,2,3,130.0,Camino de las hazas,103676337,https://www.idealista.com/inmueble/103676337/
Guadalix de la Sierra,377500.0,3,4,215.0,Musica,103755902,https://www.idealista.com/inmueble/103755902/
Guadalix de la Sierra,390000.0,3,4,276.0,Urbanización Miralpantano,96677673,https://www.idealista.com/inmueble/96677673/
Guadalix de la Sierra,575000.0,3,4,200.0,Calle Ebro,103256544,https://www.idealista.com/inmueble/103256544/
Guadalix de la Sierra,225000.0,2,3,160.0,Robles,89052051,https://www.idealista.com/inmueble/89052051/
Guadalix de la Sierra,39900.0,2,2,88.0,Travesía mayor,103621542,https://www.idealista.com/inmueble/103621542/
Guadalix de la Sierra,279000.0,3,4,324.0,"Calle segura, 16",103813152,https://www.idealista.com/inmueble/103813152/
Guadalix de la Sierra,575000.0,4,5,450.0,"Calle Residencial Guadalix I, 7",90761677,https://www.idealista.com/inmueble/90761677/
Guadalix de la Sierra,227900.0,2,3,108.0,Calle ALISO no number,103792751,https://www.idealista.com/obra-nueva/103792751/
Guadalix de la Sierra,254900.0,2,4,134.0,Calle ALISO no number,103792661,https://www.idealista.com/obra-nueva/103792661/
Guadalix de la Sierra,235900.0,2,3,109.0,Calle ALISO no number,103792706,https://www.idealista.com/obra-nueva/103792706/
Guadalix de la Sierra,215900.0,2,3,86.0,Calle ALISO no number,103792747,https://www.idealista.com/obra-nueva/103792747/
Guadalix de la Sierra,215900.0,2,3,108.0,Calle ALISO no number,103792728,https://www.idealista.com/obra-nueva/103792728/
Guadalix de la Sierra,245900.0,2,4,131.0,Calle ALISO no number,103792741,https://www.idealista.com/obra-nueva/103792741/
Guadalix de la Sierra,205900.0,2,3,85.0,Calle ALISO no number,103792746,https://www.idealista.com/obra-nueva/103792746/
Guadalix de la Sierra,195900.0,2,2,80.0,Calle ALISO no number,103792712,https://www.idealista.com/obra-nueva/103792712/
Guadalix de la Sierra,136900.0,1,2,85.0,Avenida de Alejandro Rubio,89448961,https://www.idealista.com/inmueble/89448961/
Guadalix de la Sierra,215900.0,2,3,129.0,Calle ALISO no number,103177251,https://www.idealista.com/obra-nueva/103177251/
Guadalix de la Sierra,398900.0,3,4,139.0,"Calle Encinas, Tilos y Sauces no number",103158972,https://www.idealista.com/obra-nueva/103158972/
Guadalix de la Sierra,219900.0,2,3,122.0,Calle ALISO no number,103169950,https://www.idealista.com/obra-nueva/103169950/
Guadalix de la Sierra,384000.0,3,4,139.0,"Calle Encinas, Tilos y Sauces no number",103158979,https://www.idealista.com/obra-nueva/103158979/
Guadalix de la Sierra,382000.0,3,4,139.0,"Calle Encinas, Tilos y Sauces no number",103158973,https://www.idealista.com/obra-nueva/103158973/
Guadalix de la Sierra,615000.0,3,3,310.0,"Ebro, 26",101294385,https://www.idealista.com/inmueble/101294385/
Guadalix de la Sierra,246000.0,2,3,130.0,Calle Miraflores,103647698,https://www.idealista.com/inmueble/103647698/
Guadalix de la Sierra,285000.0,2,3,160.0,Miralpantano,99756739,https://www.idealista.com/inmueble/99756739/
Guadalix de la Sierra,340000.0,3,3,198.0,Calle Ángel Revilla,100257146,https://www.idealista.com/inmueble/100257146/
Guadalix de la Sierra,310000.0,2,3,147.0,MANOLETE,102905172,https://www.idealista.com/inmueble/102905172/
Guadalix de la Sierra,315000.0,2,4,155.0,urb. guadalcampo,102785788,https://www.idealista.com/inmueble/102785788/
Guadalix de la Sierra,298000.0,2,4,163.0,"Calle Mayor, 220",102336326,https://www.idealista.com/inmueble/102336326/
Guadalix de la Sierra,358765.0,4,3,191.0,Calle Pintura no number,102243959,https://www.idealista.com/obra-nueva/102243959/
Guadalix de la Sierra,165000.0,2,3,121.0,Guadalix de la Sierra,103425749,https://www.idealista.com/inmueble/103425749/
Guadalix de la Sierra,575000.0,3,4,200.0,Guadalix de la Sierra,101252536,https://www.idealista.com/inmueble/101252536/
Guadalix de la Sierra,225000.0,2,3,130.0,Guadalix de la Sierra,101419598,https://www.idealista.com/inmueble/101419598/
Guadalix de la Sierra,279000.0,2,3,195.0,Guadalix de la Sierra,102396670,https://www.idealista.com/inmueble/102396670/
Guadalix de la Sierra,145000.0,1,2,65.0,Calle Miraflores no number,102913028,https://www.idealista.com/inmueble/102913028/
Guadalix de la Sierra,149400.0,1,3,109.0,LAGUNA,98754701,https://www.idealista.com/inmueble/98754701/
Guadalix de la Sierra,389800.0,2,4,200.0,"Miralpantano, 77",103203337,https://www.idealista.com/inmueble/103203337/
Guadalix de la Sierra,380000.0,4,5,185.0,Calle Artes,102834416,https://www.idealista.com/inmueble/102834416/
Guadalix de la Sierra,110000.0,1,1,42.0,Calle Buenos Aires,102612787,https://www.idealista.com/inmueble/102612787/
Guadalix de la Sierra,645000.0,3,5,324.0,"carretas, 2",101327901,https://www.idealista.com/inmueble/101327901/
Guadalix de la Sierra,110000.0,2,3,281.0,Alejandro Rubio,103777240,https://www.idealista.com/inmueble/103777240/
Guadalix de la Sierra,90300.0,2,3,94.0,Travesía de la Fragua,103538546,https://www.idealista.com/inmueble/103538546/
Guadalix de la Sierra,149000.0,1,2,78.0,alejandro rubio,97601546,https://www.idealista.com/inmueble/97601546/
Guadalix de la Sierra,90300.0,2,3,94.0,La Fragua,103824697,https://www.idealista.com/inmueble/103824697/
Guadalix de la Sierra,248000.0,3,3,230.0,"Egido, 30",81908508,https://www.idealista.com/inmueble/81908508/
Guadalix de la Sierra,212000.0,2,4,123.0,Calle Mayor,102673022,https://www.idealista.com/inmueble/102673022/
Guadalix de la Sierra,529000.0,2,2,102.0,"Calle Colonia Arenas, 80",103723775,https://www.idealista.com/obra-nueva/103723775/
Guadalix de la Sierra,380000.0,3,4,220.0,Calle Antonio Ordóñez,100072573,https://www.idealista.com/inmueble/100072573/
Guadalix de la Sierra,430000.0,3,4,251.0,Calle Deneb,102049193,https://www.idealista.com/inmueble/102049193/
