municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Guadarrama,213000.0,2,4,124.0,Del Colmenar,102315908,https://www.idealista.com/inmueble/102315908/
Guadarrama,880000.0,5,5,480.0,Avenida de Montepinar,103432216,https://www.idealista.com/inmueble/103432216/
Guadarrama,255000.0,3,4,139.0,"Calle la Calzada, 31",103108303,https://www.idealista.com/inmueble/103108303/
Guadarrama,209900.0,2,3,104.0,"Calle Jarosa II, 3",102849103,https://www.idealista.com/inmueble/102849103/
Guadarrama,795000.0,5,6,415.0,santa isabel,102871164,https://www.idealista.com/inmueble/102871164/
Guadarrama,219900.0,2,2,88.0,Calleja del Potro,102693405,https://www.idealista.com/inmueble/102693405/
Guadarrama,149900.0,1,3,83.0,Calle de las Herrenes,103154749,https://www.idealista.com/inmueble/103154749/
Guadarrama,174900.0,2,2,65.0,arcipreste de hita,102252378,https://www.idealista.com/inmueble/102252378/
Guadarrama,399900.0,3,5,236.0,María Verónica,100477253,https://www.idealista.com/inmueble/100477253/
Guadarrama,1950000.0,5,10,1812.0,Calle Bola del Mundo,98129863,https://www.idealista.com/inmueble/98129863/
Guadarrama,419000.0,3,5,195.0,Calle madrid,100148874,https://www.idealista.com/inmueble/100148874/
Guadarrama,399000.0,3,3,168.0,Guadarrama,102678618,https://www.idealista.com/inmueble/102678618/
Guadarrama,159900.0,1,4,132.0,Cervantes,103272257,https://www.idealista.com/inmueble/103272257/
Guadarrama,189900.0,2,3,121.0,Calle Jarosa II,102986934,https://www.idealista.com/inmueble/102986934/
Guadarrama,174900.0,2,3,88.0,Calle Monteleón,101772194,https://www.idealista.com/inmueble/101772194/
Guadarrama,194900.0,2,3,82.0,Calle Monteleón,102374718,https://www.idealista.com/inmueble/102374718/
Guadarrama,449900.0,4,5,185.0,Calle San Macario,103154147,https://www.idealista.com/inmueble/103154147/
Guadarrama,819900.0,3,6,528.0,Prado de Alderete,101218395,https://www.idealista.com/inmueble/101218395/
Guadarrama,179000.0,1,3,99.0,Guadarrama,99908266,https://www.idealista.com/inmueble/99908266/
Guadarrama,650000.0,4,7,350.0,Guadarrama,98438534,https://www.idealista.com/inmueble/98438534/
Guadarrama,370000.0,2,5,200.0,Guadarrama,102111264,https://www.idealista.com/inmueble/102111264/
Guadarrama,555000.0,3,5,400.0,Calle Mónaco,98381296,https://www.idealista.com/inmueble/98381296/
Guadarrama,589000.0,3,4,350.0,Calle Gredos,102996116,https://www.idealista.com/inmueble/102996116/
Guadarrama,195000.0,1,3,85.0,Calleja Prado San Juan,103874235,https://www.idealista.com/inmueble/103874235/
Guadarrama,419000.0,3,4,180.0,"Calle Francisco de Quevedo, 7",103852476,https://www.idealista.com/obra-nueva/103852476/
Guadarrama,3500000.0,13,14,2478.0,Calle de los Escoriales,99786667,https://www.idealista.com/inmueble/99786667/
Guadarrama,3500000.0,13,14,2478.0,Calle de los Escoriales,99743569,https://www.idealista.com/inmueble/99743569/
Guadarrama,199000.0,1,2,68.0,Calle Escorial,103452418,https://www.idealista.com/inmueble/103452418/
Guadarrama,139900.0,1,3,85.0,"Calle Alfonso X, 11 A",98818961,https://www.idealista.com/inmueble/98818961/
Guadarrama,880000.0,5,6,565.0,Guadarrama,103440884,https://www.idealista.com/inmueble/103440884/
Guadarrama,609900.0,5,5,412.0,santa isabel,102691901,https://www.idealista.com/inmueble/102691901/
Guadarrama,184900.0,2,4,114.0,Calleja Prado San Juan,97083283,https://www.idealista.com/inmueble/97083283/
Guadarrama,420000.0,4,5,224.0,Guadarrama,102821841,https://www.idealista.com/inmueble/102821841/
Guadarrama,549900.0,3,4,292.0,Tilos,100715412,https://www.idealista.com/inmueble/100715412/
Guadarrama,250000.0,2,4,96.0,Peñon,101455447,https://www.idealista.com/inmueble/101455447/
Guadarrama,598000.0,4,5,414.0,Guadarrama,100365711,https://www.idealista.com/inmueble/100365711/
Guadarrama,290000.0,2,3,93.0,Guadarrama,100856285,https://www.idealista.com/inmueble/100856285/
Guadarrama,420000.0,2,3,105.0,Alameda Tercera,102958588,https://www.idealista.com/inmueble/102958588/
Guadarrama,47000.0,1,3,95.0,Guadarrama,103874370,https://www.idealista.com/inmueble/103874370/
Guadarrama,235000.0,1,2,79.0,"Calle Alto los Leones, 26",102879565,https://www.idealista.com/obra-nueva/102879565/
Guadarrama,179000.0,2,1,77.0,"Calle Alto los Leones, 26",102879716,https://www.idealista.com/obra-nueva/102879716/
Guadarrama,208000.0,2,1,92.0,"Calle Alto los Leones, 26",102879754,https://www.idealista.com/obra-nueva/102879754/
Guadarrama,220000.0,1,2,82.0,"Calle Alto los Leones, 26",102879757,https://www.idealista.com/obra-nueva/102879757/
Guadarrama,242000.0,2,3,86.0,"Calle Alto los Leones, 26",102879682,https://www.idealista.com/obra-nueva/102879682/
Guadarrama,184900.0,1,2,79.0,"del Rio, 6",102739177,https://www.idealista.com/inmueble/102739177/
Guadarrama,175000.0,2,3,93.0,Marqués de Santillana,99980096,https://www.idealista.com/inmueble/99980096/
Guadarrama,165000.0,1,2,60.0,Calle Dos Castillas,103826655,https://www.idealista.com/inmueble/103826655/
Guadarrama,159000.0,1,2,55.0,Calle Nuevo Guadarrama,101445933,https://www.idealista.com/inmueble/101445933/
Guadarrama,375000.0,2,3,130.0,"Vereda del Colmenar, 8",103665676,https://www.idealista.com/inmueble/103665676/
Guadarrama,534900.0,3,5,321.0,Calle Valle de la Fuenfría,102932074,https://www.idealista.com/inmueble/102932074/
