municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Las Rozas de Madrid,636000.0,2,4,168.0,"Morcuera, 8",103784403,https://www.idealista.com/inmueble/103784403/
Las Rozas de Madrid,465000.0,2,3,117.0,subdistrict El Burgo,103830541,https://www.idealista.com/inmueble/103830541/
Las Rozas de Madrid,2100000.0,6,5,485.0,subdistrict Club de Golf,102162772,https://www.idealista.com/inmueble/102162772/
Las Rozas de Madrid,1460000.0,5,5,492.0,Cabo Machichaco,101247274,https://www.idealista.com/inmueble/101247274/
Las Rozas de Madrid,895000.0,5,5,310.0,Calle Abetos,103811324,https://www.idealista.com/inmueble/103811324/
Las Rozas de Madrid,962000.0,4,5,525.0,Avenida Rubios,102890366,https://www.idealista.com/inmueble/102890366/
Las Rozas de Madrid,740000.0,4,6,323.0,Gerona,103485400,https://www.idealista.com/inmueble/103485400/
Las Rozas de Madrid,869900.0,4,6,301.0,Calle fresno,103731837,https://www.idealista.com/inmueble/103731837/
Las Rozas de Madrid,1550000.0,4,8,647.0,Urbanización Golf no number,97602214,https://www.idealista.com/inmueble/97602214/
Las Rozas de Madrid,3200000.0,7,6,845.0,subdistrict Club de Golf,101502234,https://www.idealista.com/inmueble/101502234/
Las Rozas de Madrid,770000.0,2,4,305.0,las matas,103412651,https://www.idealista.com/inmueble/103412651/
Las Rozas de Madrid,980000.0,4,4,440.0,Calle CHUECA,100198171,https://www.idealista.com/inmueble/100198171/
Las Rozas de Madrid,510000.0,2,3,125.0,Calle Wisteria,103323190,https://www.idealista.com/inmueble/103323190/
Las Rozas de Madrid,640000.0,3,4,260.0,Calle LAS MATAS,100706522,https://www.idealista.com/inmueble/100706522/
Las Rozas de Madrid,550000.0,2,4,155.0,castillo de arévalo,102590043,https://www.idealista.com/inmueble/102590043/
Las Rozas de Madrid,1500000.0,5,6,674.0,subdistrict Monte Rozas,99155122,https://www.idealista.com/inmueble/99155122/
Las Rozas de Madrid,1150000.0,5,5,365.0,subdistrict Marazuela- El Torreón,99857045,https://www.idealista.com/inmueble/99857045/
Las Rozas de Madrid,965000.0,4,5,385.0,subdistrict Montecillo,103795955,https://www.idealista.com/inmueble/103795955/
Las Rozas de Madrid,680000.0,2,3,170.0,Calle de la Escalonia,103592139,https://www.idealista.com/inmueble/103592139/
Las Rozas de Madrid,378000.0,2,2,89.0,subdistrict El Cantizal,103184625,https://www.idealista.com/inmueble/103184625/
Las Rozas de Madrid,1250000.0,4,6,400.0,subdistrict Monte Rozas,101904111,https://www.idealista.com/inmueble/101904111/
Las Rozas de Madrid,739900.0,4,5,350.0,subdistrict Monte Rozas,100967240,https://www.idealista.com/inmueble/100967240/
Las Rozas de Madrid,790000.0,1,3,140.0,subdistrict Pinar de las Rozas,102728618,https://www.idealista.com/inmueble/102728618/
Las Rozas de Madrid,1390000.0,6,6,564.0,Calle Platon,102657174,https://www.idealista.com/inmueble/102657174/
Las Rozas de Madrid,639000.0,3,4,176.0,subdistrict El Caño- Maracaibo,102872357,https://www.idealista.com/inmueble/102872357/
Las Rozas de Madrid,597000.0,3,4,212.0,subdistrict El Burgo,103613371,https://www.idealista.com/inmueble/103613371/
Las Rozas de Madrid,595000.0,4,4,320.0,subdistrict Las Matas- Peñascales,102549979,https://www.idealista.com/inmueble/102549979/
Las Rozas de Madrid,1249000.0,6,4,705.0,Urbanización Molino de la Hoz no number,97800005,https://www.idealista.com/inmueble/97800005/
Las Rozas de Madrid,1880000.0,11,8,1267.0,subdistrict Molino de la Hoz,103505210,https://www.idealista.com/inmueble/103505210/
Las Rozas de Madrid,1800000.0,6,6,700.0,subdistrict El Pinar- Punta Galea,102817919,https://www.idealista.com/inmueble/102817919/
Las Rozas de Madrid,630000.0,4,4,284.0,subdistrict Las Matas- Peñascales,101316306,https://www.idealista.com/inmueble/101316306/
Las Rozas de Madrid,1700000.0,5,5,573.0,subdistrict Club de Golf,103078943,https://www.idealista.com/inmueble/103078943/
Las Rozas de Madrid,558000.0,2,2,140.0,Calle Marie Curie,103409417,https://www.idealista.com/inmueble/103409417/
Las Rozas de Madrid,1160000.0,5,6,453.0,subdistrict El Cantizal,101812612,https://www.idealista.com/inmueble/101812612/
Las Rozas de Madrid,315000.0,2,3,201.0,Gredos,101320373,https://www.idealista.com/inmueble/101320373/
Las Rozas de Madrid,545000.0,2,3,121.0,Calle Islas Pitiusas,103155669,https://www.idealista.com/inmueble/103155669/
Las Rozas de Madrid,995000.0,5,6,660.0,subdistrict Monte Rozas,99417219,https://www.idealista.com/inmueble/99417219/
Las Rozas de Madrid,435000.0,2,3,120.0,subdistrict Pinar de las Rozas,103776682,https://www.idealista.com/inmueble/103776682/
Las Rozas de Madrid,373000.0,2,2,108.0,Calle de la Laguna,103472959,https://www.idealista.com/inmueble/103472959/
Las Rozas de Madrid,427000.0,2,2,154.0,Calle Mercedes Formica,103592698,https://www.idealista.com/inmueble/103592698/
Las Rozas de Madrid,575000.0,3,4,335.0,subdistrict Las Matas- Peñascales,99278185,https://www.idealista.com/inmueble/99278185/
Las Rozas de Madrid,2700000.0,9,8,820.0,subdistrict Monte Rozas,35365008,https://www.idealista.com/inmueble/35365008/
Las Rozas de Madrid,399900.0,2,2,80.0,santolina,102374749,https://www.idealista.com/inmueble/102374749/
Las Rozas de Madrid,595000.0,2,4,316.0,Avenida MAJALACABRA no number,101992100,https://www.idealista.com/inmueble/101992100/
Las Rozas de Madrid,598000.0,2,3,137.0,Calle Clara Campoamor,102184110,https://www.idealista.com/inmueble/102184110/
Las Rozas de Madrid,480000.0,2,3,172.0,subdistrict Parque Empresarial,102696415,https://www.idealista.com/inmueble/102696415/
Las Rozas de Madrid,621000.0,2,3,108.0,"FORNELLS, 19",87825989,https://www.idealista.com/inmueble/87825989/
Las Rozas de Madrid,450000.0,2,2,140.0,PLAYA DE SITGES,103660606,https://www.idealista.com/inmueble/103660606/
Las Rozas de Madrid,619000.0,2,4,140.0,Avenida Lazarejo,103693013,https://www.idealista.com/inmueble/103693013/
Las Rozas de Madrid,995000.0,4,5,347.0,Camino de Tomillarón,103471323,https://www.idealista.com/inmueble/103471323/
