municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Leganés,579000.0,4,4,203.0,Calle de Casiopea,103242504,https://www.idealista.com/inmueble/103242504/
Leganés,210000.0,1,2,64.0,Avenida libertad,102906746,https://www.idealista.com/inmueble/102906746/
Leganés,310000.0,2,3,129.0,Perú,102974143,https://www.idealista.com/inmueble/102974143/
Leganés,125000.0,1,2,53.0,subdistrict La Fortuna,103683216,https://www.idealista.com/inmueble/103683216/
Leganés,365000.0,2,4,161.0,Plaza del Salvador,102879691,https://www.idealista.com/inmueble/102879691/
Leganés,144900.0,1,4,78.0,Rio Duero,103872896,https://www.idealista.com/inmueble/103872896/
Leganés,342500.0,3,4,165.0,Calle Jesus Miguel Haddad Blanco,102176088,https://www.idealista.com/inmueble/102176088/
Leganés,169900.0,1,3,76.0,Calle de la Moraña,102772500,https://www.idealista.com/inmueble/102772500/
Leganés,489000.0,2,5,218.0,subdistrict Derechos Humanos,102660927,https://www.idealista.com/inmueble/102660927/
Leganés,525000.0,3,4,208.0,Calle Haya,103282538,https://www.idealista.com/inmueble/103282538/
Leganés,370000.0,2,4,127.0,REY JUAN CARLOS,103608013,https://www.idealista.com/inmueble/103608013/
Leganés,154000.0,1,2,55.0,Calle Isabel la Católica,102389009,https://www.idealista.com/inmueble/102389009/
Leganés,550000.0,4,5,287.0,Calle del Haya,100416930,https://www.idealista.com/inmueble/100416930/
Leganés,295000.0,2,2,100.0,Avenida de Francia,100411202,https://www.idealista.com/inmueble/100411202/
Leganés,265000.0,2,3,100.0,Avenida de los Derechos Humanos,101612758,https://www.idealista.com/inmueble/101612758/
Leganés,389500.0,2,3,123.0,"Calle Urano, 2",103874498,https://www.idealista.com/obra-nueva/103874498/
Leganés,310000.0,3,3,143.0,"Calle de Paraguay, 15",103163236,https://www.idealista.com/inmueble/103163236/
Leganés,369900.0,2,4,158.0,Calle Chile,102927354,https://www.idealista.com/inmueble/102927354/
Leganés,169000.0,1,3,65.0,Calle de la Moraña,103860188,https://www.idealista.com/inmueble/103860188/
Leganés,135000.0,1,2,60.0,Santa Teresa,103759184,https://www.idealista.com/inmueble/103759184/
Leganés,179900.0,1,3,69.0,"Mayorazgo, 14",103874541,https://www.idealista.com/inmueble/103874541/
Leganés,579900.0,3,6,280.0,subdistrict Valdepelayo-Montepinos-Arroyo Culebro,103558006,https://www.idealista.com/inmueble/103558006/
Leganés,490000.0,4,5,237.0,subdistrict V Centenario,100287984,https://www.idealista.com/inmueble/100287984/
Leganés,180000.0,1,3,100.0,subdistrict Las Dehesillas-Vereda de los Estudiantes,102179409,https://www.idealista.com/inmueble/102179409/
Leganés,559900.0,3,4,296.0,Arroyo Culebro,103859801,https://www.idealista.com/inmueble/103859801/
Leganés,434900.0,3,4,242.0,Calle Cuba,101808721,https://www.idealista.com/inmueble/101808721/
Leganés,123000.0,1,3,63.0,Calle Río Alberche,103326191,https://www.idealista.com/inmueble/103326191/
Leganés,165000.0,1,3,65.0,Calle de los Monegros,103871050,https://www.idealista.com/inmueble/103871050/
Leganés,183900.0,1,3,85.0,Avenida Doctor Martin Vegue,103871168,https://www.idealista.com/inmueble/103871168/
Leganés,120000.0,1,2,54.0,Avenida de la Libertad,103546113,https://www.idealista.com/inmueble/103546113/
Leganés,136900.0,1,3,70.0,Rio Urbion,103867128,https://www.idealista.com/inmueble/103867128/
Leganés,173000.0,1,3,85.0,Plaza Fuente Honda,103451483,https://www.idealista.com/inmueble/103451483/
Leganés,153425.0,1,1,110.0,subdistrict Casco Antiguo,97812761,https://www.idealista.com/inmueble/97812761/
Leganés,158000.0,1,3,65.0,Calle Hernán Cortés,103863323,https://www.idealista.com/inmueble/103863323/
Leganés,220000.0,2,2,88.0,subdistrict La Fortuna,103863812,https://www.idealista.com/inmueble/103863812/
Leganés,107000.0,1,3,54.0,Plaza de la Inmaculada no number,102951096,https://www.idealista.com/inmueble/102951096/
Leganés,159000.0,1,3,75.0,Calle Mayorazgo,103631160,https://www.idealista.com/inmueble/103631160/
Leganés,220000.0,2,2,105.0,Calle la Coruña,103840634,https://www.idealista.com/inmueble/103840634/
Leganés,475000.0,2,4,128.0,Calle Sancho Panza,103788608,https://www.idealista.com/inmueble/103788608/
Leganés,588000.0,3,4,214.0,subdistrict Valdepelayo-Montepinos-Arroyo Culebro,103861876,https://www.idealista.com/inmueble/103861876/
Leganés,125000.0,2,1,90.0,"Avenida de Francia, 8",101092156,https://www.idealista.com/inmueble/101092156/
Leganés,153425.0,1,1,52.0,Calle San Nicasio,103719317,https://www.idealista.com/inmueble/103719317/
Leganés,406000.0,2,3,130.0,"Calle Ourense, 34",103784742,https://www.idealista.com/inmueble/103784742/
Leganés,153425.0,1,1,52.0,Calle San Nicasio,96872962,https://www.idealista.com/inmueble/96872962/
Leganés,375000.0,2,4,221.0,Calle de los Sefarditas,102669491,https://www.idealista.com/inmueble/102669491/
Leganés,160000.0,4,0,45.0,"Calle Arquímedes, 4",97852561,https://www.idealista.com/inmueble/97852561/
Leganés,161900.0,1,3,77.0,subdistrict Zarzaquemada,103862413,https://www.idealista.com/inmueble/103862413/
Leganés,224500.0,3,3,112.0,CADIZ,103810879,https://www.idealista.com/inmueble/103810879/
Leganés,119900.0,1,3,66.0,fray luis de leon,103537296,https://www.idealista.com/inmueble/103537296/
Leganés,529900.0,4,5,240.0,subdistrict Leganés norte,103798062,https://www.idealista.com/inmueble/103798062/
