municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Loeches,271500.0,3,3,134.0,"Calle Victoria Kent, 3",103696621,https://www.idealista.com/obra-nueva/103696621/
Loeches,335000.0,2,4,180.0,Loeches,102873364,https://www.idealista.com/inmueble/102873364/
Loeches,245400.0,2,4,133.0,"Calle Victoria Kent, 3",97759262,https://www.idealista.com/obra-nueva/97759262/
Loeches,219500.0,2,3,80.0,"Calle Victoria Kent, 3",103033444,https://www.idealista.com/obra-nueva/103033444/
Loeches,267400.0,2,4,134.0,"Calle Victoria Kent, 3",97759249,https://www.idealista.com/obra-nueva/97759249/
Loeches,221500.0,2,3,85.0,"Calle Victoria Kent, 3",103033475,https://www.idealista.com/obra-nueva/103033475/
Loeches,222300.0,2,3,85.0,"Calle Victoria Kent, 3",103033451,https://www.idealista.com/obra-nueva/103033451/
Loeches,349999.0,3,5,260.0,san lorenzo,103855481,https://www.idealista.com/inmueble/103855481/
Loeches,139000.0,1,1,110.0,Vereda Carpetana,100292025,https://www.idealista.com/inmueble/100292025/
Loeches,350000.0,3,4,197.0,Loeches,101362406,https://www.idealista.com/inmueble/101362406/
Loeches,174000.0,1,2,70.0,Loeches,103854331,https://www.idealista.com/inmueble/103854331/
Loeches,180890.0,2,3,132.0,Loeches,101484887,https://www.idealista.com/inmueble/101484887/
Loeches,140000.0,1,2,97.0,Vereda CARPETANA,103808026,https://www.idealista.com/inmueble/103808026/
Loeches,139990.0,1,2,106.0,Loeches,98426539,https://www.idealista.com/inmueble/98426539/
Loeches,82260.0,1,2,48.0,Loeches,99589463,https://www.idealista.com/inmueble/99589463/
Loeches,212100.0,1,2,84.0,Loeches,102287355,https://www.idealista.com/inmueble/102287355/
Loeches,359000.0,3,4,205.0,Loeches,103839506,https://www.idealista.com/inmueble/103839506/
Loeches,296000.0,3,3,160.0,"Avenida de Bruselas, 7",102773211,https://www.idealista.com/obra-nueva/102773211/
Loeches,353500.0,4,4,190.0,Calle Berna,103688393,https://www.idealista.com/inmueble/103688393/
Loeches,296000.0,3,3,165.0,"Avenida de Bruselas, 7",102773220,https://www.idealista.com/obra-nueva/102773220/
Loeches,498000.0,3,4,276.0,Loeches,103774946,https://www.idealista.com/inmueble/103774946/
Loeches,367900.0,3,4,273.0,"Avenida del Olivar, 24",103241171,https://www.idealista.com/obra-nueva/103241171/
Loeches,198952.0,2,2,94.0,"Calle Manzanilla, 4",100686682,https://www.idealista.com/obra-nueva/100686682/
Loeches,221251.0,2,2,110.0,"Calle Manzanilla, 4",100746251,https://www.idealista.com/obra-nueva/100746251/
Loeches,244538.0,2,3,117.0,"Calle Manzanilla, 4",103419672,https://www.idealista.com/obra-nueva/103419672/
Loeches,246059.0,2,3,120.0,"Calle Manzanilla, 4",100732279,https://www.idealista.com/obra-nueva/100732279/
Loeches,259011.0,2,3,124.0,"Calle Manzanilla, 4",103419666,https://www.idealista.com/obra-nueva/103419666/
Loeches,876000.0,2,3,150.0,Loeches,103852835,https://www.idealista.com/inmueble/103852835/
Loeches,208820.0,2,2,99.0,"Calle Arganda, 17",94300945,https://www.idealista.com/obra-nueva/94300945/
Loeches,217300.0,2,2,119.0,"Calle Arganda, 17",94301011,https://www.idealista.com/obra-nueva/94301011/
Loeches,210940.0,2,2,104.0,"Calle Arganda, 17",94300961,https://www.idealista.com/obra-nueva/94300961/
Loeches,207760.0,2,2,107.0,"Calle Arganda, 17",94300905,https://www.idealista.com/obra-nueva/94300905/
Loeches,233200.0,2,2,144.0,"Calle Arganda, 17",94301047,https://www.idealista.com/obra-nueva/94301047/
Loeches,207760.0,2,2,106.0,"Calle Arganda, 17",94300876,https://www.idealista.com/obra-nueva/94300876/
Loeches,179140.0,1,1,109.0,"Calle Arganda, 17",94301010,https://www.idealista.com/obra-nueva/94301010/
Loeches,209880.0,2,2,102.0,"Calle Arganda, 17",94300982,https://www.idealista.com/obra-nueva/94300982/
Loeches,215180.0,2,2,112.0,"Calle Arganda, 17",94300986,https://www.idealista.com/obra-nueva/94300986/
Loeches,206700.0,2,2,101.0,"Calle Arganda, 17",94300920,https://www.idealista.com/obra-nueva/94300920/
Loeches,217300.0,2,2,131.0,"Calle Arganda, 17",94300864,https://www.idealista.com/obra-nueva/94300864/
Loeches,208820.0,2,2,97.0,"Calle Arganda, 17",94300978,https://www.idealista.com/obra-nueva/94300978/
Loeches,222600.0,2,2,132.0,"Calle Arganda, 17",99291790,https://www.idealista.com/obra-nueva/99291790/
Loeches,210940.0,2,2,119.0,"Calle Arganda, 17",94300938,https://www.idealista.com/obra-nueva/94300938/
Loeches,179900.0,1,2,77.0,Calle Alcala,103322998,https://www.idealista.com/inmueble/103322998/
Loeches,235984.0,2,3,114.0,"Calle Manzanilla, 4",102485189,https://www.idealista.com/obra-nueva/102485189/
Loeches,365000.0,4,4,280.0,Calle Granada,103807287,https://www.idealista.com/inmueble/103807287/
Loeches,180000.0,2,2,113.0,Vereda Carpetana,102512848,https://www.idealista.com/inmueble/102512848/
Loeches,285000.0,2,3,111.0,"Calle Manzanilla, 14",102130340,https://www.idealista.com/obra-nueva/102130340/
Loeches,178000.0,2,2,91.0,Calle Manteca con calle Sevilla no number,100917960,https://www.idealista.com/obra-nueva/100917960/
Loeches,149000.0,1,2,60.0,Calle Manteca con calle Sevilla no number,100917935,https://www.idealista.com/obra-nueva/100917935/
Loeches,165000.0,2,3,82.0,Calle Manteca con calle Sevilla no number,100917947,https://www.idealista.com/obra-nueva/100917947/
