municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Majadahonda,1250000.0,6,4,363.0,Acuario,101403692,https://www.idealista.com/inmueble/101403692/
Majadahonda,405000.0,2,3,106.0,Calle DEL CRISTO no number,97681388,https://www.idealista.com/inmueble/97681388/
Majadahonda,790000.0,3,3,163.0,Calle CERRO DEL ESPINO no number,100877077,https://www.idealista.com/inmueble/100877077/
Majadahonda,1195000.0,3,6,372.0,Calle Mar de las Indias no number,101999213,https://www.idealista.com/inmueble/101999213/
Majadahonda,875000.0,3,3,154.0,"Camino Carralero, 118",102969264,https://www.idealista.com/inmueble/102969264/
Majadahonda,1149000.0,4,4,356.0,Calle TRAVIATTA no number,103049204,https://www.idealista.com/inmueble/103049204/
Majadahonda,950000.0,3,4,170.0,Avenida España no number,100978821,https://www.idealista.com/inmueble/100978821/
Majadahonda,1450000.0,9,8,715.0,Calle ROSA DE LOS VIENTOS no number,99167276,https://www.idealista.com/inmueble/99167276/
Majadahonda,770000.0,3,4,266.0,Zona Carretera del Plantío,103691512,https://www.idealista.com/inmueble/103691512/
Majadahonda,1049900.0,4,4,200.0,Príncipe de Asturias,102838431,https://www.idealista.com/inmueble/102838431/
Majadahonda,829900.0,5,5,327.0,Calle bergantin,101467302,https://www.idealista.com/inmueble/101467302/
Majadahonda,824900.0,3,4,166.0,Calle de Sorolla,101344199,https://www.idealista.com/inmueble/101344199/
Majadahonda,1590000.0,6,5,421.0,Zona Monte el Pilar,100967306,https://www.idealista.com/inmueble/100967306/
Majadahonda,1990000.0,12,6,600.0,Zona Carretera del Plantío,98359007,https://www.idealista.com/inmueble/98359007/
Majadahonda,329900.0,1,2,111.0,"Avenida de la Oliva, 44",103224448,https://www.idealista.com/inmueble/103224448/
Majadahonda,770000.0,3,4,153.0,Zona Carretera del Plantío,103334182,https://www.idealista.com/inmueble/103334182/
Majadahonda,469900.0,2,4,139.0,Calle Alcalde Marcelino Sanz,102925899,https://www.idealista.com/inmueble/102925899/
Majadahonda,585000.0,2,3,164.0,Calle Bergantín,102660333,https://www.idealista.com/inmueble/102660333/
Majadahonda,1290000.0,4,4,410.0,Zona Carretera del Plantío,102868703,https://www.idealista.com/inmueble/102868703/
Majadahonda,890000.0,3,4,208.0,Calle Las Norias,101799742,https://www.idealista.com/inmueble/101799742/
Majadahonda,670000.0,3,5,229.0,Casco Antiguo,102834578,https://www.idealista.com/inmueble/102834578/
Majadahonda,1990000.0,5,5,600.0,Avenida Paralela no number,89727846,https://www.idealista.com/inmueble/89727846/
Majadahonda,489000.0,2,3,137.0,Zona norte,103193232,https://www.idealista.com/inmueble/103193232/
Majadahonda,1650000.0,5,5,522.0,Los Satélites - Roza Martín,102074490,https://www.idealista.com/inmueble/102074490/
Majadahonda,950000.0,5,7,386.0,Zona Carretera del Plantío,101608498,https://www.idealista.com/inmueble/101608498/
Majadahonda,649900.0,4,4,202.0,federico garcia lorca,103483182,https://www.idealista.com/inmueble/103483182/
Majadahonda,899900.0,3,4,252.0,Calle de Sorolla,100691429,https://www.idealista.com/inmueble/100691429/
Majadahonda,354900.0,2,2,82.0,Plaza de colon,102314918,https://www.idealista.com/inmueble/102314918/
Majadahonda,459900.0,2,3,161.0,Calle Velázquez,102838064,https://www.idealista.com/inmueble/102838064/
Majadahonda,379900.0,2,2,89.0,Plaza colon,103632174,https://www.idealista.com/inmueble/103632174/
Majadahonda,559000.0,2,3,145.0,Calle Sarasate,103365293,https://www.idealista.com/inmueble/103365293/
Majadahonda,749000.0,3,3,182.0,Zona Monte el Pilar,102099731,https://www.idealista.com/inmueble/102099731/
Majadahonda,715000.0,3,4,220.0,Arco de Poniente,103596316,https://www.idealista.com/inmueble/103596316/
Majadahonda,389900.0,2,4,130.0,Avenida Doctor Marañón,102838178,https://www.idealista.com/inmueble/102838178/
Majadahonda,464900.0,2,3,137.0,Carretera de Pozuelo,102448434,https://www.idealista.com/inmueble/102448434/
Majadahonda,1990000.0,10,5,573.0,Zona Carretera del Plantío,89435985,https://www.idealista.com/inmueble/89435985/
Majadahonda,539900.0,3,3,170.0,Calle Granja del Conde,103110754,https://www.idealista.com/inmueble/103110754/
Majadahonda,935000.0,4,6,282.0,Zona Monte el Pilar,102508878,https://www.idealista.com/inmueble/102508878/
Majadahonda,450000.0,2,3,141.0,Calle Morrones,103698028,https://www.idealista.com/inmueble/103698028/
Majadahonda,263000.0,2,3,92.0,Oriente,101155932,https://www.idealista.com/inmueble/101155932/
Majadahonda,314900.0,2,2,95.0,Buenavista,101949806,https://www.idealista.com/inmueble/101949806/
Majadahonda,375000.0,2,3,146.0,Pasaje Sacedilla,103202046,https://www.idealista.com/inmueble/103202046/
Majadahonda,895000.0,4,6,484.0,Zona norte,103871170,https://www.idealista.com/inmueble/103871170/
Majadahonda,469999.0,2,3,125.0,Calle COLOMBIA,103274312,https://www.idealista.com/inmueble/103274312/
Majadahonda,650000.0,3,6,309.0,Carretera de El Plantío,101265730,https://www.idealista.com/inmueble/101265730/
Majadahonda,640000.0,5,4,201.0,Calle San Isidro,102828619,https://www.idealista.com/inmueble/102828619/
Majadahonda,775000.0,3,4,163.0,"Carretera de Boadilla del Monte, 118",103621901,https://www.idealista.com/obra-nueva/103621901/
Majadahonda,795000.0,4,4,195.0,Calle Joaquín Turina,103177966,https://www.idealista.com/inmueble/103177966/
Majadahonda,595000.0,2,3,139.0,Goya,103862662,https://www.idealista.com/inmueble/103862662/
Majadahonda,749000.0,2,4,160.0,Calle Salvador Dalí,103754345,https://www.idealista.com/inmueble/103754345/
