municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Manzanares el Real,598000.0,4,5,293.0,Santillana del Lago,103254966,https://www.idealista.com/inmueble/103254966/
Manzanares el Real,649000.0,4,6,520.0,Calle CERCADOS,95258882,https://www.idealista.com/inmueble/95258882/
Manzanares el Real,499000.0,8,11,968.0,Calle del tranco,96377777,https://www.idealista.com/inmueble/96377777/
Manzanares el Real,990000.0,6,7,669.0,Calle Real,102306801,https://www.idealista.com/inmueble/102306801/
Manzanares el Real,379000.0,2,4,270.0,Manzanares el Real,97715805,https://www.idealista.com/inmueble/97715805/
Manzanares el Real,398000.0,3,3,190.0,Calle del Guadalquivir,103178791,https://www.idealista.com/inmueble/103178791/
Manzanares el Real,319900.0,1,4,220.0,Zurbarán,99752861,https://www.idealista.com/inmueble/99752861/
Manzanares el Real,395000.0,3,5,200.0,Manzanares el Real,90492292,https://www.idealista.com/inmueble/90492292/
Manzanares el Real,398000.0,3,3,170.0,Manzanares el Real,102752839,https://www.idealista.com/inmueble/102752839/
Manzanares el Real,430000.0,4,5,200.0,Manzanares el Real,99841526,https://www.idealista.com/inmueble/99841526/
Manzanares el Real,460000.0,2,3,177.0,Manzanares el Real,102125024,https://www.idealista.com/inmueble/102125024/
Manzanares el Real,380000.0,2,3,125.0,Manzanares el Real,103867584,https://www.idealista.com/inmueble/103867584/
Manzanares el Real,395000.0,2,3,180.0,Manzanares el Real,103127963,https://www.idealista.com/inmueble/103127963/
Manzanares el Real,598000.0,3,5,293.0,Manzanares el Real,102813173,https://www.idealista.com/inmueble/102813173/
Manzanares el Real,495000.0,3,4,235.0,Avenida de Nuestra Señora de la Encarnación no number,100418304,https://www.idealista.com/inmueble/100418304/
Manzanares el Real,750000.0,4,4,370.0,Manzanares el Real,103135103,https://www.idealista.com/inmueble/103135103/
Manzanares el Real,409000.0,3,4,260.0,"Travesía de los Llanos, 4",99798418,https://www.idealista.com/inmueble/99798418/
Manzanares el Real,165000.0,2,2,85.0,Calle Mirasierra,102893845,https://www.idealista.com/inmueble/102893845/
Manzanares el Real,400000.0,4,4,228.0,"rincón de cantabria, 4",99611787,https://www.idealista.com/inmueble/99611787/
Manzanares el Real,434000.0,3,4,220.0,Calle Cuatro Peñas  no number,103178761,https://www.idealista.com/obra-nueva/103178761/
Manzanares el Real,483000.0,3,4,190.0,Calle Cuatro Peñas  no number,103178734,https://www.idealista.com/obra-nueva/103178734/
Manzanares el Real,398000.0,3,4,155.0,Calle Cuatro Peñas  no number,103158549,https://www.idealista.com/obra-nueva/103158549/
Manzanares el Real,410000.0,4,5,222.0,Manzanares el Real,100945754,https://www.idealista.com/inmueble/100945754/
Manzanares el Real,215000.0,2,4,130.0,Manzanares el Real,103809313,https://www.idealista.com/inmueble/103809313/
Manzanares el Real,495000.0,3,4,298.0,Manzanares el Real,100676694,https://www.idealista.com/inmueble/100676694/
Manzanares el Real,288400.0,2,4,170.0,Calle Tejeruela,103064432,https://www.idealista.com/inmueble/103064432/
Manzanares el Real,175000.0,2,2,75.0,Calle de José Antonio,102113826,https://www.idealista.com/inmueble/102113826/
Manzanares el Real,1500000.0,1,1,450.0,Manzanares el Real,103815407,https://www.idealista.com/inmueble/103815407/
Manzanares el Real,424000.0,2,5,180.0,Avenida de los Toreros,95708290,https://www.idealista.com/inmueble/95708290/
Manzanares el Real,395000.0,3,4,260.0,Avenida Mataelpino,102837199,https://www.idealista.com/inmueble/102837199/
Manzanares el Real,146000.0,1,3,83.0,Calle PANADEROS,103647294,https://www.idealista.com/inmueble/103647294/
Manzanares el Real,560000.0,2,2,102.0,Calle Manzanares no number,103739044,https://www.idealista.com/obra-nueva/103739044/
Manzanares el Real,146000.0,1,3,83.0,Calle PANADEROS,103710338,https://www.idealista.com/inmueble/103710338/
Manzanares el Real,155000.0,1,2,70.0,"Calle del Arcipreste de Hita, 18",103587055,https://www.idealista.com/inmueble/103587055/
Manzanares el Real,259900.0,3,5,259.0,Calle de las Amapolas no number,94402028,https://www.idealista.com/inmueble/94402028/
Manzanares el Real,420000.0,2,7,200.0,Calle Guadalquivir,102676147,https://www.idealista.com/inmueble/102676147/
Manzanares el Real,399500.0,3,6,340.0,Calle de los Cercados,98000304,https://www.idealista.com/inmueble/98000304/
Manzanares el Real,199000.0,3,3,113.0,Cañada,103419726,https://www.idealista.com/inmueble/103419726/
Manzanares el Real,450000.0,3,5,300.0,Manzanares el Real,102545854,https://www.idealista.com/inmueble/102545854/
Manzanares el Real,265000.0,1,2,53.0,Manzanares el Real,101051053,https://www.idealista.com/inmueble/101051053/
Manzanares el Real,399000.0,1,4,185.0,Manzanares el Real,100580581,https://www.idealista.com/inmueble/100580581/
Manzanares el Real,165000.0,1,2,75.0,Manzanares el Real,103056584,https://www.idealista.com/inmueble/103056584/
Manzanares el Real,385000.0,3,3,200.0,Manzanares el Real,99587598,https://www.idealista.com/inmueble/99587598/
Manzanares el Real,375000.0,2,2,120.0,Manzanares el Real,103532990,https://www.idealista.com/inmueble/103532990/
Manzanares el Real,625000.0,4,8,238.0,Manzanares el Real,98517246,https://www.idealista.com/inmueble/98517246/
Manzanares el Real,347000.0,2,3,153.0,Manzanares el Real,102810196,https://www.idealista.com/inmueble/102810196/
Manzanares el Real,524900.0,4,9,470.0,Manzanares el Real,92887964,https://www.idealista.com/inmueble/92887964/
Manzanares el Real,310000.0,2,3,143.0,Manzanares el Real,103296713,https://www.idealista.com/inmueble/103296713/
Manzanares el Real,149000.0,1,2,103.0,Manzanares el Real,102653628,https://www.idealista.com/inmueble/102653628/
Manzanares el Real,265000.0,1,2,53.0,Manzanares el Real,102577029,https://www.idealista.com/inmueble/102577029/
