municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Miraflores de la Sierra,1150000.0,5,7,1042.0,Miraflores de la Sierra,102590024,https://www.idealista.com/inmueble/102590024/
Miraflores de la Sierra,185000.0,2,2,100.0,Miraflores de la Sierra,86760095,https://www.idealista.com/inmueble/86760095/
Miraflores de la Sierra,360000.0,3,5,360.0,Avenida LUZ,100286251,https://www.idealista.com/inmueble/100286251/
Miraflores de la Sierra,160000.0,2,3,123.0,Paseo de los Álamos,96627454,https://www.idealista.com/inmueble/96627454/
Miraflores de la Sierra,443700.0,2,5,397.0,Calle Toribia,103281851,https://www.idealista.com/inmueble/103281851/
Miraflores de la Sierra,893000.0,6,10,853.0,San Pedro,99092183,https://www.idealista.com/inmueble/99092183/
Miraflores de la Sierra,265000.0,3,3,200.0,Calle SIERRA,102111539,https://www.idealista.com/inmueble/102111539/
Miraflores de la Sierra,158000.0,1,2,78.0,Calle Eusebio Guadalix,100508229,https://www.idealista.com/inmueble/100508229/
Miraflores de la Sierra,330000.0,3,3,158.0,"Urbanización Parque Miraflores - Calle Miguel Hernandez, 5",96799730,https://www.idealista.com/obra-nueva/96799730/
Miraflores de la Sierra,305000.0,3,4,174.0,"Urbanización Parque Miraflores - Calle Miguel Hernandez, 5",96799853,https://www.idealista.com/obra-nueva/96799853/
Miraflores de la Sierra,330000.0,3,3,243.0,"Urbanización Parque Miraflores - Calle Miguel Hernandez, 5",96799768,https://www.idealista.com/obra-nueva/96799768/
Miraflores de la Sierra,893000.0,6,10,853.0,Miraflores de la Sierra,101132658,https://www.idealista.com/inmueble/101132658/
Miraflores de la Sierra,289000.0,3,3,140.0,"DEL CONCEJO, 1",103561240,https://www.idealista.com/inmueble/103561240/
Miraflores de la Sierra,158000.0,1,2,79.0,"Calle Eusebio Guadalix,",100071064,https://www.idealista.com/inmueble/100071064/
Miraflores de la Sierra,495000.0,3,4,152.0,"Calle San Pablo Urb. Cantagallo, 34",103721305,https://www.idealista.com/obra-nueva/103721305/
Miraflores de la Sierra,275000.0,3,3,213.0,Calle Río Manzanares,103509792,https://www.idealista.com/inmueble/103509792/
Miraflores de la Sierra,430000.0,3,4,272.0,Avenida de Miraflores de la Sierra no number,95615721,https://www.idealista.com/obra-nueva/95615721/
Miraflores de la Sierra,430000.0,3,4,204.0,"Avenida Miraflores de la Sierra , 2",103515490,https://www.idealista.com/obra-nueva/103515490/
Miraflores de la Sierra,525000.0,3,4,256.0,"Avenida Miraflores de la Sierra , 2",103515520,https://www.idealista.com/obra-nueva/103515520/
Miraflores de la Sierra,525000.0,3,4,262.0,"Avenida Miraflores de la Sierra , 2",103515522,https://www.idealista.com/obra-nueva/103515522/
Miraflores de la Sierra,445000.0,3,4,210.0,"Avenida Miraflores de la Sierra , 2",103515503,https://www.idealista.com/obra-nueva/103515503/
Miraflores de la Sierra,336000.0,3,4,171.0,"Avenida Miraflores de la Sierra , 2",103515452,https://www.idealista.com/obra-nueva/103515452/
Miraflores de la Sierra,386000.0,3,4,162.0,"Avenida Miraflores de la Sierra , 2",103515486,https://www.idealista.com/obra-nueva/103515486/
Miraflores de la Sierra,360000.0,2,3,171.0,"Avenida Miraflores de la Sierra , 2",103515477,https://www.idealista.com/obra-nueva/103515477/
Miraflores de la Sierra,520000.0,3,4,262.0,"Avenida Miraflores de la Sierra , 2",103515521,https://www.idealista.com/obra-nueva/103515521/
Miraflores de la Sierra,455000.0,3,4,204.0,"Avenida Miraflores de la Sierra , 2",103515502,https://www.idealista.com/obra-nueva/103515502/
Miraflores de la Sierra,535000.0,3,4,256.0,"Avenida Miraflores de la Sierra , 2",103515489,https://www.idealista.com/obra-nueva/103515489/
Miraflores de la Sierra,189500.0,2,2,138.0,Eusebio Guadalix,98561411,https://www.idealista.com/inmueble/98561411/
Miraflores de la Sierra,893000.0,6,10,853.0,Miraflores de la Sierra,99087218,https://www.idealista.com/inmueble/99087218/
Miraflores de la Sierra,370000.0,2,4,164.0,Los Endrinales,103401883,https://www.idealista.com/inmueble/103401883/
