municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Moralzarzal,390000.0,2,3,215.0,Calle sur,101093456,https://www.idealista.com/inmueble/101093456/
Moralzarzal,285000.0,3,4,160.0,"morera, 1",102622572,https://www.idealista.com/inmueble/102622572/
Moralzarzal,379000.0,4,3,279.0,Zona Centro,101852674,https://www.idealista.com/inmueble/101852674/
Moralzarzal,495000.0,3,4,312.0,Calle CRUZ DE MAYO,103005806,https://www.idealista.com/inmueble/103005806/
Moralzarzal,389000.0,3,5,170.0,Zona Centro,103589124,https://www.idealista.com/inmueble/103589124/
Moralzarzal,495000.0,2,4,193.0,Zona Iglesia - Estación,102543397,https://www.idealista.com/inmueble/102543397/
Moralzarzal,395000.0,2,4,181.0,Zona Iglesia - Estación,103638625,https://www.idealista.com/inmueble/103638625/
Moralzarzal,492800.0,3,4,174.0,"Calle Arroyo Grande, 93",101927263,https://www.idealista.com/obra-nueva/101927263/
Moralzarzal,517800.0,3,4,174.0,"Calle Arroyo Grande, 93",101927199,https://www.idealista.com/obra-nueva/101927199/
Moralzarzal,498310.0,3,4,174.0,"Calle Arroyo Grande, 93",101927288,https://www.idealista.com/obra-nueva/101927288/
Moralzarzal,512950.0,3,4,174.0,"Calle Arroyo Grande, 93",101927279,https://www.idealista.com/obra-nueva/101927279/
Moralzarzal,498310.0,3,4,174.0,"Calle Arroyo Grande, 93",101927278,https://www.idealista.com/obra-nueva/101927278/
Moralzarzal,492800.0,3,4,174.0,"Calle Arroyo Grande, 93",101927261,https://www.idealista.com/obra-nueva/101927261/
Moralzarzal,487950.0,3,4,174.0,"Calle Arroyo Grande, 93",101927260,https://www.idealista.com/obra-nueva/101927260/
Moralzarzal,530000.0,4,4,210.0,Calle prado abuelos,103783352,https://www.idealista.com/inmueble/103783352/
Moralzarzal,420000.0,3,4,190.0,Zona Los Lagos,101393525,https://www.idealista.com/inmueble/101393525/
Moralzarzal,555000.0,7,6,538.0,Zona Polideportivo Colonia,103808427,https://www.idealista.com/inmueble/103808427/
Moralzarzal,420000.0,4,3,236.0,Calle de Cerquillas,103707868,https://www.idealista.com/inmueble/103707868/
Moralzarzal,464910.0,3,4,183.0,"Calle Alfonso X El Sabio, 47",100242881,https://www.idealista.com/obra-nueva/100242881/
Moralzarzal,491000.0,3,6,225.0,Zona Iglesia - Estación,103835013,https://www.idealista.com/inmueble/103835013/
Moralzarzal,495000.0,3,4,312.0,Calle DE CRUZ DE MAYO,103005683,https://www.idealista.com/inmueble/103005683/
Moralzarzal,550000.0,3,5,323.0,NUESTRA SEÑORA DE LA BEGOÑA,103835284,https://www.idealista.com/inmueble/103835284/
Moralzarzal,484000.0,4,5,204.0,Calle Linar de la Maliciosa,103059991,https://www.idealista.com/inmueble/103059991/
Moralzarzal,700000.0,3,4,298.0,Calle Fuente del Piojo,102979804,https://www.idealista.com/inmueble/102979804/
Moralzarzal,638000.0,3,6,238.0,Cerquillas del Raso,102889490,https://www.idealista.com/inmueble/102889490/
Moralzarzal,229000.0,1,3,112.0,Calle de la Cruz,103117544,https://www.idealista.com/inmueble/103117544/
Moralzarzal,430000.0,2,5,210.0,Calle vigo,103496527,https://www.idealista.com/inmueble/103496527/
Moralzarzal,369000.0,3,4,169.0,Zona Centro,103688248,https://www.idealista.com/inmueble/103688248/
Moralzarzal,175000.0,1,2,70.0,Urbanización Olmosierra,103443591,https://www.idealista.com/inmueble/103443591/
Moralzarzal,222000.0,2,3,79.0,"La Herradura, 14",102865343,https://www.idealista.com/inmueble/102865343/
Moralzarzal,370000.0,2,3,171.0,Zona Centro,102687758,https://www.idealista.com/inmueble/102687758/
Moralzarzal,395000.0,2,4,165.0,Zona Centro,101991114,https://www.idealista.com/inmueble/101991114/
Moralzarzal,565000.0,3,5,312.0,Zona Los Lagos,103127832,https://www.idealista.com/inmueble/103127832/
Moralzarzal,526750.0,3,5,214.0,"prado de la laguna, 56",102906303,https://www.idealista.com/inmueble/102906303/
Moralzarzal,517350.0,3,5,214.0,"arroyo grande, 68",98935970,https://www.idealista.com/inmueble/98935970/
Moralzarzal,412000.0,3,3,129.0,pradillos,103803401,https://www.idealista.com/inmueble/103803401/
Moralzarzal,400000.0,2,3,174.0,Paseo de los Enebros,103520366,https://www.idealista.com/inmueble/103520366/
Moralzarzal,459000.0,3,4,213.0,San Miguel,103759995,https://www.idealista.com/inmueble/103759995/
Moralzarzal,357990.0,3,4,177.0,RUBEN DARIO,102880113,https://www.idealista.com/inmueble/102880113/
Moralzarzal,399000.0,2,3,215.0,sur,101201047,https://www.idealista.com/inmueble/101201047/
Moralzarzal,108000.0,1,3,90.0,Huerta,101598805,https://www.idealista.com/inmueble/101598805/
Moralzarzal,550000.0,3,4,200.0,Calle Cerrillo de las Pozas,102374987,https://www.idealista.com/inmueble/102374987/
Moralzarzal,178000.0,1,2,57.0,Zona Centro,103014112,https://www.idealista.com/inmueble/103014112/
Moralzarzal,352500.0,4,4,180.0,Zona Colegios,103622474,https://www.idealista.com/inmueble/103622474/
Moralzarzal,700000.0,3,4,298.0,Zona Iglesia - Estación,102904446,https://www.idealista.com/inmueble/102904446/
Moralzarzal,399000.0,2,3,210.0,sur,101817985,https://www.idealista.com/inmueble/101817985/
Moralzarzal,130000.0,1,0,70.0,Zona Colegios,103847252,https://www.idealista.com/inmueble/103847252/
Moralzarzal,395000.0,3,4,195.0,Zona Los Lagos,98516753,https://www.idealista.com/inmueble/98516753/
Moralzarzal,517350.0,3,5,214.0,"prado de la laguna, 19",98931417,https://www.idealista.com/inmueble/98931417/
