municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Navalcarnero,485000.0,3,4,295.0,Calle del Pino Canario,103029769,https://www.idealista.com/inmueble/103029769/
Navalcarnero,208900.0,1,3,104.0,Calle de Fidel Borrajo,103382495,https://www.idealista.com/inmueble/103382495/
Navalcarnero,363500.0,3,5,225.0,Calle del Pino Resinero,102765968,https://www.idealista.com/inmueble/102765968/
Navalcarnero,155900.0,1,3,85.0,Calle Mirasierra,102857746,https://www.idealista.com/inmueble/102857746/
Navalcarnero,269900.0,2,3,180.0,Calle del Pastoreo,102608065,https://www.idealista.com/inmueble/102608065/
Navalcarnero,299900.0,3,3,210.0,Antonio machado,103208923,https://www.idealista.com/inmueble/103208923/
Navalcarnero,215990.0,1,2,84.0,Avenida de la Dehesa,103731763,https://www.idealista.com/inmueble/103731763/
Navalcarnero,269000.0,2,3,135.0,"Labrador, 1",103362943,https://www.idealista.com/inmueble/103362943/
Navalcarnero,329000.0,3,3,150.0,"labrador, 1",103100371,https://www.idealista.com/inmueble/103100371/
Navalcarnero,279500.0,2,4,207.0,Calle Pino Abeto,103632293,https://www.idealista.com/inmueble/103632293/
Navalcarnero,251500.0,2,3,120.0,Calle Pino Abeto,103704701,https://www.idealista.com/inmueble/103704701/
Navalcarnero,249900.0,2,2,151.0,Calle del Labrador,102195736,https://www.idealista.com/inmueble/102195736/
Navalcarnero,299990.0,3,4,258.0,CAMILO JOSE CELA,101817627,https://www.idealista.com/inmueble/101817627/
Navalcarnero,499000.0,3,5,332.0,Calle de la Cruz Aspada,103209763,https://www.idealista.com/inmueble/103209763/
Navalcarnero,345000.0,2,3,235.0,Calle del Arcángel Gabriel,102903988,https://www.idealista.com/inmueble/102903988/
Navalcarnero,289990.0,2,5,195.0,Calle del Canto Pelín,103485623,https://www.idealista.com/inmueble/103485623/
Navalcarnero,319900.0,2,3,160.0,Calle de Santiago García Vicuña,102774947,https://www.idealista.com/inmueble/102774947/
Navalcarnero,249900.0,2,2,122.0,Avenida del Arroyo Juncal,103248617,https://www.idealista.com/inmueble/103248617/
Navalcarnero,159000.0,1,4,100.0,Plaza de Buenavista,103461168,https://www.idealista.com/inmueble/103461168/
Navalcarnero,262900.0,2,3,120.0,Calle de Cafarnaum,102443753,https://www.idealista.com/inmueble/102443753/
Navalcarnero,319000.0,2,3,155.0,"Calle del Pastoreo, 26",103224318,https://www.idealista.com/inmueble/103224318/
