municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Navas del Rey,87500.0,2,4,120.0,"Calle casco urbano,",103887367,https://www.idealista.com/inmueble/103887367/
Navas del Rey,265000.0,4,5,261.0,Calle Arroyo la Salinera,101521139,https://www.idealista.com/inmueble/101521139/
Navas del Rey,249000.0,3,4,190.0,"Calle Arroyo Pinarejo, 246 -248",96824863,https://www.idealista.com/inmueble/96824863/
Navas del Rey,328000.0,3,4,279.0,"Calle colmenar del arroyo, 2 C",103670345,https://www.idealista.com/inmueble/103670345/
Navas del Rey,249000.0,3,5,196.0,Zagales,82528744,https://www.idealista.com/inmueble/82528744/
Navas del Rey,175000.0,4,7,208.0,Calle del Roble,100999015,https://www.idealista.com/inmueble/100999015/
Navas del Rey,129000.0,1,4,88.0,Calle Arroyo los Charcones,98832576,https://www.idealista.com/inmueble/98832576/
Navas del Rey,80000.0,1,1,35.0,Embalse de Carrión,103474518,https://www.idealista.com/inmueble/103474518/
Navas del Rey,129000.0,1,4,88.0,Calle Arroyo los Charcones,103306201,https://www.idealista.com/inmueble/103306201/
Navas del Rey,198900.0,2,3,100.0,COLMENAR DEL ARROYO,103802916,https://www.idealista.com/inmueble/103802916/
Navas del Rey,248000.0,3,3,293.0,Navas del Rey,36058117,https://www.idealista.com/inmueble/36058117/
Navas del Rey,235000.0,2,3,135.0,Montero P. Espinosa,102873553,https://www.idealista.com/inmueble/102873553/
Navas del Rey,259000.0,2,4,148.0,Ronda de los Pastores,102607271,https://www.idealista.com/inmueble/102607271/
Navas del Rey,1950000.0,20,20,3483.0,Navas del Rey,96192494,https://www.idealista.com/inmueble/96192494/
Navas del Rey,249000.0,3,3,190.0,centro,103475533,https://www.idealista.com/inmueble/103475533/
Navas del Rey,154000.0,2,4,180.0,"Calle roble, 146",97428384,https://www.idealista.com/inmueble/97428384/
Navas del Rey,160000.0,1,2,95.0,Navas del Rey,103806777,https://www.idealista.com/inmueble/103806777/
Navas del Rey,262000.0,2,5,153.0,Navas del Rey,103459462,https://www.idealista.com/inmueble/103459462/
Navas del Rey,190000.0,2,2,158.0,Navas del Rey,103321904,https://www.idealista.com/inmueble/103321904/
Navas del Rey,161880.0,1,2,180.0,Navas del Rey,97610720,https://www.idealista.com/inmueble/97610720/
Navas del Rey,79000.0,1,4,142.0,Navas del Rey,102579462,https://www.idealista.com/inmueble/102579462/
Navas del Rey,100000.0,1,3,135.0,Navas del Rey,98525275,https://www.idealista.com/inmueble/98525275/
Navas del Rey,170000.0,1,3,70.0,Navas del Rey,103027928,https://www.idealista.com/inmueble/103027928/
Navas del Rey,154000.0,1,2,54.0,Calle del Roble,102004136,https://www.idealista.com/inmueble/102004136/
