municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Parla,435000.0,2,3,259.0,Venezuela,102160720,https://www.idealista.com/inmueble/102160720/
Parla,195000.0,1,2,118.0,Calle Sancha Barca,103520906,https://www.idealista.com/inmueble/103520906/
Parla,172500.0,2,2,108.0,Calle la Pila,103583611,https://www.idealista.com/inmueble/103583611/
Parla,247500.0,2,3,113.0,Calle Constelación de Casiopea,103556865,https://www.idealista.com/inmueble/103556865/
Parla,165000.0,2,3,81.0,Calle de la Macarena,103232719,https://www.idealista.com/inmueble/103232719/
Parla,104500.0,1,3,60.0,Calle de Pablo VI,102630031,https://www.idealista.com/inmueble/102630031/
Parla,585000.0,4,5,428.0,Calle Azucena,101379962,https://www.idealista.com/inmueble/101379962/
Parla,239000.0,2,3,107.0,Planeta Urano,103392724,https://www.idealista.com/inmueble/103392724/
Parla,124000.0,1,3,74.0,Calle Fuentebella,103153802,https://www.idealista.com/inmueble/103153802/
Parla,328000.0,4,5,220.0,Bahamas,102552407,https://www.idealista.com/inmueble/102552407/
Parla,289000.0,3,3,153.0,Calle Julio González,92461509,https://www.idealista.com/inmueble/92461509/
Parla,399990.0,3,4,165.0,Calle María Teresa León,103740448,https://www.idealista.com/inmueble/103740448/
Parla,167000.0,2,2,70.0,El Nido-Las Fuentes,103259578,https://www.idealista.com/inmueble/103259578/
Parla,117000.0,1,3,82.0,Calle Fuentebella,103870775,https://www.idealista.com/inmueble/103870775/
Parla,129000.0,1,3,90.0,"Calle San Roque, 57",103865962,https://www.idealista.com/inmueble/103865962/
Parla,99000.0,1,3,67.0,SALAMANCA,102102373,https://www.idealista.com/inmueble/102102373/
Parla,149000.0,1,3,74.0,Parque Inlasa,100551745,https://www.idealista.com/inmueble/100551745/
Parla,120000.0,1,2,72.0,Fuentebella-San Felix-El Leguario,103871344,https://www.idealista.com/inmueble/103871344/
Parla,145999.0,2,3,75.0,Calle Monte Sinaí,103869610,https://www.idealista.com/inmueble/103869610/
Parla,379000.0,3,4,238.0,Avenida del Leguario,102362897,https://www.idealista.com/inmueble/102362897/
Parla,165000.0,2,3,87.0,Calle CUBA,103872129,https://www.idealista.com/inmueble/103872129/
Parla,170000.0,2,2,133.0,Calle Victoria Kent,102840013,https://www.idealista.com/inmueble/102840013/
Parla,120000.0,1,3,68.0,Travesía Río Ebro,103850762,https://www.idealista.com/inmueble/103850762/
Parla,429500.0,2,3,260.0,Las Américas,103813091,https://www.idealista.com/inmueble/103813091/
Parla,104999.0,1,2,65.0,Calle Alfonso XIII,103576447,https://www.idealista.com/inmueble/103576447/
Parla,179900.0,2,3,95.0,Parla Este,103548415,https://www.idealista.com/inmueble/103548415/
Parla,75000.0,1,2,79.0,Calle del Olvido no number,88471123,https://www.idealista.com/inmueble/88471123/
Parla,364000.0,2,3,106.0,Avenida del Sistema Solar,103779445,https://www.idealista.com/inmueble/103779445/
Parla,134999.0,1,2,75.0,Calle Fuentebella,102227856,https://www.idealista.com/inmueble/102227856/
Parla,94990.0,1,3,85.0,Fuentebella-San Felix-El Leguario,103872264,https://www.idealista.com/inmueble/103872264/
Parla,139900.0,1,3,95.0,Pintores-Ferial,103856461,https://www.idealista.com/inmueble/103856461/
Parla,134990.0,1,3,102.0,Reyes,103862641,https://www.idealista.com/inmueble/103862641/
Parla,170000.0,2,3,133.0,Calle Reyes Católicos,103502549,https://www.idealista.com/inmueble/103502549/
Parla,75000.0,1,2,53.0,"Humanes, 51",102225633,https://www.idealista.com/inmueble/102225633/
Parla,240000.0,2,4,117.0,Calle María Cristina,103008188,https://www.idealista.com/inmueble/103008188/
Parla,95000.0,1,3,74.0,"Calle Salamanca, 4",103831125,https://www.idealista.com/inmueble/103831125/
Parla,103000.0,1,2,65.0,Juan XXIII,98764643,https://www.idealista.com/inmueble/98764643/
Parla,275000.0,2,3,158.0,Calle el Cebadero,103576393,https://www.idealista.com/inmueble/103576393/
Parla,339900.0,2,4,165.0,Calle Pablo Neruda,103512108,https://www.idealista.com/inmueble/103512108/
Parla,170000.0,2,2,107.0,Calle Cristina Sánchez,103627898,https://www.idealista.com/inmueble/103627898/
Parla,206286.0,2,3,96.0,"Calle La Fuente , 8",103658460,https://www.idealista.com/obra-nueva/103658460/
Parla,215573.0,2,3,102.0,"Calle La Fuente , 8",103658626,https://www.idealista.com/obra-nueva/103658626/
Parla,219251.0,2,3,98.0,"Calle La Fuente , 8",103658684,https://www.idealista.com/obra-nueva/103658684/
Parla,217219.0,2,3,100.0,"Calle La Fuente , 8",103658669,https://www.idealista.com/obra-nueva/103658669/
Parla,194201.0,2,2,86.0,"Calle La Fuente , 8",103658688,https://www.idealista.com/obra-nueva/103658688/
Parla,187131.0,2,2,86.0,"Calle La Fuente , 8",103658619,https://www.idealista.com/obra-nueva/103658619/
Parla,187827.0,2,2,79.0,"Calle La Fuente , 8",103658671,https://www.idealista.com/obra-nueva/103658671/
Parla,222527.0,2,3,100.0,"Calle La Fuente , 8",103658672,https://www.idealista.com/obra-nueva/103658672/
Parla,181261.0,1,0,84.0,"Calle La Fuente , 8",103658575,https://www.idealista.com/obra-nueva/103658575/
Parla,126500.0,1,3,79.0,Calle Aranjuez,103390079,https://www.idealista.com/inmueble/103390079/
