municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Pedrezuela,310000.0,3,4,206.0,Pedrezuela,95724803,https://www.idealista.com/inmueble/95724803/
Pedrezuela,360000.0,3,3,230.0,Pedrezuela,103853176,https://www.idealista.com/inmueble/103853176/
Pedrezuela,389900.0,3,5,321.0,Calle Toledo,101795177,https://www.idealista.com/inmueble/101795177/
Pedrezuela,380000.0,2,4,403.0,Avenida Santander,100628213,https://www.idealista.com/inmueble/100628213/
Pedrezuela,204000.0,2,4,244.0,San Isidro,103058735,https://www.idealista.com/inmueble/103058735/
Pedrezuela,170000.0,3,4,100.0,"Paz, 28",99443801,https://www.idealista.com/inmueble/99443801/
Pedrezuela,132500.0,1,2,64.0,Pedrezuela,103861000,https://www.idealista.com/inmueble/103861000/
Pedrezuela,430000.0,6,7,450.0,Calle Cádiz,97964350,https://www.idealista.com/inmueble/97964350/
Pedrezuela,389900.0,3,5,321.0,Calle Toledo,102569819,https://www.idealista.com/inmueble/102569819/
Pedrezuela,380000.0,2,3,467.0,Pozo Charca,103538549,https://www.idealista.com/inmueble/103538549/
Pedrezuela,360000.0,4,4,300.0,Calle San Roque,100312195,https://www.idealista.com/inmueble/100312195/
Pedrezuela,580000.0,5,6,500.0,Calle León,100839101,https://www.idealista.com/inmueble/100839101/
Pedrezuela,380000.0,2,4,117.0,Diseminado Cr Guadalix,102634764,https://www.idealista.com/inmueble/102634764/
Pedrezuela,367000.0,3,4,177.0,Alto de Santa Ana,103843389,https://www.idealista.com/inmueble/103843389/
Pedrezuela,426000.0,3,4,307.0,Pedrezuela,103051263,https://www.idealista.com/inmueble/103051263/
Pedrezuela,380000.0,2,4,403.0,Pedrezuela,100588387,https://www.idealista.com/inmueble/100588387/
Pedrezuela,449000.0,3,3,210.0,"Calle del refugio, 12",103462194,https://www.idealista.com/inmueble/103462194/
Pedrezuela,134600.0,2,2,85.0,Calle Prado Gallego,103311247,https://www.idealista.com/inmueble/103311247/
Pedrezuela,380000.0,3,4,203.0,"Calle Granada, 16",101631808,https://www.idealista.com/inmueble/101631808/
Pedrezuela,580000.0,5,5,457.0,Pedrezuela,101134394,https://www.idealista.com/inmueble/101134394/
Pedrezuela,283000.0,1,2,105.0,Pedrezuela,102120985,https://www.idealista.com/inmueble/102120985/
Pedrezuela,299500.0,3,4,195.0,Calle pastor,100722878,https://www.idealista.com/inmueble/100722878/
Pedrezuela,610000.0,2,4,225.0,Pedrezuela,101884622,https://www.idealista.com/inmueble/101884622/
Pedrezuela,360000.0,4,4,300.0,SAN ROQUE,99262803,https://www.idealista.com/inmueble/99262803/
Pedrezuela,125000.0,1,2,64.0,"EGIDO, 25",103549689,https://www.idealista.com/inmueble/103549689/
Pedrezuela,149000.0,1,2,60.0,Calle de la Era Grande,103802098,https://www.idealista.com/inmueble/103802098/
Pedrezuela,148000.0,1,2,60.0,Calle de la Era Grande,103614115,https://www.idealista.com/inmueble/103614115/
Pedrezuela,315000.0,3,3,186.0,Pedrezuela,102187953,https://www.idealista.com/inmueble/102187953/
Pedrezuela,129900.0,1,2,69.0,San Isidro,93644746,https://www.idealista.com/inmueble/93644746/
Pedrezuela,132500.0,1,2,64.0,"Calle Egido, 25",103573317,https://www.idealista.com/inmueble/103573317/
Pedrezuela,140000.0,1,2,68.0,Diseminado Cr Burgos,102332462,https://www.idealista.com/inmueble/102332462/
Pedrezuela,590000.0,3,4,270.0,Pedrezuela,98478156,https://www.idealista.com/inmueble/98478156/
Pedrezuela,399000.0,2,4,257.0,Pedrezuela,97692915,https://www.idealista.com/inmueble/97692915/
Pedrezuela,280000.0,3,4,180.0,Pedrezuela,102669850,https://www.idealista.com/inmueble/102669850/
Pedrezuela,133900.0,2,3,85.0,Pedrezuela,100513627,https://www.idealista.com/inmueble/100513627/
Pedrezuela,108500.0,1,2,66.0,Pedrezuela,98008227,https://www.idealista.com/inmueble/98008227/
Pedrezuela,118700.0,1,3,75.0,Pedrezuela,100513626,https://www.idealista.com/inmueble/100513626/
Pedrezuela,139000.0,2,3,77.0,Pedrezuela,98037155,https://www.idealista.com/inmueble/98037155/
Pedrezuela,100900.0,1,2,63.0,Pedrezuela,100513624,https://www.idealista.com/inmueble/100513624/
Pedrezuela,134500.0,1,3,75.0,Pedrezuela,98008236,https://www.idealista.com/inmueble/98008236/
Pedrezuela,102700.0,1,2,61.0,Pedrezuela,100513625,https://www.idealista.com/inmueble/100513625/
Pedrezuela,94400.0,1,2,53.0,Pedrezuela,100513623,https://www.idealista.com/inmueble/100513623/
Pedrezuela,151500.0,2,3,85.0,Pedrezuela,98008229,https://www.idealista.com/inmueble/98008229/
Pedrezuela,132500.0,1,2,70.0,egido,103564415,https://www.idealista.com/inmueble/103564415/
Pedrezuela,98000.0,1,1,50.0,Pedrezuela,98700049,https://www.idealista.com/inmueble/98700049/
Pedrezuela,360000.0,3,5,160.0,Pedrezuela,96848923,https://www.idealista.com/inmueble/96848923/
Pedrezuela,150000.0,1,2,62.0,Pedrezuela,100911677,https://www.idealista.com/inmueble/100911677/
Pedrezuela,130000.0,1,1,40.0,Pedrezuela,99081761,https://www.idealista.com/inmueble/99081761/
Pedrezuela,134600.0,2,2,82.0,Pedrezuela,101263085,https://www.idealista.com/inmueble/101263085/
Pedrezuela,93000.0,1,1,55.0,"ERAS, 50",103112912,https://www.idealista.com/inmueble/103112912/
