municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Pelayos de la Presa,250000.0,2,5,218.0,HENO no number,102678663,https://www.idealista.com/inmueble/102678663/
Pelayos de la Presa,200000.0,2,5,188.0,Camino ANGOSTO no number,103584749,https://www.idealista.com/inmueble/103584749/
Pelayos de la Presa,235000.0,3,3,220.0,JAVACRUZ no number,102052847,https://www.idealista.com/inmueble/102052847/
Pelayos de la Presa,210000.0,2,5,181.0,Pelayos de la Presa,103626624,https://www.idealista.com/inmueble/103626624/
Pelayos de la Presa,199000.0,2,3,160.0,Pelayos de la Presa,99261359,https://www.idealista.com/inmueble/99261359/
Pelayos de la Presa,195000.0,3,4,273.0,Pelayos de la Presa,99603045,https://www.idealista.com/inmueble/99603045/
Pelayos de la Presa,275000.0,2,5,264.0,Pelayos de la Presa,98693127,https://www.idealista.com/inmueble/98693127/
Pelayos de la Presa,380000.0,3,5,180.0,Avenida de San José,103816565,https://www.idealista.com/inmueble/103816565/
Pelayos de la Presa,160000.0,2,3,94.0,Pelayos de la Presa,88840112,https://www.idealista.com/inmueble/88840112/
Pelayos de la Presa,378000.0,3,3,202.0,Calle Río Duero,103779443,https://www.idealista.com/inmueble/103779443/
Pelayos de la Presa,347000.0,6,6,837.0,Calle Cerrillo,92352032,https://www.idealista.com/inmueble/92352032/
Pelayos de la Presa,235000.0,3,3,185.0,Avenida Javacruz no number,102056906,https://www.idealista.com/inmueble/102056906/
Pelayos de la Presa,76000.0,2,3,138.0,Calle ancha no number,100508894,https://www.idealista.com/inmueble/100508894/
Pelayos de la Presa,227000.0,1,3,191.0,"Calle PINOS VERDES, 1",100113859,https://www.idealista.com/inmueble/100113859/
Pelayos de la Presa,214990.0,3,4,286.0,viña,102585382,https://www.idealista.com/inmueble/102585382/
Pelayos de la Presa,350000.0,2,3,148.0,Pelayos de la Presa,101999447,https://www.idealista.com/inmueble/101999447/
Pelayos de la Presa,260000.0,3,3,218.0,javacruz,103296361,https://www.idealista.com/inmueble/103296361/
Pelayos de la Presa,145000.0,2,3,100.0,Avenida MARCIAL LLORENTE,102939851,https://www.idealista.com/inmueble/102939851/
Pelayos de la Presa,85000.0,1,3,88.0,Calle Cumbres Norte,102163517,https://www.idealista.com/inmueble/102163517/
Pelayos de la Presa,105000.0,1,3,88.0,Calle cumbres sur,103452324,https://www.idealista.com/inmueble/103452324/
Pelayos de la Presa,120000.0,1,3,88.0,Calle Cumbres Norte,103139986,https://www.idealista.com/inmueble/103139986/
Pelayos de la Presa,159000.0,1,3,155.0,Avenida de los Llanos,103430316,https://www.idealista.com/inmueble/103430316/
Pelayos de la Presa,108000.0,1,3,96.0,Avenida Nicasio Hernandez Redondo,101339556,https://www.idealista.com/inmueble/101339556/
Pelayos de la Presa,46000.0,1,2,75.0,Avenida de la estación,103339416,https://www.idealista.com/inmueble/103339416/
Pelayos de la Presa,180000.0,2,3,175.0,Pelayos de la Presa,100171805,https://www.idealista.com/inmueble/100171805/
Pelayos de la Presa,220000.0,2,6,266.0,Pelayos de la Presa,102061429,https://www.idealista.com/inmueble/102061429/
Pelayos de la Presa,365000.0,2,6,483.0,Pelayos de la Presa,103139374,https://www.idealista.com/inmueble/103139374/
Pelayos de la Presa,46000.0,1,2,75.0,estacion,103342287,https://www.idealista.com/inmueble/103342287/
Pelayos de la Presa,87000.0,1,3,78.0,Avenida de Marcial Llorente,101388533,https://www.idealista.com/inmueble/101388533/
Pelayos de la Presa,85000.0,2,3,98.4,"Calle Cumbres Norte, 1",103300796,https://www.idealista.com/inmueble/103300796/
Pelayos de la Presa,68800.0,1,2,65.0,Pelayos de la Presa,101615603,https://www.idealista.com/inmueble/101615603/
Pelayos de la Presa,85000.0,1,3,88.0,"cumbres norte, 1",102183960,https://www.idealista.com/inmueble/102183960/
Pelayos de la Presa,175000.0,1,3,173.0,Calle VALDEYERNOS,102210531,https://www.idealista.com/inmueble/102210531/
Pelayos de la Presa,347000.0,2,3,837.0,Calle Cerrillo,103538538,https://www.idealista.com/inmueble/103538538/
Pelayos de la Presa,378000.0,3,3,187.0,Pelayos de la Presa,102512544,https://www.idealista.com/inmueble/102512544/
Pelayos de la Presa,129900.0,2,3,96.0,Pelayos de la Presa,103242782,https://www.idealista.com/inmueble/103242782/
Pelayos de la Presa,93000.0,1,3,78.0,Pelayos de la Presa,102957046,https://www.idealista.com/inmueble/102957046/
Pelayos de la Presa,646000.0,2,4,83.0,Pelayos de la Presa,103453821,https://www.idealista.com/inmueble/103453821/
Pelayos de la Presa,347000.0,6,6,837.0,Pelayos de la Presa,99763805,https://www.idealista.com/inmueble/99763805/
Pelayos de la Presa,46000.0,1,2,75.0,Pelayos de la Presa,103332458,https://www.idealista.com/inmueble/103332458/
Pelayos de la Presa,200500.0,2,3,191.0,Pelayos de la Presa,102775178,https://www.idealista.com/inmueble/102775178/
Pelayos de la Presa,175000.0,2,3,167.0,Pelayos de la Presa,103589080,https://www.idealista.com/inmueble/103589080/
