municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Pinto,254000.0,2,3,83.0,Parque Europa - Los Pitufos,103301235,https://www.idealista.com/inmueble/103301235/
Pinto,194000.0,2,2,78.0,"Calle de San Ildefonso, 1",101874485,https://www.idealista.com/inmueble/101874485/
Pinto,123050.0,1,1,55.0,Calle Federico García Lorca,103877461,https://www.idealista.com/inmueble/103877461/
Pinto,110600.0,1,3,77.0,Calle Aragón,103851339,https://www.idealista.com/inmueble/103851339/
Pinto,246000.0,2,2,91.0,"Calle de la Iglesia, 3",103858571,https://www.idealista.com/obra-nueva/103858571/
Pinto,292000.0,2,3,108.0,"Calle de la Iglesia, 3",103858574,https://www.idealista.com/obra-nueva/103858574/
Pinto,240000.0,2,2,85.0,"Calle de la Iglesia, 3",103858529,https://www.idealista.com/obra-nueva/103858529/
Pinto,300000.0,2,3,112.0,"Calle de la Iglesia, 3",103858599,https://www.idealista.com/obra-nueva/103858599/
Pinto,273000.0,2,2,108.0,"Calle de la Iglesia, 3",103858598,https://www.idealista.com/obra-nueva/103858598/
Pinto,240000.0,2,2,91.0,"Calle de la Iglesia, 3",103858597,https://www.idealista.com/obra-nueva/103858597/
Pinto,264000.0,2,2,101.0,"Calle de la Iglesia, 3",103858588,https://www.idealista.com/obra-nueva/103858588/
Pinto,240000.0,2,2,81.0,"Calle de la Iglesia, 3",103858580,https://www.idealista.com/obra-nueva/103858580/
Pinto,315000.0,2,3,114.0,"Calle de la Iglesia, 3",103858581,https://www.idealista.com/obra-nueva/103858581/
Pinto,245000.0,2,2,78.0,"Calle de la Iglesia, 3",103858573,https://www.idealista.com/obra-nueva/103858573/
Pinto,405000.0,2,3,148.0,Teneria i - Teneria Ii,103864252,https://www.idealista.com/inmueble/103864252/
Pinto,210000.0,2,4,105.0,Colombia,103854980,https://www.idealista.com/inmueble/103854980/
Pinto,245000.0,2,3,110.0,Calle Mancio Serra Leguizamo,103861755,https://www.idealista.com/inmueble/103861755/
Pinto,205000.0,1,1,90.0,Calle santa florentina,103178244,https://www.idealista.com/inmueble/103178244/
Pinto,149000.0,1,1,71.0,Calle de San Sebastián,89264154,https://www.idealista.com/inmueble/89264154/
Pinto,199000.0,2,2,136.0,Calle de San Sebastián,89263852,https://www.idealista.com/inmueble/89263852/
Pinto,570000.0,4,4,298.0,Austria,103810296,https://www.idealista.com/inmueble/103810296/
Pinto,158000.0,1,3,88.0,Calle de Pérez Escrich no number,102094436,https://www.idealista.com/inmueble/102094436/
