municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Pozuelo de Alarcón,3275000.0,7,6,750.0,subdistrict La Finca,100912259,https://www.idealista.com/inmueble/100912259/
Pozuelo de Alarcón,3690000.0,7,7,1077.0,subdistrict Somosaguas,100124648,https://www.idealista.com/inmueble/100124648/
Pozuelo de Alarcón,3200000.0,6,6,800.0,Paseo de Hontanar,103283330,https://www.idealista.com/inmueble/103283330/
Pozuelo de Alarcón,2500000.0,5,5,567.0,"Paseo de los lagos, 2",94013894,https://www.idealista.com/inmueble/94013894/
Pozuelo de Alarcón,2190000.0,5,6,582.0,Calle Talavera,100017563,https://www.idealista.com/inmueble/100017563/
Pozuelo de Alarcón,998000.0,4,6,375.0,subdistrict Zona Pueblo,103005772,https://www.idealista.com/inmueble/103005772/
Pozuelo de Alarcón,2190000.0,4,6,582.0,Calle Talavera,99967293,https://www.idealista.com/inmueble/99967293/
Pozuelo de Alarcón,998000.0,5,6,375.0,Calle Isla de Tabarca,102747094,https://www.idealista.com/inmueble/102747094/
Pozuelo de Alarcón,1100000.0,2,3,159.0,subdistrict Zona Avenida Europa,102938966,https://www.idealista.com/inmueble/102938966/
Pozuelo de Alarcón,1390000.0,5,6,404.0,subdistrict Montealina,102109273,https://www.idealista.com/inmueble/102109273/
Pozuelo de Alarcón,799000.0,3,4,285.0,Calle Javier Fernández Golfín,102829387,https://www.idealista.com/inmueble/102829387/
Pozuelo de Alarcón,1050000.0,6,7,571.0,subdistrict La Cabaña,97779462,https://www.idealista.com/inmueble/97779462/
Pozuelo de Alarcón,2475000.0,6,5,625.0,Paseo de los Lagos,103699993,https://www.idealista.com/inmueble/103699993/
Pozuelo de Alarcón,2475000.0,5,5,550.0,"Paseo de los lagos, 2",103813234,https://www.idealista.com/inmueble/103813234/
Pozuelo de Alarcón,2080000.0,6,5,700.0,subdistrict Somosaguas,38871058,https://www.idealista.com/inmueble/38871058/
Pozuelo de Alarcón,950000.0,2,2,195.0,Avenida de Europa,103746083,https://www.idealista.com/inmueble/103746083/
Pozuelo de Alarcón,1850000.0,5,4,450.0,"Paseo DEL CLUB DEPORTIVO, 2",103299042,https://www.idealista.com/inmueble/103299042/
Pozuelo de Alarcón,1290000.0,4,6,380.0,subdistrict Zona norte,103619380,https://www.idealista.com/inmueble/103619380/
Pozuelo de Alarcón,1600000.0,5,5,610.0,mistral,88689166,https://www.idealista.com/inmueble/88689166/
Pozuelo de Alarcón,2790000.0,8,7,1026.0,subdistrict Zona Pueblo,103620803,https://www.idealista.com/inmueble/103620803/
Pozuelo de Alarcón,1190000.0,3,3,162.0,subdistrict Somosaguas,103671261,https://www.idealista.com/inmueble/103671261/
Pozuelo de Alarcón,799000.0,3,4,285.0,Calle Javier Fernández Golfín,103031550,https://www.idealista.com/inmueble/103031550/
