municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Rivas-Vaciamadrid,1390000.0,7,6,657.0,Rivas Urbanizaciones,103240573,https://www.idealista.com/inmueble/103240573/
Rivas-Vaciamadrid,595000.0,3,4,257.0,"Calle Alemania, 13",103001303,https://www.idealista.com/inmueble/103001303/
Rivas-Vaciamadrid,690000.0,3,5,170.0,Calle Eduardo Mendoza,102173302,https://www.idealista.com/inmueble/102173302/
Rivas-Vaciamadrid,225000.0,2,3,130.0,Plaza Extremadura,103868397,https://www.idealista.com/inmueble/103868397/
Rivas-Vaciamadrid,345000.0,2,3,201.0,Ronda de Oviedo,101992214,https://www.idealista.com/inmueble/101992214/
Rivas-Vaciamadrid,724900.0,5,7,343.0,Avenida Pablo Iglesias,97550453,https://www.idealista.com/inmueble/97550453/
Rivas-Vaciamadrid,599000.0,3,4,270.0,granado,103874558,https://www.idealista.com/inmueble/103874558/
Rivas-Vaciamadrid,460000.0,3,3,161.0,Avenida de la Zarzuela,102962257,https://www.idealista.com/inmueble/102962257/
Rivas-Vaciamadrid,560000.0,5,6,280.0,Calle Azahar,101353304,https://www.idealista.com/inmueble/101353304/
Rivas-Vaciamadrid,610000.0,3,5,350.0,Fresno,103654148,https://www.idealista.com/inmueble/103654148/
Rivas-Vaciamadrid,565000.0,3,3,237.0,Avenida Pablo Iglesias,103193569,https://www.idealista.com/inmueble/103193569/
Rivas-Vaciamadrid,320000.0,2,2,84.0,Calle José Isbert,103490145,https://www.idealista.com/inmueble/103490145/
Rivas-Vaciamadrid,625000.0,2,4,166.0,Pilar Bardem,99924844,https://www.idealista.com/inmueble/99924844/
Rivas-Vaciamadrid,225000.0,2,4,106.0,Covibar - Pablo Iglesias,103247947,https://www.idealista.com/inmueble/103247947/
Rivas-Vaciamadrid,455000.0,2,4,149.0,Rivas Centro,102838564,https://www.idealista.com/inmueble/102838564/
Rivas-Vaciamadrid,490000.0,3,5,214.0,Calle Fernando Fernán Gómez,103558115,https://www.idealista.com/inmueble/103558115/
Rivas-Vaciamadrid,235000.0,2,4,102.0,Covibar - Pablo Iglesias,103422266,https://www.idealista.com/inmueble/103422266/
Rivas-Vaciamadrid,810000.0,4,7,457.0,Avenida Cerro del Telégrafo,102723550,https://www.idealista.com/inmueble/102723550/
Rivas-Vaciamadrid,360000.0,2,2,106.0,"Calle Océano Ártico, 6",103860066,https://www.idealista.com/obra-nueva/103860066/
Rivas-Vaciamadrid,339000.0,2,3,136.0,Rivas Centro,103876370,https://www.idealista.com/inmueble/103876370/
Rivas-Vaciamadrid,479000.0,2,3,214.0,Avenida Pilar Miró,103863343,https://www.idealista.com/inmueble/103863343/
Rivas-Vaciamadrid,560000.0,3,5,260.0,Calle Italia,103697398,https://www.idealista.com/inmueble/103697398/
Rivas-Vaciamadrid,998000.0,5,6,295.0,Calle Suiza,103681806,https://www.idealista.com/inmueble/103681806/
Rivas-Vaciamadrid,178000.0,2,4,102.0,Plaza Blas Infante,101549790,https://www.idealista.com/inmueble/101549790/
Rivas-Vaciamadrid,565000.0,3,5,356.0,Calle Casas Romanas,103827596,https://www.idealista.com/inmueble/103827596/
Rivas-Vaciamadrid,780000.0,3,6,280.0,Rivas Urbanizaciones,103294115,https://www.idealista.com/inmueble/103294115/
Rivas-Vaciamadrid,235000.0,2,3,100.0,Covibar - Pablo Iglesias,103872516,https://www.idealista.com/inmueble/103872516/
Rivas-Vaciamadrid,585000.0,4,5,276.0,Jovellanos,103790793,https://www.idealista.com/inmueble/103790793/
Rivas-Vaciamadrid,340000.0,2,3,136.0,Calle Sigrid,103820747,https://www.idealista.com/inmueble/103820747/
Rivas-Vaciamadrid,200000.0,1,0,120.0,Calle Thomas Edison,98055249,https://www.idealista.com/inmueble/98055249/
Rivas-Vaciamadrid,721000.0,3,3,275.0,Calle Luis García Berlanga,103323944,https://www.idealista.com/inmueble/103323944/
Rivas-Vaciamadrid,184900.0,2,3,101.0,Plaza Pablo Picasso,103009213,https://www.idealista.com/inmueble/103009213/
Rivas-Vaciamadrid,430000.0,2,3,202.0,Rivas Urbanizaciones,103854443,https://www.idealista.com/inmueble/103854443/
Rivas-Vaciamadrid,564900.0,3,4,249.0,Calle Cerezo,103044792,https://www.idealista.com/inmueble/103044792/
Rivas-Vaciamadrid,699000.0,3,4,227.0,Calle del Tamarindo,102892994,https://www.idealista.com/inmueble/102892994/
Rivas-Vaciamadrid,475000.0,3,3,210.0,Calle de la Ópera,102034084,https://www.idealista.com/inmueble/102034084/
Rivas-Vaciamadrid,295000.0,2,3,96.0,Plaza de Aragón,102508969,https://www.idealista.com/inmueble/102508969/
Rivas-Vaciamadrid,780000.0,4,5,282.0,Calle de Aigües Tortes,103503690,https://www.idealista.com/inmueble/103503690/
Rivas-Vaciamadrid,799900.0,3,5,348.0,Calle Olivo,103842239,https://www.idealista.com/inmueble/103842239/
Rivas-Vaciamadrid,550000.0,2,3,135.0,Calle Luis García Berlanga no number,103205671,https://www.idealista.com/inmueble/103205671/
Rivas-Vaciamadrid,290000.0,2,3,115.0,Calle Lago Bañolas,101967398,https://www.idealista.com/inmueble/101967398/
Rivas-Vaciamadrid,288000.0,2,3,98.0,Calle Lago Bañolas,103761973,https://www.idealista.com/inmueble/103761973/
Rivas-Vaciamadrid,489000.0,4,4,188.0,Calle Santander,102424547,https://www.idealista.com/inmueble/102424547/
Rivas-Vaciamadrid,578000.0,3,4,216.0,"Calle Antonio Muñoz Molina, 1",103787143,https://www.idealista.com/inmueble/103787143/
Rivas-Vaciamadrid,520000.0,3,4,202.0,"Calle Ana María Matute, 169",102317377,https://www.idealista.com/inmueble/102317377/
Rivas-Vaciamadrid,379900.0,2,3,114.0,Calle Rosa Montero,102746965,https://www.idealista.com/inmueble/102746965/
Rivas-Vaciamadrid,549000.0,3,4,161.0,Calle Zaragoza,103251280,https://www.idealista.com/inmueble/103251280/
Rivas-Vaciamadrid,465000.0,2,3,149.0,Calle Antonio Muñoz Molina,103782292,https://www.idealista.com/inmueble/103782292/
Rivas-Vaciamadrid,290000.0,2,3,94.0,Casco Histórico,103831028,https://www.idealista.com/inmueble/103831028/
Rivas-Vaciamadrid,266000.0,2,3,85.0,"cuenca, 2",103573735,https://www.idealista.com/inmueble/103573735/
