municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Robledo de Chavela,289000.0,3,4,182.0,"Almenara, 97",100079656,https://www.idealista.com/inmueble/100079656/
Robledo de Chavela,345000.0,3,5,347.0,"Via Lactea, 28",103011540,https://www.idealista.com/inmueble/103011540/
Robledo de Chavela,585000.0,2,3,140.0,Robledo de Chavela,102313703,https://www.idealista.com/inmueble/102313703/
Robledo de Chavela,399900.0,3,6,291.0,Colonia del Río,101250746,https://www.idealista.com/inmueble/101250746/
Robledo de Chavela,370000.0,3,4,328.0,Robledo de Chavela,103280778,https://www.idealista.com/inmueble/103280778/
Robledo de Chavela,470000.0,3,4,268.0,José Ortega y Gasset,85929004,https://www.idealista.com/inmueble/85929004/
Robledo de Chavela,300000.0,3,4,270.0,Robledo de Chavela,99950993,https://www.idealista.com/inmueble/99950993/
Robledo de Chavela,265000.0,2,3,234.0,Calle Castaño,100439692,https://www.idealista.com/inmueble/100439692/
Robledo de Chavela,270000.0,2,3,199.0,Calle las Navas,103640968,https://www.idealista.com/inmueble/103640968/
Robledo de Chavela,275000.0,2,6,175.0,cruz del sur,103039069,https://www.idealista.com/inmueble/103039069/
Robledo de Chavela,238000.0,4,5,224.0,Calle Chopos,100170714,https://www.idealista.com/inmueble/100170714/
Robledo de Chavela,100000.0,1,3,110.0,Emilio Castelar,101356584,https://www.idealista.com/inmueble/101356584/
Robledo de Chavela,125000.0,2,2,103.0,Calle Miguel de Cervantes,97526388,https://www.idealista.com/inmueble/97526388/
Robledo de Chavela,85000.0,1,4,110.0,Plaza de piedita,97893397,https://www.idealista.com/inmueble/97893397/
Robledo de Chavela,189900.0,2,7,149.0,Lope de Vega,100183950,https://www.idealista.com/inmueble/100183950/
Robledo de Chavela,349000.0,2,3,230.0,Calle Ginebra,101223932,https://www.idealista.com/inmueble/101223932/
Robledo de Chavela,184000.0,2,3,194.0,Camino de la Ermita,97849175,https://www.idealista.com/inmueble/97849175/
Robledo de Chavela,230000.0,3,5,202.0,"Calle de la Ribera, 476",103850989,https://www.idealista.com/inmueble/103850989/
Robledo de Chavela,292000.0,2,3,253.0,Robledo de Chavela,101608078,https://www.idealista.com/inmueble/101608078/
Robledo de Chavela,240000.0,2,3,175.0,Robledo de Chavela,103813804,https://www.idealista.com/inmueble/103813804/
Robledo de Chavela,899000.0,4,9,700.0,Robledo de Chavela,99221099,https://www.idealista.com/inmueble/99221099/
Robledo de Chavela,119900.0,1,3,100.0,Gloria Fuertes,102275523,https://www.idealista.com/inmueble/102275523/
Robledo de Chavela,195000.0,2,3,110.0,Calle Gustavo Adolfo Becquer,97551524,https://www.idealista.com/inmueble/97551524/
Robledo de Chavela,325000.0,3,3,270.0,Robledo de Chavela,96791257,https://www.idealista.com/inmueble/96791257/
Robledo de Chavela,249000.0,2,5,262.0,"Calle de BellaVista, 477",103851543,https://www.idealista.com/inmueble/103851543/
Robledo de Chavela,735000.0,7,6,465.0,Robledo de Chavela,100784800,https://www.idealista.com/inmueble/100784800/
Robledo de Chavela,155000.0,1,5,175.0,"Navahonda, 4",101795010,https://www.idealista.com/inmueble/101795010/
Robledo de Chavela,209000.0,2,6,210.0,"Ortega y Gasset, 14",100273381,https://www.idealista.com/inmueble/100273381/
Robledo de Chavela,999990.0,15,14,1500.0,Robledo de Chavela,98421547,https://www.idealista.com/inmueble/98421547/
Robledo de Chavela,275000.0,2,3,160.0,Robledo de Chavela,103806598,https://www.idealista.com/inmueble/103806598/
Robledo de Chavela,310000.0,3,6,258.0,Calle Fuentes del Caño,103214309,https://www.idealista.com/inmueble/103214309/
Robledo de Chavela,399000.0,3,5,306.0,Ginebra,101529133,https://www.idealista.com/inmueble/101529133/
Robledo de Chavela,189900.0,2,7,391.0,"Lope de Vega, 26",100888514,https://www.idealista.com/inmueble/100888514/
Robledo de Chavela,220000.0,2,3,90.0,navahonda,103800333,https://www.idealista.com/inmueble/103800333/
Robledo de Chavela,58600.0,1,2,60.0,"madre regina, 19",98137475,https://www.idealista.com/inmueble/98137475/
Robledo de Chavela,299000.0,2,4,239.0,Calle Almenara,103298558,https://www.idealista.com/inmueble/103298558/
Robledo de Chavela,275000.0,2,5,180.0,Robledo de Chavela,40004982,https://www.idealista.com/inmueble/40004982/
Robledo de Chavela,190000.0,2,5,391.0,Lope de Vega,102942165,https://www.idealista.com/inmueble/102942165/
Robledo de Chavela,99000.0,2,2,96.0,Avenida Juan Carlos I,98978960,https://www.idealista.com/inmueble/98978960/
Robledo de Chavela,285000.0,2,5,243.0,Robledo de Chavela,101219168,https://www.idealista.com/inmueble/101219168/
Robledo de Chavela,289000.0,3,3,180.0,Robledo de Chavela,99808247,https://www.idealista.com/inmueble/99808247/
Robledo de Chavela,219900.0,3,4,210.0,El Valle,102620683,https://www.idealista.com/inmueble/102620683/
Robledo de Chavela,366000.0,2,2,102.0,"Calle Zurich, 17",103738842,https://www.idealista.com/obra-nueva/103738842/
Robledo de Chavela,390000.0,5,7,380.0,Calle Zurich,94492295,https://www.idealista.com/inmueble/94492295/
Robledo de Chavela,320000.0,5,6,760.0,Calle Zurich,103269849,https://www.idealista.com/inmueble/103269849/
Robledo de Chavela,63000.0,1,3,70.0,Avenida Juan Carlos I,103039218,https://www.idealista.com/inmueble/103039218/
Robledo de Chavela,93000.0,1,3,83.0,joaquin sorolla,103054528,https://www.idealista.com/inmueble/103054528/
Robledo de Chavela,270000.0,3,4,358.0,Robledo de Chavela,103053192,https://www.idealista.com/inmueble/103053192/
Robledo de Chavela,318500.0,3,4,226.0,Pinosilla,99588050,https://www.idealista.com/inmueble/99588050/
Robledo de Chavela,269000.0,3,3,180.0,Robledo de Chavela,100347609,https://www.idealista.com/inmueble/100347609/
