municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
San Agustin de Guadalix,390000.0,1,3,163.0,San Agustin de Guadalix,103033035,https://www.idealista.com/inmueble/103033035/
San Agustin de Guadalix,475000.0,3,5,317.0,San Agustin de Guadalix,103521590,https://www.idealista.com/inmueble/103521590/
San Agustin de Guadalix,252000.0,2,3,88.0,Lucio Benito,100368629,https://www.idealista.com/inmueble/100368629/
San Agustin de Guadalix,162000.0,1,3,85.0,Reguera,101064677,https://www.idealista.com/inmueble/101064677/
San Agustin de Guadalix,592500.0,4,4,289.0,San Agustin de Guadalix,96534254,https://www.idealista.com/inmueble/96534254/
San Agustin de Guadalix,630000.0,3,4,293.0,Calle Ricardo Clemares,103367146,https://www.idealista.com/inmueble/103367146/
San Agustin de Guadalix,235000.0,1,0,49.0,Antonio Machado,103856630,https://www.idealista.com/inmueble/103856630/
San Agustin de Guadalix,585000.0,3,4,282.0,San Agustin de Guadalix,102869989,https://www.idealista.com/inmueble/102869989/
San Agustin de Guadalix,665000.0,4,5,242.0,San Agustin de Guadalix,103555452,https://www.idealista.com/inmueble/103555452/
San Agustin de Guadalix,1150000.0,7,9,815.0,San Agustin de Guadalix,82925370,https://www.idealista.com/inmueble/82925370/
San Agustin de Guadalix,549000.0,2,4,200.0,San Agustin de Guadalix,102825215,https://www.idealista.com/inmueble/102825215/
San Agustin de Guadalix,499000.0,3,4,305.0,"BALEARES, 50",96615196,https://www.idealista.com/inmueble/96615196/
San Agustin de Guadalix,480000.0,3,3,292.0,Calle Félix Cimas Prados,103590712,https://www.idealista.com/inmueble/103590712/
San Agustin de Guadalix,435000.0,3,4,219.0,Calle de Vicente Aleixandre,99016358,https://www.idealista.com/inmueble/99016358/
San Agustin de Guadalix,599000.0,4,4,219.0,San Agustin de Guadalix,103840397,https://www.idealista.com/inmueble/103840397/
San Agustin de Guadalix,400000.0,3,4,270.0,Antonio Machado,99961489,https://www.idealista.com/inmueble/99961489/
San Agustin de Guadalix,1150000.0,4,5,430.0,"Calle de las Moreras, 243",102327702,https://www.idealista.com/inmueble/102327702/
San Agustin de Guadalix,184000.0,2,4,108.0,Calle Ventosilla,103832339,https://www.idealista.com/inmueble/103832339/
San Agustin de Guadalix,394750.0,2,3,134.0,"Avenida de Madrid, 34",102770719,https://www.idealista.com/obra-nueva/102770719/
San Agustin de Guadalix,194900.0,1,1,69.0,"Calle de la Era de Postas, 4",103444938,https://www.idealista.com/obra-nueva/103444938/
San Agustin de Guadalix,389750.0,2,3,136.0,"Avenida de Madrid, 34",101216921,https://www.idealista.com/obra-nueva/101216921/
San Agustin de Guadalix,239900.0,1,1,79.0,"Calle de la Era de Postas, 4",103444934,https://www.idealista.com/obra-nueva/103444934/
San Agustin de Guadalix,269900.0,2,2,88.0,"Calle de la Era de Postas, 4",103444946,https://www.idealista.com/obra-nueva/103444946/
San Agustin de Guadalix,219900.0,2,2,80.0,"Calle de la Era de Postas, 4",103444832,https://www.idealista.com/obra-nueva/103444832/
San Agustin de Guadalix,184900.0,1,1,69.0,"Calle de la Era de Postas, 4",103444653,https://www.idealista.com/obra-nueva/103444653/
San Agustin de Guadalix,393750.0,2,3,138.0,"Avenida de Madrid, 34",102851942,https://www.idealista.com/obra-nueva/102851942/
San Agustin de Guadalix,259900.0,2,2,88.0,"Calle de la Era de Postas, 4",103444903,https://www.idealista.com/obra-nueva/103444903/
