municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
San Fernando de Henares,450000.0,2,4,180.0,Centro,99735224,https://www.idealista.com/inmueble/99735224/
San Fernando de Henares,435000.0,2,3,150.0,Centro,99734252,https://www.idealista.com/inmueble/99734252/
San Fernando de Henares,490000.0,4,5,245.0,Montserrat - Parque Empresarial,99378908,https://www.idealista.com/inmueble/99378908/
San Fernando de Henares,180000.0,1,3,66.0,Travesía de Montserrat,103700067,https://www.idealista.com/inmueble/103700067/
San Fernando de Henares,259000.0,2,3,140.0,Montserrat - Parque Empresarial,103876287,https://www.idealista.com/inmueble/103876287/
San Fernando de Henares,210000.0,2,3,88.0,Calle de los Alperchines,101520800,https://www.idealista.com/inmueble/101520800/
San Fernando de Henares,257500.0,2,3,125.0,Rosa Pardo,91805389,https://www.idealista.com/inmueble/91805389/
San Fernando de Henares,123000.0,1,2,65.0,CL. PALENCIA,101258496,https://www.idealista.com/inmueble/101258496/
San Fernando de Henares,212000.0,1,1,70.0,Montserrat - Parque Empresarial,102111896,https://www.idealista.com/inmueble/102111896/
San Fernando de Henares,187000.0,1,2,94.0,Parque Roma - Coronas,102516249,https://www.idealista.com/inmueble/102516249/
San Fernando de Henares,190000.0,1,3,85.0,Calle de la Presa,100671725,https://www.idealista.com/inmueble/100671725/
San Fernando de Henares,400000.0,3,4,145.0,Avenida de la Constitución,102498236,https://www.idealista.com/inmueble/102498236/
San Fernando de Henares,180000.0,1,2,84.0,Calle jose alix alix,103554321,https://www.idealista.com/inmueble/103554321/
San Fernando de Henares,259000.0,2,2,91.0,Calle de la Era,100248387,https://www.idealista.com/inmueble/100248387/
San Fernando de Henares,475000.0,3,5,240.0,Adolfo Pérez Esquivel,99407913,https://www.idealista.com/inmueble/99407913/
San Fernando de Henares,490000.0,4,4,170.0,Calle Valencia,94364761,https://www.idealista.com/inmueble/94364761/
San Fernando de Henares,301500.0,2,3,119.0,solares,103213018,https://www.idealista.com/inmueble/103213018/
San Fernando de Henares,299900.0,2,4,170.0,Alperchines,102667467,https://www.idealista.com/inmueble/102667467/
San Fernando de Henares,209400.0,1,2,77.0,solares,103213104,https://www.idealista.com/inmueble/103213104/
San Fernando de Henares,280000.0,2,3,188.0,la era,102051219,https://www.idealista.com/inmueble/102051219/
San Fernando de Henares,199999.0,2,3,51.0,Zarauz,102373786,https://www.idealista.com/inmueble/102373786/
San Fernando de Henares,414783.0,2,3,146.0,"Calle Gonzalo Córdoba, 53",94945741,https://www.idealista.com/obra-nueva/94945741/
San Fernando de Henares,220694.0,1,1,73.0,"Calle Gonzalo Córdoba, 53",95090622,https://www.idealista.com/obra-nueva/95090622/
San Fernando de Henares,197000.0,2,3,100.0,Travesía del molino,93383396,https://www.idealista.com/inmueble/93383396/
San Fernando de Henares,234729.0,2,2,78.0,"Calle Gonzalo Córdoba, 53",95090597,https://www.idealista.com/obra-nueva/95090597/
San Fernando de Henares,217694.0,1,1,73.0,"Calle Gonzalo Córdoba, 53",94945792,https://www.idealista.com/obra-nueva/94945792/
San Fernando de Henares,331089.0,2,2,117.0,"Calle Gonzalo Córdoba, 53",94945760,https://www.idealista.com/obra-nueva/94945760/
San Fernando de Henares,231729.0,2,2,78.0,"Calle Gonzalo Córdoba, 53",94945799,https://www.idealista.com/obra-nueva/94945799/
San Fernando de Henares,288000.0,2,3,155.0,Avila,101876779,https://www.idealista.com/inmueble/101876779/
San Fernando de Henares,233700.0,2,1,77.0,Calle de la Era,100901528,https://www.idealista.com/inmueble/100901528/
