municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
San Martín de Valdeiglesias,1450000.0,5,5,435.0,San Martín de Valdeiglesias,103450763,https://www.idealista.com/inmueble/103450763/
San Martín de Valdeiglesias,360000.0,3,4,216.0,San Martín de Valdeiglesias,101454153,https://www.idealista.com/inmueble/101454153/
San Martín de Valdeiglesias,1100000.0,3,3,242.0,"paz, 219",103276479,https://www.idealista.com/inmueble/103276479/
San Martín de Valdeiglesias,129900.0,1,2,127.0,San Martín de Valdeiglesias,102264757,https://www.idealista.com/inmueble/102264757/
San Martín de Valdeiglesias,1370000.0,9,7,884.0,San Martín de Valdeiglesias,102757749,https://www.idealista.com/inmueble/102757749/
San Martín de Valdeiglesias,89900.0,1,3,95.0,San Martín de Valdeiglesias,103856675,https://www.idealista.com/inmueble/103856675/
San Martín de Valdeiglesias,566500.0,3,3,242.0,San Martín de Valdeiglesias,103755279,https://www.idealista.com/inmueble/103755279/
San Martín de Valdeiglesias,395000.0,2,3,175.0,San Martín de Valdeiglesias,103380812,https://www.idealista.com/inmueble/103380812/
San Martín de Valdeiglesias,83000.0,1,2,57.0,San Martín de Valdeiglesias,103584145,https://www.idealista.com/inmueble/103584145/
San Martín de Valdeiglesias,107000.0,2,3,121.0,"Plaza Castillo, 15",100286699,https://www.idealista.com/inmueble/100286699/
San Martín de Valdeiglesias,132000.0,1,3,93.0,"Calle del Pilar, 25",101166980,https://www.idealista.com/inmueble/101166980/
San Martín de Valdeiglesias,773000.0,6,4,469.0,San Martín de Valdeiglesias,96160100,https://www.idealista.com/inmueble/96160100/
San Martín de Valdeiglesias,330000.0,3,7,245.0,San Martín de Valdeiglesias,102509007,https://www.idealista.com/inmueble/102509007/
San Martín de Valdeiglesias,197000.0,2,3,180.0,ABETO no number,102352466,https://www.idealista.com/inmueble/102352466/
San Martín de Valdeiglesias,1680000.0,5,6,476.0,"Calle Colón, 45",102230728,https://www.idealista.com/inmueble/102230728/
San Martín de Valdeiglesias,232000.0,3,4,276.0,Solitario,103688031,https://www.idealista.com/inmueble/103688031/
San Martín de Valdeiglesias,85000.0,1,2,60.0,URBANIZACION COSTA DE MADRID no number,103796234,https://www.idealista.com/inmueble/103796234/
San Martín de Valdeiglesias,290000.0,3,4,195.0,Calle de las Lanchas,99340260,https://www.idealista.com/inmueble/99340260/
San Martín de Valdeiglesias,1125000.0,3,4,620.0,San Martín de Valdeiglesias,102453683,https://www.idealista.com/inmueble/102453683/
San Martín de Valdeiglesias,169000.0,2,3,130.0,Avenida de la constitucion,102481579,https://www.idealista.com/inmueble/102481579/
San Martín de Valdeiglesias,39000.0,1,2,50.0,"Plaza DE LA VEGA, 1",100134707,https://www.idealista.com/inmueble/100134707/
San Martín de Valdeiglesias,79000.0,1,3,64.0,"GALEON, 80",102073441,https://www.idealista.com/inmueble/102073441/
San Martín de Valdeiglesias,82000.0,1,2,56.0,"Avenida de la Costa de Madrid, 247",102179234,https://www.idealista.com/inmueble/102179234/
San Martín de Valdeiglesias,56000.0,1,1,90.0,"Cuesta DEL CASTILLO, 8",99252567,https://www.idealista.com/inmueble/99252567/
San Martín de Valdeiglesias,223500.0,2,3,117.0,"GABRIEL Y GALAN, 9",103102143,https://www.idealista.com/inmueble/103102143/
San Martín de Valdeiglesias,54000.0,1,2,57.0,"Carretera DE AVILA, 2",102875301,https://www.idealista.com/inmueble/102875301/
San Martín de Valdeiglesias,145000.0,2,4,140.0,San Martin de Valdeiglesias,102967701,https://www.idealista.com/inmueble/102967701/
San Martín de Valdeiglesias,115000.0,2,8,426.0,San Martín de Valdeiglesias,100571081,https://www.idealista.com/inmueble/100571081/
San Martín de Valdeiglesias,115000.0,2,3,135.0,San Martín de Valdeiglesias,102818844,https://www.idealista.com/inmueble/102818844/
San Martín de Valdeiglesias,60000.0,1,0,45.0,Avenida colon,103364243,https://www.idealista.com/inmueble/103364243/
San Martín de Valdeiglesias,79000.0,2,2,63.0,Federico Mayo,102821044,https://www.idealista.com/inmueble/102821044/
San Martín de Valdeiglesias,63000.0,1,2,70.0,"av costa de madrid, 4",102509421,https://www.idealista.com/inmueble/102509421/
San Martín de Valdeiglesias,139000.0,2,3,290.0,"Goleta, 4",102508593,https://www.idealista.com/inmueble/102508593/
San Martín de Valdeiglesias,1600000.0,11,11,1344.0,San Martín de Valdeiglesias,103105055,https://www.idealista.com/inmueble/103105055/
San Martín de Valdeiglesias,151500.0,2,5,210.0,San Martín de Valdeiglesias,103760460,https://www.idealista.com/inmueble/103760460/
San Martín de Valdeiglesias,69000.0,1,3,72.0,"Av. del Galeón, 80",98078258,https://www.idealista.com/inmueble/98078258/
San Martín de Valdeiglesias,298000.0,3,4,226.0,"Paseo de los Sauces, 61",103488069,https://www.idealista.com/inmueble/103488069/
San Martín de Valdeiglesias,80000.0,1,1,320.0,"rosario, 1",101507621,https://www.idealista.com/inmueble/101507621/
San Martín de Valdeiglesias,150000.0,2,3,105.0,San Martín de Valdeiglesias,101031247,https://www.idealista.com/inmueble/101031247/
San Martín de Valdeiglesias,215000.0,2,3,226.0,San Martín de Valdeiglesias,102048610,https://www.idealista.com/inmueble/102048610/
San Martín de Valdeiglesias,50000.0,1,1,49.0,Costa de Madrid,103772599,https://www.idealista.com/inmueble/103772599/
San Martín de Valdeiglesias,170000.0,2,3,117.0,San Martín de Valdeiglesias,95654718,https://www.idealista.com/inmueble/95654718/
San Martín de Valdeiglesias,325000.0,4,5,633.0,San Martín de Valdeiglesias,101340428,https://www.idealista.com/inmueble/101340428/
San Martín de Valdeiglesias,475000.0,3,7,480.0,diseminado camino rozas a el tiemblo,38057320,https://www.idealista.com/inmueble/38057320/
San Martín de Valdeiglesias,56000.0,1,2,70.0,"AV COSTA DE MADRID, 1",102509789,https://www.idealista.com/inmueble/102509789/
San Martín de Valdeiglesias,44900.0,1,2,71.0,San Martín de Valdeiglesias,103632998,https://www.idealista.com/inmueble/103632998/
San Martín de Valdeiglesias,55000.0,1,2,57.0,San Martín de Valdeiglesias,103753609,https://www.idealista.com/inmueble/103753609/
San Martín de Valdeiglesias,360000.0,3,4,238.0,San Martín de Valdeiglesias,103364039,https://www.idealista.com/inmueble/103364039/
San Martín de Valdeiglesias,54000.0,1,2,56.0,Carretera de Ávila,96566551,https://www.idealista.com/inmueble/96566551/
San Martín de Valdeiglesias,57000.0,1,3,60.0,Calle de la Corredera Baja,103142453,https://www.idealista.com/inmueble/103142453/
