municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
San Martín de la Vega,257050.0,3,3,142.0,ENRIQUE TIERNO GALVÁN,103871976,https://www.idealista.com/inmueble/103871976/
San Martín de la Vega,157050.0,2,3,106.0,Calle SANTA MONICA,103873129,https://www.idealista.com/inmueble/103873129/
San Martín de la Vega,209000.0,1,3,123.0,Calle de Campoamor,103810395,https://www.idealista.com/inmueble/103810395/
San Martín de la Vega,265000.0,3,3,187.0,San Martín de la Vega,102822003,https://www.idealista.com/inmueble/102822003/
San Martín de la Vega,280000.0,2,3,153.0,Calle Paraguay,102115873,https://www.idealista.com/inmueble/102115873/
San Martín de la Vega,249900.0,2,3,180.0,Avenida de Nicasio Sevilla,103392575,https://www.idealista.com/inmueble/103392575/
San Martín de la Vega,145000.0,1,3,85.0,"pintor de rafael boti, 13",103849911,https://www.idealista.com/inmueble/103849911/
San Martín de la Vega,224900.0,2,3,134.0,"pablo sorozabal, 42",103777854,https://www.idealista.com/inmueble/103777854/
San Martín de la Vega,139000.0,1,3,97.0,Calle de Santa Mónica,102638307,https://www.idealista.com/inmueble/102638307/
San Martín de la Vega,89900.0,1,2,61.0,rafael boti,103849727,https://www.idealista.com/inmueble/103849727/
San Martín de la Vega,134000.0,1,3,106.0,Calle san cristobal,103738627,https://www.idealista.com/inmueble/103738627/
San Martín de la Vega,312000.0,2,3,139.0,Paseo de los olivos,103758158,https://www.idealista.com/inmueble/103758158/
San Martín de la Vega,129500.0,1,3,90.0,San Cristobal,91140551,https://www.idealista.com/inmueble/91140551/
San Martín de la Vega,250000.0,4,5,227.0,"Calle Colombia, 15",102142012,https://www.idealista.com/inmueble/102142012/
San Martín de la Vega,146990.0,2,3,100.0,"Calle de García Lorca, 15",101326107,https://www.idealista.com/inmueble/101326107/
San Martín de la Vega,145000.0,1,3,87.0,"Calle pintor rafael boti, 11",103820553,https://www.idealista.com/inmueble/103820553/
San Martín de la Vega,138500.0,1,3,95.0,FRAY BARTOLOME DE LAS CASAS,101323963,https://www.idealista.com/inmueble/101323963/
San Martín de la Vega,249999.0,4,7,284.0,San Martín de la Vega,100641316,https://www.idealista.com/inmueble/100641316/
San Martín de la Vega,136000.0,1,4,102.0,"Santa Mónica, 31",103787513,https://www.idealista.com/inmueble/103787513/
San Martín de la Vega,450000.0,2,4,528.0,Calle Amor de Dios,101248545,https://www.idealista.com/inmueble/101248545/
San Martín de la Vega,63000.0,1,3,63.0,Calle del Pintor Rafael Boti,103255990,https://www.idealista.com/inmueble/103255990/
San Martín de la Vega,223500.0,3,2,173.0,Calle de Gabriel y Galán,103104887,https://www.idealista.com/inmueble/103104887/
San Martín de la Vega,290000.0,4,3,232.0,Calle Colombia,102671103,https://www.idealista.com/inmueble/102671103/
San Martín de la Vega,75000.0,1,3,71.0,San Martín de la Vega,103841447,https://www.idealista.com/inmueble/103841447/
San Martín de la Vega,225000.0,3,4,160.0,Calle Enrique Tierno Galván,102799651,https://www.idealista.com/inmueble/102799651/
San Martín de la Vega,285000.0,4,3,153.0,San Martín de la Vega,103615056,https://www.idealista.com/inmueble/103615056/
San Martín de la Vega,189000.0,3,3,167.0,comunidad de madrid no number,103050283,https://www.idealista.com/inmueble/103050283/
San Martín de la Vega,239495.0,3,3,156.0,Soledad,103116705,https://www.idealista.com/inmueble/103116705/
San Martín de la Vega,269000.0,3,3,152.0,Asturias,103060002,https://www.idealista.com/inmueble/103060002/
San Martín de la Vega,170000.0,3,3,102.0,"Calle cuba, 78",102508813,https://www.idealista.com/inmueble/102508813/
San Martín de la Vega,450000.0,2,4,508.0,Amor de Dios,99484420,https://www.idealista.com/inmueble/99484420/
San Martín de la Vega,185000.0,2,2,111.0,San Antonio,102510722,https://www.idealista.com/inmueble/102510722/
San Martín de la Vega,285000.0,3,3,230.0,San Martín de la Vega,103576270,https://www.idealista.com/inmueble/103576270/
San Martín de la Vega,115000.0,1,3,84.0,Calle Residencial San Martín,103281938,https://www.idealista.com/inmueble/103281938/
San Martín de la Vega,223500.0,2,2,177.0,"Calle de Gabriel y Galán, 9",103350956,https://www.idealista.com/inmueble/103350956/
San Martín de la Vega,225000.0,1,2,192.0,San Martín de la Vega,103479661,https://www.idealista.com/inmueble/103479661/
San Martín de la Vega,163400.0,1,3,109.0,San Martín de la Vega,102236288,https://www.idealista.com/inmueble/102236288/
San Martín de la Vega,285000.0,4,3,232.0,San Martín de la Vega,103500780,https://www.idealista.com/inmueble/103500780/
San Martín de la Vega,263000.0,2,4,177.0,San Martín de la Vega,97607607,https://www.idealista.com/inmueble/97607607/
San Martín de la Vega,76000.0,1,3,87.0,Calle San Cristóbal,103474574,https://www.idealista.com/inmueble/103474574/
San Martín de la Vega,195000.0,2,3,120.0,San Martín de la Vega,103168769,https://www.idealista.com/inmueble/103168769/
San Martín de la Vega,50000.0,1,2,63.0,Calle Residencial San Martín,102390126,https://www.idealista.com/inmueble/102390126/
San Martín de la Vega,260000.0,2,3,205.0,San Martín de la Vega,103325003,https://www.idealista.com/inmueble/103325003/
San Martín de la Vega,112000.0,1,3,95.0,Calle Santa Mónica,102209087,https://www.idealista.com/inmueble/102209087/
San Martín de la Vega,285000.0,2,4,194.0,San Martín de la Vega,101456053,https://www.idealista.com/inmueble/101456053/
San Martín de la Vega,223500.0,3,2,173.0,"Calle de Gabriel y Galán, 9",103116797,https://www.idealista.com/inmueble/103116797/
San Martín de la Vega,263000.0,3,4,177.0,San Martín de la Vega,101131665,https://www.idealista.com/inmueble/101131665/
San Martín de la Vega,71300.0,1,2,66.0,Calle Gabriela Mistral,98953661,https://www.idealista.com/inmueble/98953661/
San Martín de la Vega,95000.0,1,3,70.0,Parque el Quiñon,103106125,https://www.idealista.com/inmueble/103106125/
San Martín de la Vega,63000.0,1,3,63.0,San Martín de la Vega,102819819,https://www.idealista.com/inmueble/102819819/
