municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Serranillos del Valle,319000.0,3,4,233.0,Serranillos del Valle,34999056,https://www.idealista.com/inmueble/34999056/
Serranillos del Valle,319900.0,2,4,162.0,Serranillos del Valle,101783543,https://www.idealista.com/inmueble/101783543/
Serranillos del Valle,195000.0,2,2,110.0,Serranillos del Valle,83259704,https://www.idealista.com/inmueble/83259704/
Serranillos del Valle,329900.0,4,4,300.0,Serranillos del Valle,102372045,https://www.idealista.com/inmueble/102372045/
Serranillos del Valle,262000.0,2,3,165.0,Serranillos del Valle,103068732,https://www.idealista.com/inmueble/103068732/
Serranillos del Valle,279900.0,4,5,252.0,Calle Chopos,102994562,https://www.idealista.com/inmueble/102994562/
Serranillos del Valle,205000.0,3,3,115.0,Calle de Cataluña,99963288,https://www.idealista.com/inmueble/99963288/
Serranillos del Valle,193000.0,3,3,126.0,CATALUÑA no number,103460725,https://www.idealista.com/inmueble/103460725/
Serranillos del Valle,185000.0,2,2,96.0,Paseo DE LA PRADERA no number,103460530,https://www.idealista.com/inmueble/103460530/
Serranillos del Valle,319900.0,2,4,165.0,Calle de los Geraneos,103557626,https://www.idealista.com/inmueble/103557626/
Serranillos del Valle,163000.0,2,2,99.0,castilla y leon,102986243,https://www.idealista.com/inmueble/102986243/
Serranillos del Valle,256000.0,3,5,234.0,Calle Guadamur,103647865,https://www.idealista.com/inmueble/103647865/
Serranillos del Valle,399000.0,2,4,344.0,Calle Serranillos,102673731,https://www.idealista.com/inmueble/102673731/
Serranillos del Valle,465000.0,3,6,351.0,Calle de haya,103227503,https://www.idealista.com/inmueble/103227503/
Serranillos del Valle,240000.0,3,4,230.0,Calle Polan,100934449,https://www.idealista.com/inmueble/100934449/
Serranillos del Valle,158900.0,2,3,280.0,Serranillos del Valle,99813356,https://www.idealista.com/inmueble/99813356/
Serranillos del Valle,239900.0,3,4,220.0,polan,103496009,https://www.idealista.com/inmueble/103496009/
Serranillos del Valle,195000.0,2,3,137.0,Calle de Cataluña,103141807,https://www.idealista.com/inmueble/103141807/
Serranillos del Valle,374900.0,4,5,264.0,Serranillos del Valle,101866116,https://www.idealista.com/inmueble/101866116/
Serranillos del Valle,240000.0,3,5,190.0,Calle Guadamur,102953552,https://www.idealista.com/inmueble/102953552/
Serranillos del Valle,420000.0,3,3,180.0,Serranillos del Valle,98549217,https://www.idealista.com/inmueble/98549217/
Serranillos del Valle,799900.0,4,4,612.0,Serranillos del Valle,98849871,https://www.idealista.com/inmueble/98849871/
Serranillos del Valle,189900.0,2,2,100.0,Serranillos del Valle,98240172,https://www.idealista.com/inmueble/98240172/
Serranillos del Valle,185000.0,3,2,116.0,Cataluña,102730313,https://www.idealista.com/inmueble/102730313/
Serranillos del Valle,184500.0,2,2,100.0,Paseo de la Pradera,103119162,https://www.idealista.com/inmueble/103119162/
Serranillos del Valle,319000.0,2,4,163.0,Prado,103256048,https://www.idealista.com/inmueble/103256048/
Serranillos del Valle,369900.0,3,6,590.0,Serranillos del Valle,90298553,https://www.idealista.com/inmueble/90298553/
Serranillos del Valle,389000.0,3,5,359.0,Serranillos del Valle,103327318,https://www.idealista.com/inmueble/103327318/
Serranillos del Valle,184500.0,2,2,100.0,Serranillos del Valle no number,103039446,https://www.idealista.com/inmueble/103039446/
Serranillos del Valle,184900.0,2,2,100.0,Serranillos del Valle,102779426,https://www.idealista.com/inmueble/102779426/
Serranillos del Valle,185000.0,2,2,100.0,Serranillos del Valle,102957601,https://www.idealista.com/inmueble/102957601/
Serranillos del Valle,185000.0,3,2,112.0,Serranillos del Valle,102674272,https://www.idealista.com/inmueble/102674272/
Serranillos del Valle,246000.0,2,4,220.0,Serranillos del Valle,100381480,https://www.idealista.com/inmueble/100381480/
Serranillos del Valle,220000.0,2,2,120.0,Serranillos del Valle,101441309,https://www.idealista.com/inmueble/101441309/
Serranillos del Valle,268000.0,1,3,189.0,Serranillos del Valle,97480484,https://www.idealista.com/inmueble/97480484/
Serranillos del Valle,240000.0,3,4,220.0,Serranillos del Valle,101105521,https://www.idealista.com/inmueble/101105521/
Serranillos del Valle,175000.0,3,3,110.0,Serranillos del Valle,95273990,https://www.idealista.com/inmueble/95273990/
Serranillos del Valle,254000.0,2,3,141.0,Calle Cataluña,101495964,https://www.idealista.com/inmueble/101495964/
