municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Soto del Real,525000.0,4,5,410.0,Soto del Real,102583848,https://www.idealista.com/inmueble/102583848/
Soto del Real,995000.0,5,4,540.0,Avenida de Madrid,95593545,https://www.idealista.com/inmueble/95593545/
Soto del Real,340000.0,2,3,135.0,N/D no number,102630283,https://www.idealista.com/inmueble/102630283/
Soto del Real,385000.0,2,4,169.0,PINTOR ROSALES,102673807,https://www.idealista.com/inmueble/102673807/
Soto del Real,745000.0,4,6,410.0,cobre,103050242,https://www.idealista.com/inmueble/103050242/
Soto del Real,750000.0,5,5,500.0,Soto del Real,103140400,https://www.idealista.com/inmueble/103140400/
Soto del Real,200000.0,2,3,100.0,Soto del Real,103869629,https://www.idealista.com/inmueble/103869629/
Soto del Real,610000.0,5,6,425.0,Soto del Real,103607306,https://www.idealista.com/inmueble/103607306/
Soto del Real,340000.0,2,3,135.0,Soto del Real,103380309,https://www.idealista.com/inmueble/103380309/
Soto del Real,680000.0,2,5,450.0,Soto del Real,95487744,https://www.idealista.com/inmueble/95487744/
Soto del Real,509500.0,2,5,310.0,Soto del Real,98798964,https://www.idealista.com/inmueble/98798964/
Soto del Real,158000.0,1,3,67.0,"Avenida Chozas de la Sierra, 16",101504273,https://www.idealista.com/inmueble/101504273/
Soto del Real,550000.0,3,4,240.0,Puente Cesures,96506147,https://www.idealista.com/inmueble/96506147/
Soto del Real,629000.0,3,4,264.0,Sierra madre,101975901,https://www.idealista.com/inmueble/101975901/
Soto del Real,195000.0,2,3,108.0,"Calle Torote, 22",103820613,https://www.idealista.com/inmueble/103820613/
Soto del Real,520000.0,2,3,242.0,Peña Grande,103523097,https://www.idealista.com/inmueble/103523097/
Soto del Real,436060.0,3,4,150.0,"Calle Puentedeva, 11",103509098,https://www.idealista.com/obra-nueva/103509098/
Soto del Real,700000.0,4,3,229.0,"Avenida de España, 3",100951533,https://www.idealista.com/inmueble/100951533/
Soto del Real,595000.0,4,10,383.0,Colonia Las Peñas,103096682,https://www.idealista.com/inmueble/103096682/
Soto del Real,600000.0,4,5,412.0,Soto del Real,102781392,https://www.idealista.com/inmueble/102781392/
Soto del Real,450000.0,3,4,340.0,Soto del Real,101067720,https://www.idealista.com/inmueble/101067720/
Soto del Real,289200.0,4,5,182.0,Ronda serrania de,103430445,https://www.idealista.com/inmueble/103430445/
Soto del Real,208000.0,2,2,81.0,FUENTE,103468600,https://www.idealista.com/inmueble/103468600/
Soto del Real,1200000.0,4,6,535.0,Soto del Real,98600298,https://www.idealista.com/inmueble/98600298/
Soto del Real,1450000.0,4,4,487.0,Soto del Real,101451171,https://www.idealista.com/inmueble/101451171/
Soto del Real,430000.0,3,5,230.0,"Avenida DE LAS FLORES, 12",98673495,https://www.idealista.com/inmueble/98673495/
Soto del Real,179900.0,1,0,60.0,"MORALES, 6",103698200,https://www.idealista.com/inmueble/103698200/
Soto del Real,699500.0,4,4,253.0,"Travesía DE LA IGLESIA, 6",101202663,https://www.idealista.com/inmueble/101202663/
Soto del Real,220000.0,2,2,111.0,Torote,96809215,https://www.idealista.com/inmueble/96809215/
Soto del Real,370000.0,2,3,116.0,Avenida de Valladolid,103105046,https://www.idealista.com/inmueble/103105046/
Soto del Real,489000.0,2,2,102.0,"Calle Puentedeva, 9",103724257,https://www.idealista.com/obra-nueva/103724257/
Soto del Real,670000.0,4,6,434.0,Calle Amatista,102581989,https://www.idealista.com/inmueble/102581989/
Soto del Real,160000.0,1,1,51.0,Torote,96811686,https://www.idealista.com/inmueble/96811686/
Soto del Real,190000.0,1,1,60.0,Torote,94503806,https://www.idealista.com/inmueble/94503806/
Soto del Real,680000.0,2,5,460.0,Soto del Real,102829200,https://www.idealista.com/inmueble/102829200/
Soto del Real,179000.0,1,3,105.0,Soto del Real,103746277,https://www.idealista.com/inmueble/103746277/
Soto del Real,169000.0,1,2,65.0,doctor morcillo,100968555,https://www.idealista.com/inmueble/100968555/
Soto del Real,420000.0,3,4,132.0,Soto del Real,102179106,https://www.idealista.com/inmueble/102179106/
Soto del Real,289200.0,4,5,182.0,Calle de la Serranía de Ronda,103732982,https://www.idealista.com/inmueble/103732982/
Soto del Real,1462000.0,2,3,562.0,Soto del Real,103635283,https://www.idealista.com/inmueble/103635283/
Soto del Real,169000.0,1,1,60.0,Soto del Real,96760002,https://www.idealista.com/inmueble/96760002/
Soto del Real,990000.0,2,2,110.0,Soto del Real,103741573,https://www.idealista.com/inmueble/103741573/
Soto del Real,949000.0,6,4,620.0,Soto del Real,98352880,https://www.idealista.com/inmueble/98352880/
Soto del Real,289200.0,4,5,244.0,Ronda SERRANIA DE,103387705,https://www.idealista.com/inmueble/103387705/
Soto del Real,550000.0,3,5,300.0,Soto del Real,84032050,https://www.idealista.com/inmueble/84032050/
Soto del Real,135000.0,1,3,79.0,Soto del Real,103247752,https://www.idealista.com/inmueble/103247752/
Soto del Real,179000.0,2,2,82.0,Soto del Real,99883848,https://www.idealista.com/inmueble/99883848/
Soto del Real,99000.0,1,0,28.0,Soto del Real,102446122,https://www.idealista.com/inmueble/102446122/
