municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Torrejón de Ardoz,295000.0,2,3,220.0,Calle Silicio,103139517,https://www.idealista.com/inmueble/103139517/
Torrejón de Ardoz,159900.0,1,3,75.0,"Calle química, 13",103340692,https://www.idealista.com/inmueble/103340692/
Torrejón de Ardoz,165890.0,1,3,81.0,Noreste,102236538,https://www.idealista.com/inmueble/102236538/
Torrejón de Ardoz,270164.0,2,3,111.0,Noroeste,101387079,https://www.idealista.com/inmueble/101387079/
Torrejón de Ardoz,165890.0,1,3,80.0,Sureste,102783632,https://www.idealista.com/inmueble/102783632/
Torrejón de Ardoz,279500.0,3,3,91.0,Calle de Venus,103548154,https://www.idealista.com/inmueble/103548154/
Torrejón de Ardoz,153000.0,1,1,46.0,Calle Cerro del Viso,102701812,https://www.idealista.com/inmueble/102701812/
Torrejón de Ardoz,191064.0,2,3,116.0,"Calle JUAN SEBASTIAN ELCANO, 4",103866479,https://www.idealista.com/inmueble/103866479/
Torrejón de Ardoz,329000.0,2,3,216.0,Avenida Cristóbal Colón,103069415,https://www.idealista.com/inmueble/103069415/
Torrejón de Ardoz,165000.0,1,3,88.0,"Calle Veredilla, 9",103858374,https://www.idealista.com/inmueble/103858374/
Torrejón de Ardoz,215000.0,2,2,86.0,Suroeste,103134467,https://www.idealista.com/inmueble/103134467/
Torrejón de Ardoz,460000.0,3,4,222.0,Sureste,102087961,https://www.idealista.com/inmueble/102087961/
Torrejón de Ardoz,235000.0,2,2,93.0,platino,103869962,https://www.idealista.com/inmueble/103869962/
Torrejón de Ardoz,335000.0,2,4,150.0,Sureste,103231841,https://www.idealista.com/inmueble/103231841/
Torrejón de Ardoz,409900.0,2,3,105.0,Noreste,103867830,https://www.idealista.com/inmueble/103867830/
Torrejón de Ardoz,260000.0,2,3,107.0,Suroeste,103135445,https://www.idealista.com/inmueble/103135445/
Torrejón de Ardoz,485000.0,5,5,310.0,Suroeste,102709903,https://www.idealista.com/inmueble/102709903/
Torrejón de Ardoz,191064.0,2,3,114.0,Calle Juan Sebastián Elcano,103408750,https://www.idealista.com/inmueble/103408750/
Torrejón de Ardoz,330000.0,2,2,113.0,"Calle de la Solana, 49",103581016,https://www.idealista.com/inmueble/103581016/
Torrejón de Ardoz,150000.0,2,1,50.0,"Calle Cristo, 59",103857491,https://www.idealista.com/inmueble/103857491/
Torrejón de Ardoz,220000.0,1,2,116.0,Paseo Emilia Pardo Bazan,103867519,https://www.idealista.com/inmueble/103867519/
Torrejón de Ardoz,208000.0,1,3,85.0,Calle Juan Ramon Jimenez,103869694,https://www.idealista.com/inmueble/103869694/
Torrejón de Ardoz,225000.0,2,3,115.0,Plaza de España,101550676,https://www.idealista.com/inmueble/101550676/
Torrejón de Ardoz,320000.0,2,3,158.0,Noroeste,102852424,https://www.idealista.com/inmueble/102852424/
Torrejón de Ardoz,225000.0,2,3,103.0,Calle Circunvalación,103787329,https://www.idealista.com/inmueble/103787329/
Torrejón de Ardoz,125000.0,1,1,51.0,Calle Circunvalación,103787495,https://www.idealista.com/inmueble/103787495/
Torrejón de Ardoz,159800.0,1,3,94.0,Noreste,88470391,https://www.idealista.com/inmueble/88470391/
Torrejón de Ardoz,165000.0,1,3,88.0,Noreste,102984935,https://www.idealista.com/inmueble/102984935/
Torrejón de Ardoz,234600.0,2,2,90.0,Suroeste,103861125,https://www.idealista.com/inmueble/103861125/
Torrejón de Ardoz,110000.0,1,3,76.0,Calle de Buenos Aires,103390818,https://www.idealista.com/inmueble/103390818/
Torrejón de Ardoz,694600.0,5,3,320.0,Suroeste,103280961,https://www.idealista.com/inmueble/103280961/
Torrejón de Ardoz,439000.0,3,3,157.0,"Calle Valle del Cabriel, 34",103814486,https://www.idealista.com/obra-nueva/103814486/
Torrejón de Ardoz,185000.0,1,3,100.0,Calle Encina,103854169,https://www.idealista.com/inmueble/103854169/
Torrejón de Ardoz,168000.0,1,3,73.0,Calle Fuentes,102646327,https://www.idealista.com/inmueble/102646327/
Torrejón de Ardoz,183500.0,2,2,76.0,Cl. Magdalena,101202241,https://www.idealista.com/inmueble/101202241/
Torrejón de Ardoz,130000.0,1,3,81.0,Calle Ciudad Jardín del Rosario,100357738,https://www.idealista.com/inmueble/100357738/
Torrejón de Ardoz,116000.0,1,3,70.0,Cl. Virgen del Pilar,101156602,https://www.idealista.com/inmueble/101156602/
Torrejón de Ardoz,247000.0,2,4,135.0,Virgen de la paloma,101962756,https://www.idealista.com/inmueble/101962756/
Torrejón de Ardoz,179500.0,2,4,131.0,Calle maestro barbieri,103312826,https://www.idealista.com/inmueble/103312826/
Torrejón de Ardoz,191064.0,2,3,93.0,Juan Sebastián Elcano,96724842,https://www.idealista.com/inmueble/96724842/
Torrejón de Ardoz,162000.0,2,3,135.0,Calle Reino Unido,103871066,https://www.idealista.com/inmueble/103871066/
Torrejón de Ardoz,349900.0,3,3,130.0,Calle Venus,103850165,https://www.idealista.com/inmueble/103850165/
Torrejón de Ardoz,257800.0,2,3,95.0,Noroeste,103864549,https://www.idealista.com/inmueble/103864549/
Torrejón de Ardoz,185000.0,1,3,100.0,Noroeste,103870885,https://www.idealista.com/inmueble/103870885/
Torrejón de Ardoz,192000.0,1,1,79.0,"Calle Río Jarama, 10",103596534,https://www.idealista.com/obra-nueva/103596534/
Torrejón de Ardoz,171000.0,2,2,58.0,"Calle Río Jarama, 10",103596517,https://www.idealista.com/obra-nueva/103596517/
Torrejón de Ardoz,196000.0,2,2,87.0,"Calle Río Jarama, 10",103596556,https://www.idealista.com/obra-nueva/103596556/
Torrejón de Ardoz,193000.0,2,2,84.0,"Calle Río Jarama, 10",103596535,https://www.idealista.com/obra-nueva/103596535/
Torrejón de Ardoz,192000.0,2,2,84.0,"Calle Río Jarama, 10",103596530,https://www.idealista.com/obra-nueva/103596530/
Torrejón de Ardoz,165000.0,1,3,83.0,Calle Veredilla,97403388,https://www.idealista.com/inmueble/97403388/
