municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Torrejón de la Calzada,450000.0,4,5,416.0,Calle de Cádiz,102987117,https://www.idealista.com/inmueble/102987117/
Torrejón de la Calzada,375000.0,3,4,275.0,Ronda de Castilla Este,103153772,https://www.idealista.com/inmueble/103153772/
Torrejón de la Calzada,195000.0,2,2,85.0,"Calle Virgen de la Natividad, 3",99694755,https://www.idealista.com/inmueble/99694755/
Torrejón de la Calzada,97600.0,1,2,93.0,Calle de Eulalia Sauquillo,103845767,https://www.idealista.com/inmueble/103845767/
Torrejón de la Calzada,214900.0,2,3,154.0,Avenida de Carlos I,103531784,https://www.idealista.com/inmueble/103531784/
Torrejón de la Calzada,245000.0,3,4,240.0,Alamo,99938408,https://www.idealista.com/inmueble/99938408/
Torrejón de la Calzada,310000.0,2,4,190.0,JAEN,103306823,https://www.idealista.com/inmueble/103306823/
Torrejón de la Calzada,349990.0,3,4,226.0,Torrejón de la Calzada,103507091,https://www.idealista.com/inmueble/103507091/
Torrejón de la Calzada,460000.0,2,4,488.0,Torrejón de la Calzada,103863867,https://www.idealista.com/inmueble/103863867/
Torrejón de la Calzada,580000.0,5,4,343.0,Torrejón de la Calzada,103855129,https://www.idealista.com/inmueble/103855129/
Torrejón de la Calzada,580000.0,5,4,343.0,Torrejón de la Calzada,103761377,https://www.idealista.com/inmueble/103761377/
Torrejón de la Calzada,175000.0,2,3,125.0,"cambroneras, 1",102332653,https://www.idealista.com/inmueble/102332653/
Torrejón de la Calzada,290000.0,3,4,243.0,Calle nueva,103596642,https://www.idealista.com/inmueble/103596642/
Torrejón de la Calzada,349900.0,3,4,195.0,Calle Mariana Pineda,103544162,https://www.idealista.com/inmueble/103544162/
Torrejón de la Calzada,269900.0,3,4,200.0,Roble,103195775,https://www.idealista.com/inmueble/103195775/
Torrejón de la Calzada,435000.0,4,3,290.0,Torrejón de la Calzada,103861526,https://www.idealista.com/inmueble/103861526/
Torrejón de la Calzada,338500.0,3,5,239.0,ZAMORA no number,101648786,https://www.idealista.com/inmueble/101648786/
Torrejón de la Calzada,580000.0,5,4,375.0,Rosalía de Castro,103506076,https://www.idealista.com/inmueble/103506076/
Torrejón de la Calzada,148000.0,2,4,94.0,Calle Getafe,102851654,https://www.idealista.com/inmueble/102851654/
Torrejón de la Calzada,420000.0,3,5,270.0,Torrejón de la Calzada,103099640,https://www.idealista.com/inmueble/103099640/
Torrejón de la Calzada,349900.0,3,4,195.0,Torrejón de la Calzada,103451103,https://www.idealista.com/inmueble/103451103/
Torrejón de la Calzada,338000.0,3,3,236.0,ANTARES,102889609,https://www.idealista.com/inmueble/102889609/
Torrejón de la Calzada,405000.0,3,3,299.0,Torrejón de la Calzada,103213709,https://www.idealista.com/inmueble/103213709/
Torrejón de la Calzada,326000.0,2,4,148.0,Torrejón de la Calzada,103761294,https://www.idealista.com/inmueble/103761294/
Torrejón de la Calzada,340000.0,3,4,246.0,Torrejón de la Calzada,102524919,https://www.idealista.com/inmueble/102524919/
Torrejón de la Calzada,209900.0,2,3,111.0,Torrejón de la Calzada,103328104,https://www.idealista.com/inmueble/103328104/
Torrejón de la Calzada,349900.0,3,4,195.0,maría pineda,103418453,https://www.idealista.com/inmueble/103418453/
Torrejón de la Calzada,290000.0,3,4,220.0,Torrejón de la Calzada,102603613,https://www.idealista.com/inmueble/102603613/
Torrejón de la Calzada,97600.0,1,2,94.0,Calle de Eulalia Sauquillo,102563585,https://www.idealista.com/inmueble/102563585/
Torrejón de la Calzada,363000.0,3,4,280.0,Torrejón de la Calzada,101652807,https://www.idealista.com/inmueble/101652807/
Torrejón de la Calzada,220000.0,2,4,151.0,Torrejón de la Calzada,103410411,https://www.idealista.com/inmueble/103410411/
Torrejón de la Calzada,339000.0,3,3,270.0,Torrejón de la Calzada,102988354,https://www.idealista.com/inmueble/102988354/
Torrejón de la Calzada,190000.0,1,3,81.0,Torrejón de la Calzada,103816443,https://www.idealista.com/inmueble/103816443/
Torrejón de la Calzada,358000.0,4,4,280.0,Torrejón de la Calzada,103689786,https://www.idealista.com/inmueble/103689786/
Torrejón de la Calzada,349900.0,3,4,226.0,Torrejón de la Calzada,103689783,https://www.idealista.com/inmueble/103689783/
