municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Torres de la Alameda,178000.0,1,2,160.0,Calle Mirador de la Barguilla,102189412,https://www.idealista.com/inmueble/102189412/
Torres de la Alameda,311000.0,2,3,259.0,Torres de la Alameda,103864037,https://www.idealista.com/inmueble/103864037/
Torres de la Alameda,399900.0,3,4,188.0,Torres de la Alameda,101411306,https://www.idealista.com/inmueble/101411306/
Torres de la Alameda,179900.0,1,3,85.0,Calle Real,98990117,https://www.idealista.com/inmueble/98990117/
Torres de la Alameda,480000.0,3,5,286.0,Torres de la Alameda,97793657,https://www.idealista.com/inmueble/97793657/
Torres de la Alameda,340000.0,3,4,285.0,Torres de la Alameda,103318045,https://www.idealista.com/inmueble/103318045/
Torres de la Alameda,325000.0,3,4,255.0,FEDERICO GARCIA LORCA,102854611,https://www.idealista.com/inmueble/102854611/
Torres de la Alameda,309000.0,2,4,200.0,Almendros,103585189,https://www.idealista.com/inmueble/103585189/
Torres de la Alameda,203380.0,2,3,93.0,"Paseo de los Pozos , 31",102751837,https://www.idealista.com/obra-nueva/102751837/
Torres de la Alameda,193260.0,2,3,88.0,"Paseo de los Pozos , 31",102751836,https://www.idealista.com/obra-nueva/102751836/
Torres de la Alameda,210900.0,2,3,93.0,"Paseo de los Pozos , 31",102751838,https://www.idealista.com/obra-nueva/102751838/
Torres de la Alameda,162160.0,1,1,66.0,"Paseo de los Pozos , 31",101275154,https://www.idealista.com/obra-nueva/101275154/
Torres de la Alameda,158510.0,2,2,70.0,"Paseo de los Pozos , 31",102751771,https://www.idealista.com/obra-nueva/102751771/
Torres de la Alameda,191990.0,2,2,80.0,"Paseo de los Pozos , 31",102751788,https://www.idealista.com/obra-nueva/102751788/
Torres de la Alameda,146770.0,1,1,66.0,"Paseo de los Pozos , 31",101275053,https://www.idealista.com/obra-nueva/101275053/
Torres de la Alameda,176180.0,2,2,79.0,"Paseo de los Pozos , 31",102751754,https://www.idealista.com/obra-nueva/102751754/
Torres de la Alameda,299000.0,3,5,300.0,Amapola,39761297,https://www.idealista.com/inmueble/39761297/
Torres de la Alameda,147000.0,2,2,80.0,Torres de la Alameda,100837531,https://www.idealista.com/inmueble/100837531/
Torres de la Alameda,136000.0,1,3,105.0,Miralrio,103836416,https://www.idealista.com/inmueble/103836416/
Torres de la Alameda,387895.0,3,4,188.0,Calle Rosalía de Castro,100153712,https://www.idealista.com/inmueble/100153712/
Torres de la Alameda,159000.0,1,3,103.0,Calle de los Ángeles,103711486,https://www.idealista.com/inmueble/103711486/
Torres de la Alameda,250000.0,1,4,111.0,Torres de la Alameda,102476216,https://www.idealista.com/inmueble/102476216/
Torres de la Alameda,360000.0,4,4,348.0,Torres de la Alameda,93448675,https://www.idealista.com/inmueble/93448675/
Torres de la Alameda,256000.0,3,3,203.0,PICADEROS,103800557,https://www.idealista.com/inmueble/103800557/
Torres de la Alameda,359900.0,3,3,323.0,Calle de los Avellanos,102614686,https://www.idealista.com/inmueble/102614686/
Torres de la Alameda,374000.0,3,4,288.0,Calle Miguel de Unamuno,102694529,https://www.idealista.com/inmueble/102694529/
Torres de la Alameda,175000.0,1,2,140.0,Torres de la Alameda,101532331,https://www.idealista.com/inmueble/101532331/
Torres de la Alameda,299900.0,3,3,295.0,Paseo de los Pozos,102252520,https://www.idealista.com/inmueble/102252520/
Torres de la Alameda,139000.0,2,3,90.0,Ancha,103733643,https://www.idealista.com/inmueble/103733643/
Torres de la Alameda,532300.0,2,3,561.0,"Calle Unión, 25",98159425,https://www.idealista.com/inmueble/98159425/
Torres de la Alameda,158000.0,2,3,95.0,Calle de los Picaderos,103407562,https://www.idealista.com/inmueble/103407562/
Torres de la Alameda,329000.0,3,3,197.0,Torres de la Alameda,103789537,https://www.idealista.com/inmueble/103789537/
Torres de la Alameda,191990.0,2,2,80.0,"Paseo de los Pozos , 31",102869944,https://www.idealista.com/obra-nueva/102869944/
Torres de la Alameda,203380.0,2,3,94.0,"Paseo de los Pozos , 31",102870016,https://www.idealista.com/obra-nueva/102870016/
Torres de la Alameda,146770.0,1,1,66.0,"Paseo de los Pozos , 31",102869992,https://www.idealista.com/obra-nueva/102869992/
Torres de la Alameda,193260.0,2,3,89.0,"Paseo de los Pozos , 31",102870007,https://www.idealista.com/obra-nueva/102870007/
Torres de la Alameda,158510.0,2,2,70.0,"Paseo de los Pozos , 31",102869991,https://www.idealista.com/obra-nueva/102869991/
Torres de la Alameda,176180.0,2,2,80.0,"Paseo de los Pozos , 31",102870006,https://www.idealista.com/obra-nueva/102870006/
Torres de la Alameda,162160.0,1,1,66.0,"Paseo de los Pozos , 31",102869988,https://www.idealista.com/obra-nueva/102869988/
Torres de la Alameda,129900.0,2,2,136.0,Torres de la Alameda,103836510,https://www.idealista.com/inmueble/103836510/
Torres de la Alameda,224900.0,2,3,117.0,Alameda,102455841,https://www.idealista.com/inmueble/102455841/
Torres de la Alameda,390000.0,3,4,171.0,Torres de la Alameda,103248878,https://www.idealista.com/inmueble/103248878/
Torres de la Alameda,138500.0,1,3,67.0,Torres de la Alameda,102689671,https://www.idealista.com/inmueble/102689671/
Torres de la Alameda,127000.0,1,3,80.0,mirador de la barquilla,103077534,https://www.idealista.com/inmueble/103077534/
Torres de la Alameda,259900.0,4,6,200.0,Torres de la Alameda,102036999,https://www.idealista.com/inmueble/102036999/
Torres de la Alameda,270000.0,2,3,215.0,Salvador Dali,102353651,https://www.idealista.com/inmueble/102353651/
Torres de la Alameda,189000.0,1,2,190.0,Calle Unión,99262239,https://www.idealista.com/inmueble/99262239/
Torres de la Alameda,125000.0,1,1,50.0,Torres de la Alameda,103797053,https://www.idealista.com/inmueble/103797053/
Torres de la Alameda,130000.0,1,3,77.0,MAYOR,103018409,https://www.idealista.com/inmueble/103018409/
Torres de la Alameda,359900.0,4,4,215.0,Torres de la Alameda,103457894,https://www.idealista.com/inmueble/103457894/
