municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Tres Cantos,839000.0,4,5,324.0,Segunda Fase,103546300,https://www.idealista.com/inmueble/103546300/
Tres Cantos,839000.0,4,5,349.0,Calle de chicago,103377914,https://www.idealista.com/inmueble/103377914/
Tres Cantos,1400000.0,7,7,499.0,"Calle Manzanal, 1",102840567,https://www.idealista.com/inmueble/102840567/
Tres Cantos,275000.0,1,2,76.0,sector oficios,101733582,https://www.idealista.com/inmueble/101733582/
Tres Cantos,441000.0,2,3,116.0,"Calle Rafael Moneo, 36",102896271,https://www.idealista.com/obra-nueva/102896271/
Tres Cantos,449000.0,2,3,108.0,"Calle Rafael Moneo, 36",103055166,https://www.idealista.com/obra-nueva/103055166/
Tres Cantos,419000.0,2,2,95.0,"Calle Rafael Moneo, 36",102896297,https://www.idealista.com/obra-nueva/102896297/
Tres Cantos,415000.0,2,3,113.0,"Calle Rafael Moneo, 36",103055226,https://www.idealista.com/obra-nueva/103055226/
Tres Cantos,424000.0,2,3,118.0,"Calle Rafael Moneo, 36",102896278,https://www.idealista.com/obra-nueva/102896278/
Tres Cantos,459000.0,2,3,118.0,"Calle Rafael Moneo, 36",102746110,https://www.idealista.com/obra-nueva/102746110/
Tres Cantos,615000.0,3,4,279.0,Sector Mares,101537872,https://www.idealista.com/inmueble/101537872/
Tres Cantos,585000.0,2,3,129.0,Calle del Pico de San Pedro,102253030,https://www.idealista.com/inmueble/102253030/
Tres Cantos,519000.0,2,3,117.0,Calle de Galicia,102971400,https://www.idealista.com/inmueble/102971400/
Tres Cantos,369000.0,2,3,100.0,Primera Fase - Nuevo Tres Cantos,101323304,https://www.idealista.com/inmueble/101323304/
Tres Cantos,380000.0,2,3,111.0,Zona Estación- Centro,102751146,https://www.idealista.com/inmueble/102751146/
Tres Cantos,269000.0,2,2,78.0,Zona Estación- Centro,102848976,https://www.idealista.com/inmueble/102848976/
Tres Cantos,870000.0,4,5,544.0,Segunda Fase,97165176,https://www.idealista.com/inmueble/97165176/
Tres Cantos,600800.0,3,3,130.0,Calle del Eneldo,103863394,https://www.idealista.com/inmueble/103863394/
Tres Cantos,840000.0,4,4,330.0,Calle de Chicago,103175243,https://www.idealista.com/inmueble/103175243/
Tres Cantos,370000.0,2,4,140.0,Primera Fase - Nuevo Tres Cantos,103780277,https://www.idealista.com/inmueble/103780277/
Tres Cantos,300000.0,1,2,124.0,Av Castilla y León,103855490,https://www.idealista.com/inmueble/103855490/
Tres Cantos,339000.0,2,2,80.0,Zona Estación- Centro,103844270,https://www.idealista.com/inmueble/103844270/
Tres Cantos,511000.0,2,3,124.0,Avenida de Jun Pablo II no number,103696384,https://www.idealista.com/obra-nueva/103696384/
Tres Cantos,454500.0,2,2,97.0,Avenida de Jun Pablo II no number,103696401,https://www.idealista.com/obra-nueva/103696401/
Tres Cantos,519000.0,2,3,124.0,Avenida de Jun Pablo II no number,103696402,https://www.idealista.com/obra-nueva/103696402/
Tres Cantos,466000.0,2,3,121.0,Avenida de Jun Pablo II no number,103696403,https://www.idealista.com/obra-nueva/103696403/
Tres Cantos,619900.0,3,4,230.0,buenos aires,103824839,https://www.idealista.com/inmueble/103824839/
Tres Cantos,319000.0,1,2,67.0,Avenida PARQUE,103824737,https://www.idealista.com/inmueble/103824737/
Tres Cantos,720500.0,2,4,158.0,Avenida de Jun Pablo II no number,103208821,https://www.idealista.com/obra-nueva/103208821/
Tres Cantos,474500.0,2,2,98.0,Avenida de Jun Pablo II no number,103208782,https://www.idealista.com/obra-nueva/103208782/
Tres Cantos,434000.0,2,2,102.0,Avenida de Jun Pablo II no number,103208846,https://www.idealista.com/obra-nueva/103208846/
Tres Cantos,521000.0,2,3,116.0,Avenida de Jun Pablo II no number,103208784,https://www.idealista.com/obra-nueva/103208784/
Tres Cantos,631500.0,2,4,163.0,Avenida de Jun Pablo II no number,101705151,https://www.idealista.com/obra-nueva/101705151/
Tres Cantos,434000.0,2,2,101.0,Avenida de Jun Pablo II no number,103208848,https://www.idealista.com/obra-nueva/103208848/
Tres Cantos,390000.0,2,4,130.0,foresta,103663746,https://www.idealista.com/inmueble/103663746/
Tres Cantos,519000.0,2,4,195.0,Primera Fase,103328330,https://www.idealista.com/inmueble/103328330/
Tres Cantos,335000.0,1,2,70.0,Zona Estación- Centro,103770261,https://www.idealista.com/inmueble/103770261/
Tres Cantos,565000.0,4,5,211.0,Avenida Artesanos,103796583,https://www.idealista.com/inmueble/103796583/
Tres Cantos,490000.0,2,3,189.0,Avenida de España,103832514,https://www.idealista.com/inmueble/103832514/
Tres Cantos,489000.0,2,3,114.0,Avenida Juan Pablo II no number,100750059,https://www.idealista.com/obra-nueva/100750059/
Tres Cantos,512000.0,2,3,119.0,Avenida Juan Pablo II no number,98783649,https://www.idealista.com/obra-nueva/98783649/
Tres Cantos,245000.0,1,0,95.0,Zona Industrial,103334318,https://www.idealista.com/inmueble/103334318/
Tres Cantos,463000.0,2,3,114.0,Avenida Juan Pablo II no number,101378983,https://www.idealista.com/obra-nueva/101378983/
Tres Cantos,510000.0,2,3,114.0,Avenida Juan Pablo II no number,100750128,https://www.idealista.com/obra-nueva/100750128/
Tres Cantos,1750000.0,4,4,600.0,Soto de Viñuelas,103437921,https://www.idealista.com/inmueble/103437921/
Tres Cantos,485000.0,2,4,140.0,Sector Pueblos,103658358,https://www.idealista.com/inmueble/103658358/
Tres Cantos,437000.0,2,3,120.0,PICO SAN PEDRO,103682065,https://www.idealista.com/inmueble/103682065/
Tres Cantos,643000.0,2,4,163.0,Avenida Juan Pablo II no number,99770122,https://www.idealista.com/obra-nueva/99770122/
Tres Cantos,488000.0,2,3,117.0,Avenida Juan Pablo II no number,99770118,https://www.idealista.com/obra-nueva/99770118/
Tres Cantos,570800.0,3,3,276.0,"Calle del Eneldo, 16",102568564,https://www.idealista.com/inmueble/102568564/
