municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Valdemoro,339500.0,2,3,146.0,Calle Alcalde Antonio Pariente Cuesta,102785651,https://www.idealista.com/inmueble/102785651/
Valdemoro,232000.0,2,3,99.0,Hospital,103452528,https://www.idealista.com/inmueble/103452528/
Valdemoro,399900.0,3,4,182.0,Hispanoamérica - Comunidades,102739031,https://www.idealista.com/inmueble/102739031/
Valdemoro,349900.0,3,5,195.0,Centro,103353034,https://www.idealista.com/inmueble/103353034/
Valdemoro,215000.0,2,3,115.0,Avenida del Mar Mediterráneo,101763421,https://www.idealista.com/inmueble/101763421/
Valdemoro,324900.0,2,3,111.0,"Calle Fernando VI, 12",100118149,https://www.idealista.com/obra-nueva/100118149/
Valdemoro,259900.0,2,2,86.0,"Calle Fernando VI, 12",97270788,https://www.idealista.com/obra-nueva/97270788/
Valdemoro,265400.0,2,2,85.0,"Calle Fernando VI, 12",97270789,https://www.idealista.com/obra-nueva/97270789/
Valdemoro,349900.0,2,3,115.0,"Calle Fernando VI, 12",97849744,https://www.idealista.com/obra-nueva/97849744/
Valdemoro,261900.0,2,2,86.0,"Calle Fernando VI, 12",97270783,https://www.idealista.com/obra-nueva/97270783/
Valdemoro,393800.0,2,4,145.0,"Calle Fernando VI, 12",95931428,https://www.idealista.com/obra-nueva/95931428/
Valdemoro,430000.0,3,5,389.0,Calle de Puerto Rico,103851603,https://www.idealista.com/inmueble/103851603/
Valdemoro,245000.0,2,2,137.0,"Agustina de Aragón 10, 10",103866441,https://www.idealista.com/inmueble/103866441/
Valdemoro,339900.0,2,4,148.0,Calle Agustina de Aragón,103425765,https://www.idealista.com/inmueble/103425765/
Valdemoro,286000.0,2,3,125.0,Calle Diego de Almagro  no number,103752492,https://www.idealista.com/obra-nueva/103752492/
Valdemoro,217000.0,2,3,131.0,Calle Letonia,102857907,https://www.idealista.com/inmueble/102857907/
Valdemoro,320000.0,3,3,241.0,Calle Islas Bermudas,103165103,https://www.idealista.com/inmueble/103165103/
Valdemoro,341420.0,3,4,264.0,Hispanoamérica - Comunidades,97857926,https://www.idealista.com/inmueble/97857926/
Valdemoro,341420.0,2,3,256.0,Calle República Dominicana,103869980,https://www.idealista.com/inmueble/103869980/
Valdemoro,338000.0,3,5,258.0,Calle de Crono,103788862,https://www.idealista.com/inmueble/103788862/
Valdemoro,216000.0,2,2,146.0,Hospital,103556414,https://www.idealista.com/inmueble/103556414/
Valdemoro,375000.0,3,4,186.0,Zona Estación,103461488,https://www.idealista.com/inmueble/103461488/
Valdemoro,359000.0,3,3,187.0,illescas,100296649,https://www.idealista.com/inmueble/100296649/
Valdemoro,242000.0,2,2,94.0,"Avenida de los Reyes Católicos, 4",103855347,https://www.idealista.com/obra-nueva/103855347/
Valdemoro,265000.0,2,2,144.0,"Avenida de los Reyes Católicos, 4",103855343,https://www.idealista.com/obra-nueva/103855343/
Valdemoro,215000.0,2,2,83.0,"Avenida de los Reyes Católicos, 4",103855335,https://www.idealista.com/obra-nueva/103855335/
Valdemoro,170000.0,1,2,86.0,Calle Valdesanchuela,103867101,https://www.idealista.com/inmueble/103867101/
Valdemoro,285000.0,2,2,144.0,"Avenida de los Reyes Católicos, 4",103855344,https://www.idealista.com/obra-nueva/103855344/
