municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Valdeolmos-Alalpardo,540000.0,5,5,325.0,Avenida de la Paz,102616324,https://www.idealista.com/inmueble/102616324/
Valdeolmos-Alalpardo,469000.0,5,5,270.0,GEMINIS,98598021,https://www.idealista.com/inmueble/98598021/
Valdeolmos-Alalpardo,210000.0,1,3,125.0,Calle de la Fragua,103445489,https://www.idealista.com/inmueble/103445489/
Valdeolmos-Alalpardo,365000.0,2,3,207.0,toros,102835673,https://www.idealista.com/inmueble/102835673/
Valdeolmos-Alalpardo,171000.0,2,3,90.0,"Calle del Monte, 15",101411826,https://www.idealista.com/inmueble/101411826/
Valdeolmos-Alalpardo,292500.0,2,3,203.0,Los Cerezos no number,102682686,https://www.idealista.com/inmueble/102682686/
Valdeolmos-Alalpardo,535000.0,4,4,373.0,Calle Géminis,103845883,https://www.idealista.com/inmueble/103845883/
Valdeolmos-Alalpardo,269900.0,1,3,74.0,Calle de los Perales,99955831,https://www.idealista.com/inmueble/99955831/
Valdeolmos-Alalpardo,6363000.0,7,4,2500.0,Valdeolmos-Alalpardo,102266282,https://www.idealista.com/inmueble/102266282/
Valdeolmos-Alalpardo,319999.0,2,3,202.0,Calle de la fuente,103607368,https://www.idealista.com/inmueble/103607368/
Valdeolmos-Alalpardo,375000.0,4,4,270.0,Calle de Carlos Martín Álvarez,103632750,https://www.idealista.com/inmueble/103632750/
Valdeolmos-Alalpardo,338290.0,2,3,111.0,Camino de Serracines,101950119,https://www.idealista.com/inmueble/101950119/
Valdeolmos-Alalpardo,171000.0,2,3,117.0,"MONTE, 2",101490693,https://www.idealista.com/inmueble/101490693/
Valdeolmos-Alalpardo,439000.0,3,4,150.0,"Diseminado Camino Zarzuela, 4",98352842,https://www.idealista.com/inmueble/98352842/
Valdeolmos-Alalpardo,240000.0,2,3,118.0,"Calle la Fragua, 2",98219329,https://www.idealista.com/obra-nueva/98219329/
Valdeolmos-Alalpardo,245000.0,2,3,119.0,"Calle la Fragua, 2",98219912,https://www.idealista.com/obra-nueva/98219912/
Valdeolmos-Alalpardo,240000.0,2,3,116.0,"Calle la Fragua, 2",98219531,https://www.idealista.com/obra-nueva/98219531/
Valdeolmos-Alalpardo,599990.0,5,4,454.0,Cerezos,103265980,https://www.idealista.com/inmueble/103265980/
Valdeolmos-Alalpardo,152916.0,2,3,113.0,"Calle Eras del Marqués, 17",103783451,https://www.idealista.com/inmueble/103783451/
Valdeolmos-Alalpardo,520000.0,3,4,291.0,aldebaran,102831706,https://www.idealista.com/inmueble/102831706/
Valdeolmos-Alalpardo,215000.0,2,3,113.0,Calvo Sotelo,103645177,https://www.idealista.com/inmueble/103645177/
Valdeolmos-Alalpardo,800000.0,4,6,360.0,Calle calvo sotelo,91921278,https://www.idealista.com/inmueble/91921278/
Valdeolmos-Alalpardo,329000.0,3,4,162.0,Calle DEL MONTE,103516934,https://www.idealista.com/inmueble/103516934/
Valdeolmos-Alalpardo,165000.0,2,2,80.0,Valdeolmos-Alalpardo,103696257,https://www.idealista.com/inmueble/103696257/
Valdeolmos-Alalpardo,145000.0,2,1,85.0,Valdeolmos-Alalpardo,103695515,https://www.idealista.com/inmueble/103695515/
Valdeolmos-Alalpardo,790000.0,11,10,665.0,"Calle Fuente el Saz, 25",103378308,https://www.idealista.com/inmueble/103378308/
Valdeolmos-Alalpardo,185000.0,2,3,114.0,Calle Subida a la Iglesia,103659134,https://www.idealista.com/inmueble/103659134/
Valdeolmos-Alalpardo,503000.0,5,6,350.0,Valdeolmos-Alalpardo,102705223,https://www.idealista.com/inmueble/102705223/
Valdeolmos-Alalpardo,171000.0,2,3,90.0,Valdeolmos-Alalpardo,103857145,https://www.idealista.com/inmueble/103857145/
Valdeolmos-Alalpardo,368000.0,4,5,290.0,Carlos Martín Alvarez,103231107,https://www.idealista.com/inmueble/103231107/
Valdeolmos-Alalpardo,469000.0,4,4,310.0,Calle Géminis,101328525,https://www.idealista.com/inmueble/101328525/
Valdeolmos-Alalpardo,375000.0,4,4,270.0,Calle de Carlos Martín Álvarez,102897970,https://www.idealista.com/inmueble/102897970/
Valdeolmos-Alalpardo,390000.0,2,4,276.0,Valdeolmos-Alalpardo,103784716,https://www.idealista.com/inmueble/103784716/
Valdeolmos-Alalpardo,338290.0,2,3,115.0,Valdeolmos-Alalpardo,102352965,https://www.idealista.com/inmueble/102352965/
