municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Valdetorres de Jarama,505000.0,4,5,400.0,"grecia, 6",103754136,https://www.idealista.com/inmueble/103754136/
Valdetorres de Jarama,470000.0,5,8,384.0,Calle Granados,99285267,https://www.idealista.com/inmueble/99285267/
Valdetorres de Jarama,685000.0,3,3,436.0,Granados,103550493,https://www.idealista.com/inmueble/103550493/
Valdetorres de Jarama,455000.0,3,5,366.0,Valdetorres de Jarama,101204173,https://www.idealista.com/inmueble/101204173/
Valdetorres de Jarama,219900.0,2,3,130.0,"san roque, 26",103854843,https://www.idealista.com/inmueble/103854843/
Valdetorres de Jarama,368000.0,2,5,259.0,Valdetorres de Jarama,99040069,https://www.idealista.com/inmueble/99040069/
Valdetorres de Jarama,195000.0,3,3,115.0,VIRGEN DEL CAMPO,103187833,https://www.idealista.com/inmueble/103187833/
Valdetorres de Jarama,269990.0,1,4,245.0,valdetorres del jarama,103288600,https://www.idealista.com/inmueble/103288600/
Valdetorres de Jarama,115000.0,1,2,68.0,Calle torrelaguna,103487263,https://www.idealista.com/inmueble/103487263/
Valdetorres de Jarama,152000.0,2,2,73.0,Cañada de San Sebastián,102912253,https://www.idealista.com/inmueble/102912253/
Valdetorres de Jarama,380000.0,3,5,221.0,"carmen rico godoy, 14",97448990,https://www.idealista.com/inmueble/97448990/
Valdetorres de Jarama,329999.0,2,4,300.0,Carretera de valdetorres,102188581,https://www.idealista.com/inmueble/102188581/
Valdetorres de Jarama,243595.0,2,4,147.0,europa no number,103418159,https://www.idealista.com/inmueble/103418159/
Valdetorres de Jarama,390000.0,3,5,500.0,"GUSTAVO ADOLFO BECQUER, 10",102393092,https://www.idealista.com/inmueble/102393092/
Valdetorres de Jarama,300000.0,3,3,240.0,Jarama,100443982,https://www.idealista.com/inmueble/100443982/
Valdetorres de Jarama,378000.0,3,4,320.0,Portugal,101138692,https://www.idealista.com/inmueble/101138692/
Valdetorres de Jarama,149900.0,2,2,68.0,Calle del Soto,103727274,https://www.idealista.com/inmueble/103727274/
Valdetorres de Jarama,155000.0,2,3,85.0,"Calle Talamanca, 17 -9",101118663,https://www.idealista.com/inmueble/101118663/
Valdetorres de Jarama,549000.0,5,3,378.0,Belgica,99079182,https://www.idealista.com/inmueble/99079182/
Valdetorres de Jarama,195000.0,3,3,112.0,"VIRGEN DEL CAMPO, 21",102412658,https://www.idealista.com/inmueble/102412658/
Valdetorres de Jarama,295000.0,2,3,105.0,Calle Granados,100404718,https://www.idealista.com/inmueble/100404718/
Valdetorres de Jarama,149000.0,2,2,77.0,"Cañada de San Sebastian, 6",102863817,https://www.idealista.com/inmueble/102863817/
Valdetorres de Jarama,695000.0,5,6,505.0,Calle Gustavo Adolfo Bécquer,97898923,https://www.idealista.com/inmueble/97898923/
Valdetorres de Jarama,419000.0,4,4,303.0,Valdetorres de Jarama,102487819,https://www.idealista.com/inmueble/102487819/
Valdetorres de Jarama,195000.0,3,3,115.0,Valdetorres de Jarama,103849181,https://www.idealista.com/inmueble/103849181/
Valdetorres de Jarama,310000.0,3,3,210.0,"Camino de la vega, 28",103380415,https://www.idealista.com/inmueble/103380415/
Valdetorres de Jarama,505000.0,4,5,307.0,"portugal, 8",102625673,https://www.idealista.com/inmueble/102625673/
Valdetorres de Jarama,390000.0,3,5,500.0,Calle Gustavo Adolfo Bécquer,99064219,https://www.idealista.com/inmueble/99064219/
Valdetorres de Jarama,419000.0,4,4,303.0,Valdetorres de Jarama,103040306,https://www.idealista.com/inmueble/103040306/
Valdetorres de Jarama,150000.0,1,2,210.0,Paraje Riada no number,102844985,https://www.idealista.com/inmueble/102844985/
Valdetorres de Jarama,310000.0,3,3,208.0,Valdetorres de Jarama,102975593,https://www.idealista.com/inmueble/102975593/
Valdetorres de Jarama,149999.0,1,1,57.0,Valdetorres de Jarama,102819743,https://www.idealista.com/inmueble/102819743/
Valdetorres de Jarama,890000.0,6,8,680.0,Valdetorres de Jarama,101374379,https://www.idealista.com/inmueble/101374379/
Valdetorres de Jarama,226000.0,1,3,149.0,Calle Sevilla,102200550,https://www.idealista.com/inmueble/102200550/
Valdetorres de Jarama,195000.0,3,3,115.0,"Calle del Virgen del Campo, 17",102424029,https://www.idealista.com/inmueble/102424029/
Valdetorres de Jarama,350000.0,3,4,230.0,Valdetorres de Jarama,102281927,https://www.idealista.com/inmueble/102281927/
Valdetorres de Jarama,289000.0,2,3,150.0,Valdetorres de Jarama,101008083,https://www.idealista.com/inmueble/101008083/
Valdetorres de Jarama,435000.0,3,4,330.0,Valdetorres de Jarama,103117457,https://www.idealista.com/inmueble/103117457/
Valdetorres de Jarama,139000.0,1,1,97.0,"C. del Sol, 5 Valdetorres de Jarama, Madrid",103288502,https://www.idealista.com/inmueble/103288502/
Valdetorres de Jarama,390000.0,3,5,500.0,Valdetorres de Jarama,99570065,https://www.idealista.com/inmueble/99570065/
Valdetorres de Jarama,195000.0,3,3,115.0,Valdetorres de Jarama,102416034,https://www.idealista.com/inmueble/102416034/
Valdetorres de Jarama,570000.0,3,3,161.0,Valdetorres de Jarama,103699312,https://www.idealista.com/inmueble/103699312/
Valdetorres de Jarama,119000.0,1,2,65.0,Valdetorres de Jarama,92536942,https://www.idealista.com/inmueble/92536942/
Valdetorres de Jarama,115000.0,2,0,96.0,Calle Madrid,102521315,https://www.idealista.com/inmueble/102521315/
Valdetorres de Jarama,280000.0,1,3,180.0,Valdetorres de Jarama,103222581,https://www.idealista.com/inmueble/103222581/
