municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Villa del Prado,199990.0,3,4,246.0,Rafael de la Fuente Santos,103169275,https://www.idealista.com/inmueble/103169275/
Villa del Prado,240000.0,4,3,165.0,Villa del Prado,101698326,https://www.idealista.com/inmueble/101698326/
Villa del Prado,230000.0,2,3,199.0,Villa del Prado,103287817,https://www.idealista.com/inmueble/103287817/
Villa del Prado,364000.0,4,5,452.0,PALOMA,100451960,https://www.idealista.com/inmueble/100451960/
Villa del Prado,289000.0,2,5,333.0,Avenida juan carlos,103873963,https://www.idealista.com/inmueble/103873963/
Villa del Prado,240000.0,2,4,230.0,urbanizacion encinar del alberche,103566708,https://www.idealista.com/inmueble/103566708/
Villa del Prado,205000.0,2,4,213.0,Villa del Prado,103491233,https://www.idealista.com/inmueble/103491233/
Villa del Prado,112000.0,2,5,334.0,Carretera ESCALONA M 540,100558758,https://www.idealista.com/inmueble/100558758/
Villa del Prado,180000.0,1,4,250.0,Avenida urbanizacion encinar del alberche,103196527,https://www.idealista.com/inmueble/103196527/
Villa del Prado,364000.0,4,5,452.0,Calle Paloma,100368309,https://www.idealista.com/inmueble/100368309/
Villa del Prado,388300.0,5,4,458.0,Villa del Prado,103810809,https://www.idealista.com/inmueble/103810809/
Villa del Prado,238000.0,3,5,241.0,Calle Infante,101589890,https://www.idealista.com/inmueble/101589890/
Villa del Prado,124000.0,2,5,159.0,Calle San Fernando,103179010,https://www.idealista.com/inmueble/103179010/
Villa del Prado,175000.0,2,4,129.0,Villa del Prado,103788947,https://www.idealista.com/inmueble/103788947/
Villa del Prado,257000.0,4,3,165.0,Calle Cruz Durán,103767179,https://www.idealista.com/inmueble/103767179/
Villa del Prado,299900.0,3,5,312.0,Villa del Prado,102308747,https://www.idealista.com/inmueble/102308747/
Villa del Prado,388300.0,2,6,244.0,"Calle Paloma, 2",103538834,https://www.idealista.com/inmueble/103538834/
Villa del Prado,99000.0,2,4,117.0,"pontevedra, 255",102299243,https://www.idealista.com/inmueble/102299243/
Villa del Prado,112000.0,2,5,95.0,Carretera Escalona M-540,98492005,https://www.idealista.com/inmueble/98492005/
Villa del Prado,99000.0,1,3,113.0,Calle Pontevedra,102262883,https://www.idealista.com/inmueble/102262883/
Villa del Prado,149500.0,2,3,117.0,Villa del Prado,102957635,https://www.idealista.com/inmueble/102957635/
Villa del Prado,200000.0,2,4,115.0,Hiedra no number,102576760,https://www.idealista.com/inmueble/102576760/
Villa del Prado,388300.0,4,5,452.0,"paloma, 2",102978611,https://www.idealista.com/inmueble/102978611/
Villa del Prado,108000.0,2,3,162.0,Calle Barcelona,103538535,https://www.idealista.com/inmueble/103538535/
Villa del Prado,208000.0,4,4,232.0,Villa del Prado,103818018,https://www.idealista.com/inmueble/103818018/
Villa del Prado,355000.0,4,6,482.0,Calle Cuenca,102644402,https://www.idealista.com/inmueble/102644402/
Villa del Prado,356000.0,4,5,673.0,Calle Coscoja,103378813,https://www.idealista.com/inmueble/103378813/
Villa del Prado,220000.0,3,4,300.0,Malaga no number,95185129,https://www.idealista.com/inmueble/95185129/
Villa del Prado,124000.0,2,5,159.0,Calle San Fernando,98676881,https://www.idealista.com/inmueble/98676881/
Villa del Prado,388300.0,5,4,458.0,"Calle Paloma, 2",100802138,https://www.idealista.com/inmueble/100802138/
Villa del Prado,135000.0,1,4,170.0,"Cuenca, 121",102520107,https://www.idealista.com/inmueble/102520107/
Villa del Prado,99000.0,2,3,113.0,"Calle Pontevedra, 255",102410071,https://www.idealista.com/inmueble/102410071/
Villa del Prado,195000.0,2,4,202.0,Villa del Prado,102308302,https://www.idealista.com/inmueble/102308302/
Villa del Prado,159900.0,2,3,90.0,Villa del Prado,101931165,https://www.idealista.com/inmueble/101931165/
Villa del Prado,165000.0,1,3,102.0,Villa del Prado,103445775,https://www.idealista.com/inmueble/103445775/
Villa del Prado,114000.0,1,3,170.0,Villa del Prado,101501173,https://www.idealista.com/inmueble/101501173/
Villa del Prado,99900.0,1,3,99.0,Villa del Prado,103818116,https://www.idealista.com/inmueble/103818116/
Villa del Prado,388300.0,2,3,458.0,"Calle Paloma, 2",100465347,https://www.idealista.com/inmueble/100465347/
Villa del Prado,200000.0,1,3,121.0,Villa del Prado,101403406,https://www.idealista.com/inmueble/101403406/
Villa del Prado,108000.0,1,3,162.0,Villa del Prado,99770695,https://www.idealista.com/inmueble/99770695/
Villa del Prado,179900.0,2,4,160.0,Villa del Prado,102206353,https://www.idealista.com/inmueble/102206353/
Villa del Prado,226000.0,3,3,181.0,Villa del Prado,101616958,https://www.idealista.com/inmueble/101616958/
Villa del Prado,305000.0,2,3,210.0,Yuca no number,98603235,https://www.idealista.com/inmueble/98603235/
Villa del Prado,143000.0,1,2,112.0,Villa del Prado,102894962,https://www.idealista.com/inmueble/102894962/
Villa del Prado,84000.0,2,3,89.0,CAMILO JOSE CELA,102875287,https://www.idealista.com/inmueble/102875287/
Villa del Prado,170000.0,1,3,110.0,Villa del Prado,103632597,https://www.idealista.com/inmueble/103632597/
Villa del Prado,119000.0,2,3,169.0,Villa del Prado,101616890,https://www.idealista.com/inmueble/101616890/
Villa del Prado,195000.0,3,4,202.0,Villa del Prado,103345055,https://www.idealista.com/inmueble/103345055/
Villa del Prado,214900.0,2,3,211.0,Villa del Prado,102737711,https://www.idealista.com/inmueble/102737711/
Villa del Prado,139900.0,2,3,118.0,Villa del Prado,103143534,https://www.idealista.com/inmueble/103143534/
