municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Villalbilla,489900.0,3,5,331.0,Villalbilla,102704020,https://www.idealista.com/inmueble/102704020/
Villalbilla,950000.0,5,6,900.0,Calle Almería,101875156,https://www.idealista.com/inmueble/101875156/
Villalbilla,359000.0,3,3,346.0,"Calle Pinar de Abantos, 52",103858744,https://www.idealista.com/obra-nueva/103858744/
Villalbilla,152000.0,1,2,117.0,"Gonzalo de Berceo, 14",103867301,https://www.idealista.com/inmueble/103867301/
Villalbilla,175000.0,1,2,74.0,Villalbilla,103874832,https://www.idealista.com/inmueble/103874832/
Villalbilla,471000.0,3,4,314.0,"Calle Almendro, 5",103305708,https://www.idealista.com/inmueble/103305708/
Villalbilla,265990.0,3,3,140.0,Calle Sierra de la Demanda no number,103876100,https://www.idealista.com/inmueble/103876100/
Villalbilla,289000.0,3,4,180.0,Villalbilla,103572592,https://www.idealista.com/inmueble/103572592/
Villalbilla,473000.0,2,4,329.0,Villalbilla,102007670,https://www.idealista.com/inmueble/102007670/
Villalbilla,379000.0,3,3,456.0,"Calle Pinar de Abantos, 52",103811255,https://www.idealista.com/obra-nueva/103811255/
Villalbilla,349000.0,3,3,325.0,"Calle Pinar de Abantos, 52",103811277,https://www.idealista.com/obra-nueva/103811277/
Villalbilla,250000.0,2,4,220.0,"Calle Alcalá, 51",103268969,https://www.idealista.com/inmueble/103268969/
Villalbilla,469900.0,4,4,160.0,Villalbilla,103464196,https://www.idealista.com/inmueble/103464196/
Villalbilla,469900.0,4,4,182.0,Villalbilla,103276579,https://www.idealista.com/inmueble/103276579/
Villalbilla,299500.0,3,3,187.0,"Calle Hoces de Riaza, 23",103490934,https://www.idealista.com/inmueble/103490934/
Villalbilla,257000.0,2,3,150.0,"Avenida de la Isabela Braganza, 18",103575688,https://www.idealista.com/inmueble/103575688/
Villalbilla,199900.0,2,3,140.0,Alcala,101943475,https://www.idealista.com/inmueble/101943475/
Villalbilla,330500.0,2,3,127.0,Calle Valle de Iruelas no number,103718092,https://www.idealista.com/obra-nueva/103718092/
Villalbilla,340000.0,3,3,219.0,Villalbilla,103433056,https://www.idealista.com/inmueble/103433056/
Villalbilla,249900.0,3,4,134.0,Calle Valle de Iruelas no number,103718130,https://www.idealista.com/obra-nueva/103718130/
Villalbilla,498000.0,3,5,394.0,Villalbilla,102043773,https://www.idealista.com/inmueble/102043773/
Villalbilla,276000.0,3,4,131.0,Calle Valle de Iruelas no number,103718131,https://www.idealista.com/obra-nueva/103718131/
Villalbilla,278000.0,3,4,134.0,Calle Valle de Iruelas no number,103718132,https://www.idealista.com/obra-nueva/103718132/
Villalbilla,314000.0,3,3,280.0,"Calle Pinar de Abantos, 52",103312319,https://www.idealista.com/obra-nueva/103312319/
Villalbilla,320000.0,3,4,158.0,Calle Saja-Besaya,103468779,https://www.idealista.com/inmueble/103468779/
Villalbilla,234900.0,2,2,100.0,Calle Claudio Rodriguez,103822724,https://www.idealista.com/inmueble/103822724/
Villalbilla,120000.0,1,2,94.0,Villalbilla,102917416,https://www.idealista.com/inmueble/102917416/
Villalbilla,175990.0,1,2,67.0,Villalbilla,103384900,https://www.idealista.com/inmueble/103384900/
Villalbilla,435000.0,3,4,312.0,Villalbilla,101816948,https://www.idealista.com/inmueble/101816948/
Villalbilla,230000.0,1,4,210.0,Villalbilla,103237207,https://www.idealista.com/inmueble/103237207/
Villalbilla,315000.0,3,3,129.0,Calle Valle de Iruelas no number,103104670,https://www.idealista.com/obra-nueva/103104670/
Villalbilla,274500.0,3,4,133.0,Calle Valle de Iruelas no number,103104580,https://www.idealista.com/obra-nueva/103104580/
Villalbilla,389500.0,3,4,237.0,Juan Valera,103548534,https://www.idealista.com/inmueble/103548534/
Villalbilla,299500.0,3,3,142.0,Mariano José De Larra,103819797,https://www.idealista.com/inmueble/103819797/
Villalbilla,241000.0,2,3,128.0,"Avenida Isabela de Braganza, 2",101714445,https://www.idealista.com/obra-nueva/101714445/
Villalbilla,246000.0,2,3,114.0,"Avenida Isabela de Braganza, 2",101714476,https://www.idealista.com/obra-nueva/101714476/
Villalbilla,287000.0,2,3,128.0,"Avenida Isabela de Braganza, 2",101714371,https://www.idealista.com/obra-nueva/101714371/
Villalbilla,236000.0,2,3,114.0,"Avenida Isabela de Braganza, 2",101714454,https://www.idealista.com/obra-nueva/101714454/
Villalbilla,279000.0,2,3,114.0,"Avenida Isabela de Braganza, 2",101714431,https://www.idealista.com/obra-nueva/101714431/
Villalbilla,282000.0,2,3,114.0,"Avenida Isabela de Braganza, 2",101714375,https://www.idealista.com/obra-nueva/101714375/
Villalbilla,231000.0,2,3,114.0,"Avenida Isabela de Braganza, 2",101714452,https://www.idealista.com/obra-nueva/101714452/
Villalbilla,251000.0,2,2,90.0,"Avenida Isabela de Braganza, 2",101714455,https://www.idealista.com/obra-nueva/101714455/
Villalbilla,297000.0,2,3,101.0,"Avenida Isabela de Braganza, 2",101714463,https://www.idealista.com/obra-nueva/101714463/
Villalbilla,450750.0,3,4,172.0,Avenida de los Antiguos Baños de la Isabela no number,96772613,https://www.idealista.com/obra-nueva/96772613/
Villalbilla,454250.0,3,4,172.0,Avenida de los Antiguos Baños de la Isabela no number,102733387,https://www.idealista.com/obra-nueva/102733387/
Villalbilla,490050.0,3,4,172.0,Avenida de los Antiguos Baños de la Isabela no number,98445047,https://www.idealista.com/obra-nueva/98445047/
Villalbilla,452250.0,3,3,172.0,Avenida de los Antiguos Baños de la Isabela no number,102733386,https://www.idealista.com/obra-nueva/102733386/
Villalbilla,439900.0,3,4,148.0,Calle Jorge Guilén,103833530,https://www.idealista.com/inmueble/103833530/
Villalbilla,266900.0,2,2,92.0,"Calle Alejandro Casona, 1",97962472,https://www.idealista.com/obra-nueva/97962472/
Villalbilla,269400.0,2,2,92.0,"Calle Alejandro Casona, 1",98990063,https://www.idealista.com/obra-nueva/98990063/
