municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Villarejo de Salvanés,375000.0,3,4,398.0,Calle Rio Jarama,102971326,https://www.idealista.com/inmueble/102971326/
Villarejo de Salvanés,400000.0,6,9,402.0,Villarejo de Salvanés,103855385,https://www.idealista.com/inmueble/103855385/
Villarejo de Salvanés,154000.0,2,3,337.0,Villarejo de Salvanés,100317027,https://www.idealista.com/inmueble/100317027/
Villarejo de Salvanés,200000.0,3,5,234.0,Callejón del marques,103862057,https://www.idealista.com/inmueble/103862057/
Villarejo de Salvanés,339000.0,3,5,300.0,Calle santa maria,103326660,https://www.idealista.com/inmueble/103326660/
Villarejo de Salvanés,320000.0,3,5,266.0,Calle garcia lorca,102885927,https://www.idealista.com/inmueble/102885927/
Villarejo de Salvanés,122000.0,1,2,84.0,Don Quijote de la Mancha,102806781,https://www.idealista.com/inmueble/102806781/
Villarejo de Salvanés,170000.0,3,4,177.0,"paloma, 8",103743414,https://www.idealista.com/inmueble/103743414/
Villarejo de Salvanés,199000.0,1,5,321.0,espia,101430651,https://www.idealista.com/inmueble/101430651/
Villarejo de Salvanés,170000.0,2,4,177.0,"Calle la Paloma, 8",103839951,https://www.idealista.com/inmueble/103839951/
Villarejo de Salvanés,84000.0,1,3,89.0,"Calle del Beato Nicanor, 15",96979238,https://www.idealista.com/inmueble/96979238/
Villarejo de Salvanés,75000.0,2,5,374.0,"Calle Mayor, 27 e",100320889,https://www.idealista.com/inmueble/100320889/
Villarejo de Salvanés,154000.0,2,3,338.0,Calle Rio Duero,99966418,https://www.idealista.com/inmueble/99966418/
Villarejo de Salvanés,132000.0,1,4,122.0,Calle de Calderón de la Barca,102528259,https://www.idealista.com/inmueble/102528259/
Villarejo de Salvanés,122900.0,1,3,211.0,Villarejo de Salvanés,99803942,https://www.idealista.com/inmueble/99803942/
Villarejo de Salvanés,246000.0,3,4,315.0,"DE LOS CARRASCALES, 4",102457416,https://www.idealista.com/inmueble/102457416/
Villarejo de Salvanés,170000.0,2,4,127.0,Calle la Paloma,103746261,https://www.idealista.com/inmueble/103746261/
Villarejo de Salvanés,122900.0,2,3,230.0,Calle rio guadalquivir,103538533,https://www.idealista.com/inmueble/103538533/
Villarejo de Salvanés,345000.0,3,3,200.0,Camino Vial,103704492,https://www.idealista.com/inmueble/103704492/
Villarejo de Salvanés,120000.0,1,6,141.0,Villarejo de Salvanés,102798337,https://www.idealista.com/inmueble/102798337/
Villarejo de Salvanés,170000.0,2,4,127.0,"paloma, 8",103770109,https://www.idealista.com/inmueble/103770109/
Villarejo de Salvanés,217000.0,2,8,374.0,"Calle de la Victoria, 5",103212721,https://www.idealista.com/inmueble/103212721/
Villarejo de Salvanés,120000.0,1,4,202.0,Villarejo de Salvanés,100981270,https://www.idealista.com/inmueble/100981270/
Villarejo de Salvanés,255000.0,3,3,200.0,Calle de la golondrina,103488558,https://www.idealista.com/inmueble/103488558/
Villarejo de Salvanés,120000.0,1,4,140.0,"FUENTE SANTA, 3",102443657,https://www.idealista.com/inmueble/102443657/
Villarejo de Salvanés,170000.0,2,3,127.0,"Calle la Golondrina, 5",103768116,https://www.idealista.com/inmueble/103768116/
Villarejo de Salvanés,134000.0,2,4,203.0,Villarejo de Salvanés,102882088,https://www.idealista.com/inmueble/102882088/
Villarejo de Salvanés,58400.0,2,4,168.0,"Calle Bailén, 4",100761699,https://www.idealista.com/inmueble/100761699/
Villarejo de Salvanés,119900.0,2,2,90.0,Villarejo de Salvanés,102854707,https://www.idealista.com/inmueble/102854707/
Villarejo de Salvanés,175000.0,2,3,164.0,"Calle Olivos, 11",102786296,https://www.idealista.com/inmueble/102786296/
Villarejo de Salvanés,75000.0,3,4,374.0,"mayor, 25",82488312,https://www.idealista.com/inmueble/82488312/
Villarejo de Salvanés,75000.0,2,3,342.0,"Calle Mayor, 25",98171802,https://www.idealista.com/inmueble/98171802/
Villarejo de Salvanés,94700.0,1,1,71.0,Villarejo de Salvanés,103066809,https://www.idealista.com/inmueble/103066809/
Villarejo de Salvanés,146000.0,2,3,92.0,"ENCOMIENDA, 23",103226437,https://www.idealista.com/inmueble/103226437/
Villarejo de Salvanés,149000.0,1,3,146.0,Villarejo de Salvanés,98561687,https://www.idealista.com/inmueble/98561687/
Villarejo de Salvanés,175000.0,2,3,164.0,Villarejo de Salvanés,103451285,https://www.idealista.com/inmueble/103451285/
Villarejo de Salvanés,58400.0,2,4,168.0,Calle Bailén,103276112,https://www.idealista.com/inmueble/103276112/
Villarejo de Salvanés,130000.0,1,3,90.0,lirios,102705994,https://www.idealista.com/inmueble/102705994/
Villarejo de Salvanés,154000.0,3,4,337.0,Villarejo de Salvanés,100158569,https://www.idealista.com/inmueble/100158569/
Villarejo de Salvanés,75000.0,1,2,335.0,Villarejo de Salvanés,103366480,https://www.idealista.com/inmueble/103366480/
Villarejo de Salvanés,40000.0,1,1,105.0,Villarejo de Salvanés,100957010,https://www.idealista.com/inmueble/100957010/
Villarejo de Salvanés,120000.0,1,3,98.0,"Calle MAYOR, 67",101961910,https://www.idealista.com/inmueble/101961910/
Villarejo de Salvanés,115500.0,2,2,94.0,Villarejo de Salvanés,102494352,https://www.idealista.com/inmueble/102494352/
