municipio,precio,banos,habitaciones,tamano_m2,direccion,propertyCode,url
Villaviciosa de Odón,469999.0,3,3,174.0,zarzal,103727559,https://www.idealista.com/inmueble/103727559/
Villaviciosa de Odón,465900.0,3,4,237.0,Cueva de la Mora,102941558,https://www.idealista.com/inmueble/102941558/
Villaviciosa de Odón,209900.0,1,3,70.0,Carlos II,102643752,https://www.idealista.com/inmueble/102643752/
Villaviciosa de Odón,339900.0,2,2,90.0,TERA,103419627,https://www.idealista.com/inmueble/103419627/
Villaviciosa de Odón,985000.0,5,5,650.0,Avenida ventura rodriguez,102680602,https://www.idealista.com/inmueble/102680602/
Villaviciosa de Odón,745000.0,5,5,358.0,Trilo,96728970,https://www.idealista.com/inmueble/96728970/
Villaviciosa de Odón,664900.0,4,4,285.0,gregorio medel,103202109,https://www.idealista.com/inmueble/103202109/
Villaviciosa de Odón,559900.0,3,4,230.0,Avenida de Madrid,101669129,https://www.idealista.com/inmueble/101669129/
Villaviciosa de Odón,998000.0,6,6,491.0,Calle guadalhorce,102334411,https://www.idealista.com/inmueble/102334411/
Villaviciosa de Odón,900000.0,4,5,302.0,Calle CERBOL,102947300,https://www.idealista.com/inmueble/102947300/
Villaviciosa de Odón,820000.0,4,5,363.0,Calle Quipar,103184216,https://www.idealista.com/inmueble/103184216/
Villaviciosa de Odón,495000.0,3,3,210.0,Calle Severo Ochoa,103198171,https://www.idealista.com/inmueble/103198171/
Villaviciosa de Odón,875000.0,3,3,301.0,Calle Arroyo,103512366,https://www.idealista.com/inmueble/103512366/
Villaviciosa de Odón,1195000.0,9,7,735.0,Avenida zamora,85352524,https://www.idealista.com/inmueble/85352524/
Villaviciosa de Odón,1200000.0,6,8,463.0,El Bosque,102629911,https://www.idealista.com/inmueble/102629911/
Villaviciosa de Odón,1100000.0,5,4,254.0,El Bosque,103704839,https://www.idealista.com/inmueble/103704839/
Villaviciosa de Odón,950000.0,6,5,660.0,El Bosque,103706090,https://www.idealista.com/inmueble/103706090/
Villaviciosa de Odón,1290000.0,4,5,510.0,El Bosque,101466794,https://www.idealista.com/inmueble/101466794/
Villaviciosa de Odón,1050000.0,7,6,300.0,Avenida de las viñas,100404516,https://www.idealista.com/inmueble/100404516/
Villaviciosa de Odón,798000.0,5,6,456.0,Castillo - Campodón,100359121,https://www.idealista.com/inmueble/100359121/
Villaviciosa de Odón,510000.0,3,4,209.0,aranjuez,102552073,https://www.idealista.com/inmueble/102552073/
Villaviciosa de Odón,274900.0,1,2,70.0,Cortijo,102812183,https://www.idealista.com/inmueble/102812183/
Villaviciosa de Odón,399900.0,2,3,152.0,principe de asturias,101519096,https://www.idealista.com/inmueble/101519096/
Villaviciosa de Odón,740000.0,5,7,450.0,Calle retama,102170106,https://www.idealista.com/inmueble/102170106/
Villaviciosa de Odón,750000.0,3,5,222.0,Guadalajara,100022456,https://www.idealista.com/inmueble/100022456/
Villaviciosa de Odón,595000.0,2,6,212.0,jucar,101861158,https://www.idealista.com/inmueble/101861158/
Villaviciosa de Odón,750000.0,4,5,285.0,Calle segura,99453505,https://www.idealista.com/inmueble/99453505/
Villaviciosa de Odón,514900.0,3,4,217.0,"JOAQUIN SOROLLA, 5",103496631,https://www.idealista.com/inmueble/103496631/
Villaviciosa de Odón,439900.0,4,4,205.0,"Federico la Torre, 7",102474539,https://www.idealista.com/inmueble/102474539/
Villaviciosa de Odón,524900.0,2,5,335.0,bosque,103705201,https://www.idealista.com/inmueble/103705201/
Villaviciosa de Odón,199900.0,1,2,65.0,"CUEVA DE LA MORA, 6",103496352,https://www.idealista.com/inmueble/103496352/
Villaviciosa de Odón,819900.0,6,9,391.0,Calle Navarra,101225363,https://www.idealista.com/inmueble/101225363/
Villaviciosa de Odón,599900.0,3,5,294.0,Vicente Alexandre,101668692,https://www.idealista.com/inmueble/101668692/
Villaviciosa de Odón,790000.0,4,5,432.0,Avenida Félix Rodríguez de la fuente,103085460,https://www.idealista.com/inmueble/103085460/
Villaviciosa de Odón,750000.0,4,5,256.0,luxemburgo,103543637,https://www.idealista.com/inmueble/103543637/
Villaviciosa de Odón,555000.0,3,3,213.0,Avenida Castilla,103308226,https://www.idealista.com/inmueble/103308226/
Villaviciosa de Odón,355000.0,2,2,92.0,san babiles,101368656,https://www.idealista.com/inmueble/101368656/
Villaviciosa de Odón,1250000.0,5,5,444.0,Calle Vizcaya,103500624,https://www.idealista.com/inmueble/103500624/
Villaviciosa de Odón,760000.0,3,7,365.0,Calle Alagón,101082786,https://www.idealista.com/inmueble/101082786/
