ad_activationdate,ad_typology,newdevelopment_averageprice,address_certainty,ad_latitude,ad_subtypology,ad_roomnumber,property_cadastralreference,censustract_id,ad_addressvisible,id,cadastral_certainty,ad_operation,ad_price,ad_builttype,ad_postalcode,ad_streettype,ad_floornumber,ad_hasparkingspace,estate_cadastralroot,ad_town,ad_hasboxroom,ad_longitude,newdevelopment_commercialname,adstats_contactsbyemail,adstats_savedasfavorite,ad_province,ad_state,ad_flatlocation,adstats_sendtofriend,layerlocation_area,distance,ad_urlactive,newdevelopment_fromprice,ad_id,adstats_daysonmarket,adstats_visits,ad_area,censustract_town_id,layerlocation_population,ad_deactivationdate,property_builtdate,ad_propertytype,ad_bathnumber,ad_haslift,property_use,ad_streetname,property_area,ad_modificationdate,ad_hasswimmingpool,ad_urlinactive,ad_unitprice,ad_streetnumber,ad_layerlocation
18/02/2020,2,,0,40.331742,4,4,,2801101001,2,23648605,0,1,158000,3,28580,Calle,,True,,Ambite,False,-3.1832374,,23,147,Madrid,3,,4,0.25422996518002,1482,https://www.idealista.com/88720810,,88720810,132,3091,221,28011,627,29/06/2020,,1,2,,,del Olivo,,23/11/2023,False,https://www.idealista.com/data/app/cid/L0x4QW5MM200RnBZbGEzV1E1OGxxZz09,714.93,,0-EU-ES-28-05-008-011
26/08/2023,2,,100,40.3283739,4,5,4743905VK8644S0001ER,2801101001,1,36452909,75,1,165000,3,28580,Desconocida,,True,4743905VK8644S,Ambite,True,-3.1823592,,11,64,Madrid,4,,0,0.25422996518002,1804,https://www.idealista.com/102379007,,102379007,105,1705,160,28011,627,10/12/2023,1976,1,2,,V,ESTACION,200,10/12/2023,False,https://www.idealista.com/data/app/cid/OEhjUE54dy9pdWpSaThFdGQrZW80UT09,1031.25,24,0-EU-ES-28-05-008-011
03/04/2023,2,,0,40.3244974,4,3,,2801101001,3,35216846,0,1,200000,3,28580,,,,,Ambite,,-3.1747025,,4,29,Madrid,3,,0,0.25422996518002,1901,https://www.idealista.com/101008597,,101008597,196,2044,230,28011,627,17/10/2023,,1,2,,,,,17/10/2023,,https://www.idealista.com/data/app/cid/OENIS0Y0QTZQcVI0RlZwNDFLaVRZUT09,869.57,,0-EU-ES-28-05-008-011
16/11/2023,2,,100,40.326542,0,3,,2801101001,2,37203580,75,1,75615,3,28580,Calle,,False,,Ambite,False,-3.1740257,,2,13,Madrid,4,,0,0.25422996518002,1941,https://www.idealista.com/103198789,,103198789,12,722,109,28011,627,28/11/2023,2007,1,2,,V,del Castaño,109,28/11/2023,False,https://www.idealista.com/data/app/cid/YngxTW9MRUFoSEJBRFZBMERBSHExUT09,693.72,,0-EU-ES-28-05-008-011
30/06/2023,2,,0,40.3251212,4,3,,2801101001,1,35998251,0,1,149000,3,28580,Calle,,False,,Ambite,False,-3.1738672,,14,168,Madrid,4,,1,0.25422996518002,1944,https://www.idealista.com/101883354,,101883354,96,2362,110,28011,627,05/10/2023,,1,2,,,del Ciruelo,,05/10/2023,True,https://www.idealista.com/data/app/cid/ejd4T2FVcjNQdU40Njc2NHNxV2cwUT09,1354.55,25,0-EU-ES-28-05-008-011
28/04/2023,2,,100,40.3293724,3,4,,2801101001,2,35440085,75,1,105000,3,28580,Calle,,False,,Ambite,False,-3.182448,,63,384,Madrid,4,,1,0.25422996518002,1959,https://www.idealista.com/101259427,,101259427,142,6511,124,28011,627,18/09/2023,1975,1,1,,V,San Isidro,181,18/09/2023,True,https://www.idealista.com/data/app/cid/d00yV0FkUFdzZEtCeUhubldWWXdGZz09,846.77,,0-EU-ES-28-05-008-011
15/09/2023,2,,97,40.3267524,4,2,,2801101001,2,36628282,75,1,79000,3,28580,Desconocida,,True,,Ambite,True,-3.1870123,,18,116,Madrid,4,,0,0.25422996518002,2081,https://www.idealista.com/102569961,,102569961,7,1129,110,28011,627,22/09/2023,1963,1,1,,V,perpetuo socorro,91,22/09/2023,,https://www.idealista.com/data/app/cid/aXArSmRqN1hTbnVKWVpuNG56Y3o0QT09,718.18,,0-EU-ES-28-05-008-011
14/11/2022,2,,0,40.3262327,4,2,,2801101001,1,33906866,0,1,132000,3,28580,Calle,,False,,Ambite,False,-3.1850926,,14,78,Madrid,3,,0,0.25422996518002,2127,https://www.idealista.com/99536124,,99536124,444,3772,100,28011,627,,,1,1,,,Maria del Carmen,,10/11/2023,False,https://www.idealista.com/data/app/cid/WEptNlJqTGJ1Mk5FOUtlbEVhenZoUT09,1320,1000,0-EU-ES-28-05-008-011
29/06/2023,2,,100,40.3218476,4,3,,2801101001,3,36005952,75,1,150000,3,28580,,,False,,Ambite,False,-3.1767109,,17,116,Madrid,4,,0,0.25422996518002,2391,https://www.idealista.com/101891424,,101891424,192,2852,100,28011,627,08/01/2024,2006,1,2,,V,,99,08/01/2024,False,https://www.idealista.com/data/app/cid/K0NRN1BMYjIvY0ZHdkJCV3BUK1BiQT09,1500,,0-EU-ES-28-05-008-011
23/08/2023,2,,0,40.3216329,4,3,,2801101001,3,36424962,0,1,150000,3,28580,,,,,Ambite,False,-3.1778354,,0,0,Madrid,4,,0,0.25422996518002,2506,https://www.idealista.com/102349207,,102349207,42,1,115,28011,627,05/10/2023,,1,2,,,,,05/10/2023,False,https://www.idealista.com/data/app/cid/bVhjbFBGcG9nTFdkTmlYTmZwZnRtZz09,1304.35,,0-EU-ES-28-05-008-011
