ad_activationdate,ad_typology,newdevelopment_averageprice,address_certainty,ad_latitude,ad_subtypology,ad_roomnumber,property_cadastralreference,censustract_id,ad_addressvisible,id,cadastral_certainty,ad_operation,ad_price,ad_builttype,ad_postalcode,ad_streettype,ad_floornumber,ad_hasparkingspace,estate_cadastralroot,ad_town,ad_hasboxroom,ad_longitude,newdevelopment_commercialname,adstats_contactsbyemail,adstats_savedasfavorite,ad_province,ad_state,ad_flatlocation,adstats_sendtofriend,layerlocation_area,distance,ad_urlactive,newdevelopment_fromprice,ad_id,adstats_daysonmarket,adstats_visits,ad_area,censustract_town_id,layerlocation_population,ad_deactivationdate,property_builtdate,ad_propertytype,ad_bathnumber,ad_haslift,property_use,ad_streetname,property_area,ad_modificationdate,ad_hasswimmingpool,ad_urlinactive,ad_unitprice,ad_streetnumber,ad_layerlocation
04/01/2024,1,,0,40.1709362,,3,,2803601002,1,37556458,0,1,180000,3,28977,Desconocida,1,True,,Casarrubuelos,,-3.8318182,,1,17,Madrid,3,1,0,0.051402146769999,107,https://www.idealista.com/103583883,,103583883,28,456,110,28036,3388,,,1,2,False,,LEON,,04/01/2024,,https://www.idealista.com/data/app/cid/Y2FaNWhHUXBMUGZUWWV5U3c3TmV6UT09,1636.36,7,0-EU-ES-28-04-012-036
19/07/2023,1,,96,40.1728037,,4,,2803601002,3,36183374,96,1,199900,3,28977,,1,False,,Casarrubuelos,False,-3.8306007,,5,24,Madrid,4,1,0,0.051402146769999,164,https://www.idealista.com/102085878,,102085878,100,496,143,28036,3388,27/10/2023,2009,1,2,False,,,,27/10/2023,False,https://www.idealista.com/data/app/cid/dWMxUzBDL25IZHNhbXpRUm5QbGw5UT09,1397.9,,0-EU-ES-28-04-012-036
15/01/2023,1,,96,40.1705496,,4,,2803601002,3,34458226,96,1,199900,3,28977,,,True,,Casarrubuelos,False,-3.8298007,,15,86,Madrid,4,1,1,0.051402146769999,164,https://www.idealista.com/100149500,,100149500,290,2373,153,28036,3388,02/11/2023,2009,1,2,False,,,,02/11/2023,False,https://www.idealista.com/data/app/cid/a0JuNVBBOU9FZXg2cW9XbmNza3JmQT09,1306.54,,0-EU-ES-28-04-012-036
20/11/2023,1,,70,40.1715314,,3,,2803601002,2,37235477,75,1,197000,3,28977,Desconocida,1,True,,Casarrubuelos,True,-3.8319861,,1,55,Madrid,3,1,0,0.051402146769999,180,https://www.idealista.com/103234443,,103234443,73,1334,143,28036,3388,,2009,1,2,False,V,Plazuela del Concejo,143,21/12/2023,False,https://www.idealista.com/data/app/cid/NHN2U0Q5SWtwNm05NFV0cGNFeGw4dz09,1377.62,,0-EU-ES-28-04-012-036
23/12/2022,1,,0,40.1694721,,3,,2803601002,2,34316760,0,1,189000,3,28977,Desconocida,1,True,,Casarrubuelos,True,-3.8299819,,18,136,Madrid,4,1,1,0.051402146769999,279,https://www.idealista.com/99987702,,99987702,238,3086,143,28036,3388,18/08/2023,,1,2,False,,goya,,18/08/2023,,https://www.idealista.com/data/app/cid/bzNHT2NUOWNEL2dWNXloRStBOXRWdz09,1321.68,,0-EU-ES-28-04-012-036
20/09/2023,1,,94,40.1701611,,4,,2803601002,2,36663932,75,1,199500,3,28977,Calle,bj,True,,Casarrubuelos,True,-3.8303931,,10,47,Madrid,3,1,1,0.051402146769999,286,https://www.idealista.com/102608750,,102608750,134,1475,117,28036,3388,,2001,1,2,False,V,Goya,117,30/01/2024,,https://www.idealista.com/data/app/cid/LzlSMHJoQlM1ZTVUbTh4bVVkd1Mydz09,1705.13,,0-EU-ES-28-04-012-036
21/03/2023,1,,94,40.171365,,4,9472302VK2497S0050FR,2803601002,1,34970410,75,1,212000,3,28977,Calle,bj,True,9472302VK2497S,Casarrubuelos,True,-3.8297119,,17,42,Madrid,4,1,1,0.051402146769999,286,https://www.idealista.com/100734865,,100734865,182,1091,117,28036,3388,20/09/2023,2001,1,2,False,V,Goya,117,20/09/2023,True,https://www.idealista.com/data/app/cid/czFEZmY1SDMzcXpZZTdoWTBQNjcrZz09,1811.97,7,0-EU-ES-28-04-012-036
19/12/2023,1,,0,40.1729074,,3,,2803601002,2,37469285,0,1,179000,3,28977,Desconocida,1,,,Casarrubuelos,,-3.8294876,,1,7,Madrid,3,1,0,0.051402146769999,297,https://www.idealista.com/103489567,,103489567,44,558,110,28036,3388,,,1,2,False,,goya,,02/02/2024,True,https://www.idealista.com/data/app/cid/WHkxczJnNUxtS2ZkdDh2d244LzJXdz09,1627.27,,0-EU-ES-28-04-012-036
31/01/2024,1,,,40.170422,,3,,2803601001,3,103851070,,1,180000,3,28977,,1,True,,Casarrubuelos,False,-3.8283778,,1,2,Madrid,3,,0,0.051402146769999,567,https://www.idealista.com/103851070,,103851070,2,199,107,28036,3388,,,1,2,False,,,,02/02/2024,False,https://www.idealista.com/data/app/cid/eTRwYUl3QmsxcWhIa0pqQ29MMFRqZz09,1682.24,,0-EU-ES-28-04-012-036
06/03/2023,2,,0,40.172882,4,4,,2803601002,3,34949537,0,1,234260,2,28977,,,True,,Casarrubuelos,True,-3.8341328,,14,63,Madrid,4,,0,0.051402146769999,4,https://www.idealista.com/100710738,,100710738,174,1781,201,28036,3388,28/08/2023,,1,3,,,,,28/08/2023,,https://www.idealista.com/data/app/cid/bUdObC9CM0Vja0hLQjBwa285WXNTUT09,1165.47,,0-EU-ES-28-04-012-036
