ad_activationdate,ad_typology,newdevelopment_averageprice,address_certainty,ad_latitude,ad_subtypology,ad_roomnumber,property_cadastralreference,censustract_id,ad_addressvisible,id,cadastral_certainty,ad_operation,ad_price,ad_builttype,ad_postalcode,ad_streettype,ad_floornumber,ad_hasparkingspace,estate_cadastralroot,ad_town,ad_hasboxroom,ad_longitude,newdevelopment_commercialname,adstats_contactsbyemail,adstats_savedasfavorite,ad_province,ad_state,ad_flatlocation,adstats_sendtofriend,layerlocation_area,distance,ad_urlactive,newdevelopment_fromprice,ad_id,adstats_daysonmarket,adstats_visits,ad_area,censustract_town_id,layerlocation_population,ad_deactivationdate,property_builtdate,ad_propertytype,ad_bathnumber,ad_haslift,property_use,ad_streetname,property_area,ad_modificationdate,ad_hasswimmingpool,ad_urlinactive,ad_unitprice,ad_streetnumber,ad_layerlocation
05/11/2018,1,,100,40.2643302,,3,,2803701001,1,21518576,100,1,75000,3,28650,Calle,2,False,5484913UK7558S,Cenicientos,True,-4.4661289,,12,35,Madrid,4,1,0,0.66393141320376,107,https://www.idealista.com/82965870,,82965870,1847,4208,100,28037,2072,26/11/2023,1978,1,1,False,,del Buen Administrador,,26/11/2023,False,https://www.idealista.com/data/app/cid/RERPZDU3T3I5VGQrRElSZlpkRU92UT09,750,3,0-EU-ES-28-03-010-037
23/05/2023,1,,100,40.2629242,,3,,2803701002,1,35663765,100,1,57000,3,28650,Calle,2,,5581219UK7558S,Cenicientos,True,-4.465216,,12,131,Madrid,4,1,1,0.66393141320376,188,https://www.idealista.com/101515413,,101515413,244,3152,111,28037,2072,23/01/2024,2007,1,1,False,,Charcuelo,,23/01/2024,,https://www.idealista.com/data/app/cid/NlRSNHpkbitteXRuVEVUL2htV1Jrdz09,513.51,18,0-EU-ES-28-03-010-037
02/11/2022,1,,100,40.2648599,,3,,2803701002,2,33783471,100,1,57000,3,28650,Calle,2,,,Cenicientos,True,-4.4655407,,28,149,Madrid,3,1,1,0.66393141320376,188,https://www.idealista.com/99398796,,99398796,456,3408,111,28037,2072,,2007,1,1,False,,Charcuelo,,23/05/2023,,https://www.idealista.com/data/app/cid/ZWx5Y3BoUS9nb1FCZkNLcC9neGszZz09,513.51,,0-EU-ES-28-03-010-037
27/09/2021,2,,0,40.2654633,2,4,,2803701001,1,30017064,0,1,56000,2,28650,Calle,,False,,Cenicientos,False,-4.4653813,,36,271,Madrid,3,,1,0.66393141320376,103,https://www.idealista.com/95405366,,95405366,857,10993,120,28037,2072,,,1,2,,,del Tomillar,,03/05/2023,False,https://www.idealista.com/data/app/cid/Tjlnd2c0U1pnaDJnd201Z2ZYa09tQT09,466.67,0,0-EU-ES-28-03-010-037
28/10/2021,2,,97,40.2656724,2,2,5584404UK7558S0001PM,2803701001,1,30331784,75,1,90000,3,28650,Calle,,False,5584404UK7558S,Cenicientos,True,-4.4651043,,0,109,Madrid,3,,0,0.66393141320376,120,https://www.idealista.com/95733909,,95733909,826,5948,162,28037,2072,,2000,1,1,,V,de las Piedras Labradas,187,28/01/2024,False,https://www.idealista.com/data/app/cid/RjE1b1Jlc0xyRmN4NEl0ZnBNcm5BQT09,555.56,9,0-EU-ES-28-03-010-037
22/07/2023,2,,97,40.2656535,2,4,5584402UK7558S0001GM,2803701001,1,36211882,75,1,54000,3,28650,Calle,,False,5584402UK7558S,Cenicientos,True,-4.4652935,,24,107,Madrid,3,,0,0.66393141320376,121,https://www.idealista.com/102116677,,102116677,194,3814,108,28037,2072,,1982,1,2,,V,de las Piedras Labradas,108,01/02/2024,False,https://www.idealista.com/data/app/cid/bWd1VUxUdFJKT01nUFFhU3lZdW5tdz09,500,5,0-EU-ES-28-03-010-037
19/05/2023,2,,100,40.2622218,4,3,,2803701002,3,35633027,75,1,138000,3,28650,,,False,,Cenicientos,False,-4.4658661,,3,17,Madrid,3,,0,0.66393141320376,210,https://www.idealista.com/101481008,,101481008,258,1910,126,28037,2072,,1920,1,2,,V,,126,19/01/2024,False,https://www.idealista.com/data/app/cid/UmRxWC9VNkx6NDVHWnA5RHlPVDFvZz09,1095.24,,0-EU-ES-28-03-010-037
15/08/2023,2,,0,40.2624728,4,7,,2803701002,1,36380998,0,1,85000,3,28650,Desconocida,,False,,Cenicientos,False,-4.4658148,,8,36,Madrid,3,,0,0.66393141320376,248,https://www.idealista.com/102301560,,102301560,170,2131,180,28037,2072,,,1,2,,,La Fuente,,31/01/2024,False,https://www.idealista.com/data/app/cid/U1c4OEs4V1hKYTYzeVJGMVB3TVlFZz09,472.22,32,0-EU-ES-28-03-010-037
05/10/2023,2,,100,40.2636324,4,8,,2803701002,2,36811901,75,1,250000,3,28650,Travesía,,True,,Cenicientos,True,-4.4629,,1,13,Madrid,4,,1,0.66393141320376,279,https://www.idealista.com/102771317,,102771317,16,277,228,28037,2072,21/10/2023,1980,1,4,,V,DE MADRID,180,21/10/2023,True,https://www.idealista.com/data/app/cid/Smd5RFQwKzJncHYwTTVTSE9xMXRDdz09,1096.49,,0-EU-ES-28-03-010-037
21/10/2023,2,,100,40.266131,4,8,,2803701002,2,36958200,75,1,250000,3,28650,Travesía,,True,,Cenicientos,True,-4.4601843,,0,14,Madrid,4,,0,0.66393141320376,280,https://www.idealista.com/102930878,,102930878,16,330,228,28037,2072,06/11/2023,1985,1,4,,V,de madrid,99,06/11/2023,True,https://www.idealista.com/data/app/cid/b2gxYlViQ1h2YnVhWTBDNHBIQ08yUT09,1096.49,,0-EU-ES-28-03-010-037
