ad_activationdate,ad_typology,newdevelopment_averageprice,address_certainty,ad_latitude,ad_subtypology,ad_roomnumber,property_cadastralreference,censustract_id,ad_addressvisible,id,cadastral_certainty,ad_operation,ad_price,ad_builttype,ad_postalcode,ad_streettype,ad_floornumber,ad_hasparkingspace,estate_cadastralroot,ad_town,ad_hasboxroom,ad_longitude,newdevelopment_commercialname,adstats_contactsbyemail,adstats_savedasfavorite,ad_province,ad_state,ad_flatlocation,adstats_sendtofriend,layerlocation_area,distance,ad_urlactive,newdevelopment_fromprice,ad_id,adstats_daysonmarket,adstats_visits,ad_area,censustract_town_id,layerlocation_population,ad_deactivationdate,property_builtdate,ad_propertytype,ad_bathnumber,ad_haslift,property_use,ad_streetname,property_area,ad_modificationdate,ad_hasswimmingpool,ad_urlinactive,ad_unitprice,ad_streetnumber,ad_layerlocation
06/07/2022,1,,0,40.4212985,,3,,2804201001,2,32686567,0,1,122500,3,28213,Calle,1,,,Colmenar del Arroyo,,-4.2007822,,16,70,Madrid,4,1,0,0.49617732743375,141,https://www.idealista.com/98211067,,98211067,522,4587,119,28042,1644,11/12/2023,,1,2,False,,Jose Antonio,,11/12/2023,,https://www.idealista.com/data/app/cid/bXdxQ2todjl2YUluSmdzdlU1Tm5hUT09,1029.41,,0-EU-ES-28-03-009-042
04/10/2023,1,,0,40.4191398,,2,,2804201001,2,36801203,0,1,115000,3,28213,Calle,1,,,Colmenar del Arroyo,,-4.2005527,,0,0,Madrid,4,,0,0.49617732743375,150,https://www.idealista.com/102758888,,102758888,28,2,115,28042,1644,02/11/2023,,1,1,,,Alcalde Santiago Herrero,,02/11/2023,,https://www.idealista.com/data/app/cid/SitlRldoZUwzV3B0S0ZTRTg2b1k5dz09,1000,,0-EU-ES-28-03-009-042
20/10/2022,1,,100,40.41727,,4,8449206UK9784N0007RX,2804201001,1,33650279,75,1,172000,3,28213,Calle,1,True,8449206UK9784N,Colmenar del Arroyo,False,-4.19804,,31,67,Madrid,3,1,0,0.49617732743375,153,https://www.idealista.com/99252531,,99252531,469,2852,135,28042,1644,,2006,1,3,False,V,del Maestro Vega,145,09/04/2023,False,https://www.idealista.com/data/app/cid/ejBscXloSG1zMmczSEhqK1Q5RlJjUT09,1274.07,4,0-EU-ES-28-03-009-042
14/07/2023,1,,,40.4187102,,2,,2804201001,3,102039593,,1,115000,3,28213,,1,False,,Colmenar del Arroyo,False,-4.1986508,,2,11,Madrid,4,,0,0.49617732743375,165,https://www.idealista.com/102039593,,102039593,62,602,115,28042,1644,14/09/2023,,1,1,False,,,,14/09/2023,False,https://www.idealista.com/data/app/cid/VUltYkhnUmlNM01kdGJBbHZmQzRPUT09,1000,,0-EU-ES-28-03-009-042
22/08/2023,1,,100,40.4154924,,4,,2804201001,2,36419323,75,1,226000,3,28213,Calle,1,True,,Colmenar del Arroyo,True,-4.1978537,,5,58,Madrid,3,1,0,0.49617732743375,346,https://www.idealista.com/102343104,,102343104,163,2010,172,28042,1644,,2007,1,3,False,V,San Juan,172,29/01/2024,,https://www.idealista.com/data/app/cid/aUtjUFIvamcxek5KOVhKT0FoUnZkUT09,1313.95,,0-EU-ES-28-03-009-042
26/05/2023,1,,100,40.4251606,,4,8755606UK9785N0001TP,2804201001,1,35690586,75,1,265000,3,28213,Avenida,,True,8755606UK9785N,Colmenar del Arroyo,True,-4.194331,,2,26,Madrid,4,,0,0.49617732743375,811,https://www.idealista.com/101545964,,101545964,180,1398,148,28042,1644,23/11/2023,1978,1,3,,V,Valdemorillo,337,23/11/2023,True,https://www.idealista.com/data/app/cid/RXdNZ0xDdVk0RlROZEEzNnNlTXcwdz09,1790.54,24,0-EU-ES-28-03-009-042
27/03/2023,2,,0,40.4176079,4,3,,2804201001,1,35156731,0,1,280000,2,28213,Desconocida,,True,,Colmenar del Arroyo,False,-4.1987434,,0,54,Madrid,4,,0,0.49617732743375,111,https://www.idealista.com/100940814,,100940814,310,2758,242,28042,1644,31/01/2024,,1,2,,,Padro de los pinos,,31/01/2024,True,https://www.idealista.com/data/app/cid/OEpXNTE5cGRlRHVvaXgwVnZvTm9Zdz09,1157.02,2,0-EU-ES-28-03-009-042
16/08/2021,2,,100,40.417427,4,4,,2804201001,1,29666333,100,1,185000,3,28213,Calle,,False,8652843UK9785S,Colmenar del Arroyo,True,-4.1973398,,37,147,Madrid,3,,1,0.49617732743375,165,https://www.idealista.com/95036083,,95036083,876,7709,120,28042,1644,09/01/2024,1996,1,3,,,del Cura,,29/01/2024,False,https://www.idealista.com/data/app/cid/VXJiMTRydzdUVy9lU0luajZOdktVdz09,1541.67,5,0-EU-ES-28-03-009-042
20/11/2023,2,,100,40.4203102,4,3,,2804201001,2,37236575,75,1,250000,3,28213,Desconocida,,True,,Colmenar del Arroyo,True,-4.1974944,,15,157,Madrid,3,,1,0.49617732743375,337,https://www.idealista.com/103235612,,103235612,73,4725,119,28042,1644,,1980,1,1,,V,Vega,119,29/01/2024,,https://www.idealista.com/data/app/cid/WkRUUlhISThEQURCRG9ZRVF3ZmJrZz09,2100.84,,0-EU-ES-28-03-009-042
16/08/2023,2,,0,40.4211269,4,5,,2804201001,1,36384202,0,1,270000,3,28213,Avenida,,True,,Colmenar del Arroyo,True,-4.1956717,,19,65,Madrid,3,,0,0.49617732743375,371,https://www.idealista.com/102305090,,102305090,169,2250,140,28042,1644,,,1,3,,,de la Pradera,,23/12/2023,True,https://www.idealista.com/data/app/cid/TGlCdStYVlFVY2NDUVc4Mm9Ka1ptUT09,1928.57,3,0-EU-ES-28-03-009-042
21/04/2016,2,,100,40.4124294,4,4,8344305UK9784N0001XH,2804201001,1,8945252,100,1,250000,3,28213,Calle,,False,8344305UK9784N,Colmenar del Arroyo,False,-4.199605,,9,17,Madrid,4,,0,0.49617732743375,692,https://www.idealista.com/33117677,,33117677,2701,1365,198,28042,1644,13/09/2023,2006,1,3,,V,segovia,164,13/09/2023,False,https://www.idealista.com/data/app/cid/Ni9lT2tDdjdKWUc0djVnbW1tb2M4QT09,1262.63,26,0-EU-ES-28-03-009-042
05/11/2023,2,,0,40.4272024,4,4,,2804201001,2,37087503,0,1,265000,3,28213,Desconocida,,True,,Colmenar del Arroyo,True,-4.1944821,,1,17,Madrid,4,,0,0.49617732743375,927,https://www.idealista.com/103071435,,103071435,17,445,228,28042,1644,22/11/2023,,1,2,,,valdemorillo,,22/11/2023,True,https://www.idealista.com/data/app/cid/bzIzRmdVcDZZWFdxZ0RVVkFmbkVWdz09,1162.28,,0-EU-ES-28-03-009-042
06/09/2023,2,,79,40.4279499,4,4,,2804201001,2,36533892,75,1,265000,3,28213,Desconocida,,True,,Colmenar del Arroyo,True,-4.1922655,,2,42,Madrid,4,,0,0.49617732743375,1088,https://www.idealista.com/102466084,,102466084,77,919,228,28042,1644,22/11/2023,1976,1,2,,V,valdemorillo,230,22/11/2023,True,https://www.idealista.com/data/app/cid/Y3NFVFBrdThCcHBRaUpUaXdFWGZHZz09,1162.28,,0-EU-ES-28-03-009-042
24/03/2023,2,,100,40.4298442,4,3,,2804201001,2,35130303,75,1,330000,3,28213,Desconocida,,True,,Colmenar del Arroyo,True,-4.1738436,,2,40,Madrid,3,,1,0.49617732743375,2463,https://www.idealista.com/100913033,,100913033,314,2658,282,28042,1644,,2005,1,3,,V,Olmo,282,16/01/2024,True,https://www.idealista.com/data/app/cid/czFZcjVPS1dBYytUQnFJazZUbFkxZz09,1170.21,,0-EU-ES-28-03-009-042
16/04/2023,2,,100,40.4357655,4,3,,2804201001,2,35317999,75,1,185000,2,28213,Desconocida,,True,,Colmenar del Arroyo,,-4.178524,,33,320,Madrid,3,,11,0.49617732743375,2499,https://www.idealista.com/101122057,,101122057,291,7537,162,28042,1644,,1985,1,1,,V,Olmo,162,25/10/2023,True,https://www.idealista.com/data/app/cid/aUdaZXlBRmw0VHVrd3JMVmNBazYzdz09,1141.98,,0-EU-ES-28-03-009-042
05/05/2022,2,,100,40.4326921,4,4,0566510VK0706N0001IG,2804201001,1,32060183,75,1,219300,3,28213,Desconocida,,,0566510VK0706N,Colmenar del Arroyo,True,-4.1722343,,1,16,Madrid,4,,1,0.49617732743375,2722,https://www.idealista.com/97548055,,97548055,459,2051,238,28042,1644,07/08/2023,2005,1,2,,V,encina,195,07/08/2023,,https://www.idealista.com/data/app/cid/aU5UYW1SUW5iazdLOW5HclkvakhvUT09,921.43,46,0-EU-ES-28-03-009-042
07/02/2023,2,,100,40.4324246,0,4,,2804201001,3,34679416,75,1,259000,2,28213,,,,,Colmenar del Arroyo,,-4.1715315,,1,7,Madrid,4,,0,0.49617732743375,2722,https://www.idealista.com/100404206,,100404206,294,244,238,28042,1644,29/11/2023,2005,1,2,,V,,321,29/11/2023,,https://www.idealista.com/data/app/cid/VFFVTU43bEFEeEhWRzljelRkY1haUT09,1088.24,,0-EU-ES-28-03-009-042
