ad_activationdate,ad_typology,newdevelopment_averageprice,address_certainty,ad_latitude,ad_subtypology,ad_roomnumber,property_cadastralreference,censustract_id,ad_addressvisible,id,cadastral_certainty,ad_operation,ad_price,ad_builttype,ad_postalcode,ad_streettype,ad_floornumber,ad_hasparkingspace,estate_cadastralroot,ad_town,ad_hasboxroom,ad_longitude,newdevelopment_commercialname,adstats_contactsbyemail,adstats_savedasfavorite,ad_province,ad_state,ad_flatlocation,adstats_sendtofriend,layerlocation_area,distance,ad_urlactive,newdevelopment_fromprice,ad_id,adstats_daysonmarket,adstats_visits,ad_area,censustract_town_id,layerlocation_population,ad_deactivationdate,property_builtdate,ad_propertytype,ad_bathnumber,ad_haslift,property_use,ad_streetname,property_area,ad_modificationdate,ad_hasswimmingpool,ad_urlinactive,ad_unitprice,ad_streetnumber,ad_layerlocation
12/12/2023,1,,0,40.8780702,,1,,2802101001,2,37410956,0,1,173000,3,28192,Calle,,,,El Berrueco,,-3.5942058,,2,7,Madrid,4,,0,0.28439472208,2797,https://www.idealista.com/103425199,,103425199,51,492,195,28021,656,01/02/2024,,1,1,,,Lanchar de Losa Morilla,,01/02/2024,,https://www.idealista.com/data/app/cid/elRUWFMwRmhtN2QxWlVaMWtOdE9vZz09,887.18,,0-EU-ES-28-01-006-021
25/08/2023,2,,0,40.8885479,4,1,,2802101001,2,36443449,0,1,180785,3,28192,Calle,,,,El Berrueco,,-3.5611992,,4,31,Madrid,4,,0,0.28439472208,194,https://www.idealista.com/102368989,,102368989,7,470,186,28021,656,01/09/2023,,1,1,,,Losa Morilla,,01/09/2023,,https://www.idealista.com/data/app/cid/aVdWc2hvZ2hGSVM5WGt0TEFxdDYvZz09,971.96,,0-EU-ES-28-01-006-021
24/10/2021,2,,0,40.8893089,4,4,,2802101001,1,30285650,0,1,180785,3,28192,Desconocida,,True,,El Berrueco,True,-3.5629234,,50,345,Madrid,3,,3,0.28439472208,194,https://www.idealista.com/95685985,,95685985,830,9762,195,28021,656,,,1,2,,,LANCHA DE LOSA MORILLA,,30/11/2023,,https://www.idealista.com/data/app/cid/V3c0dnlWVzQ3STRhS3ZwMDE0YzF1dz09,927.1,4,0-EU-ES-28-01-006-021
28/07/2023,2,,100,40.887712,2,3,,2802101001,2,36266742,100,1,249000,3,28192,Calle,,True,,El Berrueco,True,-3.5583772,,5,53,Madrid,3,,1,0.28439472208,243,https://www.idealista.com/102175859,,102175859,188,2714,179,28021,656,,2005,1,3,,,LOS PRADOS,,13/09/2023,,https://www.idealista.com/data/app/cid/SWtiUmJrSWJONjJScTZJWmFpUk9zQT09,1391.06,,0-EU-ES-28-01-006-021
13/11/2023,2,,0,40.8905545,4,4,,2802101001,1,37130098,0,1,320000,3,28192,Calle,,True,,El Berrueco,True,-3.5644158,,5,15,Madrid,4,,0,0.28439472208,381,https://www.idealista.com/103118802,,103118802,11,448,200,28021,656,24/11/2023,,1,2,,,Cortada,,24/11/2023,True,https://www.idealista.com/data/app/cid/Mnozeld5VkU4aTViL3hubHp0VFA0UT09,1600,7,0-EU-ES-28-01-006-021
22/08/2022,2,,100,40.8964231,4,6,3575302VL5237N0001QW,2802101001,1,33044467,75,1,255000,3,28192,Calle,,False,3575302VL5237N,El Berrueco,True,-3.5521017,,18,181,Madrid,4,,3,0.28439472208,1203,https://www.idealista.com/98595568,,98595568,526,5602,180,28021,656,30/01/2024,1981,1,2,,V,Cortada,178,30/01/2024,False,https://www.idealista.com/data/app/cid/N2t0U2VKNlZGODRMZmh3bVVLNThnQT09,1416.67,27,0-EU-ES-28-01-006-021
02/10/2023,2,,0,40.8838363,4,5,,2802101001,1,36778244,0,1,259000,3,28192,Desconocida,,True,,El Berrueco,True,-3.5755776,,17,225,Madrid,3,,3,0.28439472208,1294,https://www.idealista.com/102733210,,102733210,122,4222,250,28021,656,,,1,2,,,M127,,02/10/2023,,https://www.idealista.com/data/app/cid/WUdEOXo0M1dMS1JtWHVPa1pJR3R0dz09,1036,0,0-EU-ES-28-01-006-021
25/07/2023,2,,100,40.8791222,3,4,1058158VL5215N0001XY,2802101001,1,36231709,75,1,210000,3,28192,Camino,,True,1058158VL5215N,El Berrueco,True,-3.5792327,,19,175,Madrid,3,,0,0.28439472208,1811,https://www.idealista.com/102138706,,102138706,191,3912,178,28021,656,,1996,1,2,,V,Viejo de la Cabrera,282,30/01/2024,True,https://www.idealista.com/data/app/cid/SWJwRm1vOHlzeWFlek9Qc1p1WU5mZz09,1179.78,4,0-EU-ES-28-01-006-021
29/11/2023,2,,100,40.8776506,4,5,,2802101001,2,37313350,100,1,395000,3,28192,Camino,,True,,El Berrueco,True,-3.5847817,,0,24,Madrid,3,,0,0.28439472208,2150,https://www.idealista.com/103319408,,103319408,65,883,270,28021,656,,1986,1,2,,,de las Canteras,,24/01/2024,True,https://www.idealista.com/data/app/cid/TUwrQm05eTlVRjlMbzE4Z1lpQjBXQT09,1462.96,,0-EU-ES-28-01-006-021
12/06/2023,2,,100,40.8809876,4,3,,2802101001,2,35838295,75,1,400000,3,28192,Camino,,True,,El Berrueco,True,-3.5866203,,0,13,Madrid,4,,0,0.28439472208,2192,https://www.idealista.com/101706869,,101706869,77,316,250,28021,656,28/08/2023,1980,1,2,,V,de las Canteras,205,28/08/2023,True,https://www.idealista.com/data/app/cid/Z3kwMnBtb3Y3TTFTODQ0cjg0a1Frdz09,1600,,0-EU-ES-28-01-006-021
