ad_activationdate,ad_typology,newdevelopment_averageprice,address_certainty,ad_latitude,ad_subtypology,ad_roomnumber,property_cadastralreference,censustract_id,ad_addressvisible,id,cadastral_certainty,ad_operation,ad_price,ad_builttype,ad_postalcode,ad_streettype,ad_floornumber,ad_hasparkingspace,estate_cadastralroot,ad_town,ad_hasboxroom,ad_longitude,newdevelopment_commercialname,adstats_contactsbyemail,adstats_savedasfavorite,ad_province,ad_state,ad_flatlocation,adstats_sendtofriend,layerlocation_area,distance,ad_urlactive,newdevelopment_fromprice,ad_id,adstats_daysonmarket,adstats_visits,ad_area,censustract_town_id,layerlocation_population,ad_deactivationdate,property_builtdate,ad_propertytype,ad_bathnumber,ad_haslift,property_use,ad_streetname,property_area,ad_modificationdate,ad_hasswimmingpool,ad_urlinactive,ad_unitprice,ad_streetnumber,ad_layerlocation
22/09/2023,2,,0,40.4853955,4,3,,2805601001,3,36691180,0,1,280000,3,28214,,,True,,Fresnedillas de la Oliva,,-4.173155,,12,135,Madrid,4,,2,0.27796942455,19,https://www.idealista.com/102638507,,102638507,67,2952,115,28056,1531,29/11/2023,,1,1,,,,,29/11/2023,,https://www.idealista.com/data/app/cid/cFlmZElUYlVtTlpNMW9LbFBCZDNaUT09,2434.78,,0-EU-ES-28-03-009-056
24/01/2024,2,,,40.4847359,4,3,,2805601001,2,103783569,,1,850000,3,28214,Desconocida,,True,,Fresnedillas de la Oliva,,-4.173673,,0,0,Madrid,3,,0,0.27796942455,19,https://www.idealista.com/103783569,,103783569,8,4,280,28056,1531,,,1,3,,,BUENAVISTA,,24/01/2024,,https://www.idealista.com/data/app/cid/VC9tWlo3Zk1tTlZHeGYrbmNQb25tUT09,3035.71,,0-EU-ES-28-03-009-056
30/08/2015,2,,0,40.4850212,2,3,,2805601001,1,12925290,0,1,250000,3,28214,Calle,,True,,Fresnedillas de la Oliva,False,-4.1732953,,7,22,Madrid,4,,0,0.27796942455,196,https://www.idealista.com/31031224,,31031224,3034,1125,180,28056,1531,20/12/2023,,1,3,,,a,,20/12/2023,False,https://www.idealista.com/data/app/cid/R2hiaGIzWENJN0VDcjFEY093OWVRdz09,1388.89,0,0-EU-ES-28-03-009-056
08/08/2023,2,,100,40.485073,2,4,0624215VK0802S0005WP,2805601001,1,36341318,75,1,270000,3,28214,Calle,,True,0624215VK0802S,Fresnedillas de la Oliva,False,-4.1734309,,3,8,Madrid,4,,0,0.27796942455,198,https://www.idealista.com/102257711,,102257711,13,246,140,28056,1531,21/08/2023,2009,1,2,,V,del Enebro,123,21/08/2023,False,https://www.idealista.com/data/app/cid/TVUwQ3VDOGVTTE5pRktnazNOb0Jtdz09,1928.57,8,0-EU-ES-28-03-009-056
01/08/2023,2,,0,40.484769,2,4,,2805601001,1,36291817,0,1,265000,3,28214,Calle,,True,,Fresnedillas de la Oliva,False,-4.1730343,,27,35,Madrid,3,,1,0.27796942455,210,https://www.idealista.com/102202778,,102202778,111,1657,140,28056,1531,21/11/2023,,1,2,,,de la Encina,,12/01/2024,False,https://www.idealista.com/data/app/cid/NDBFeTFUY3Z1YUFVVHVBNXhlUlBkdz09,1892.86,8,0-EU-ES-28-03-009-056
,2,,0,40.484769,4,4,,2805601001,1,36414886,0,1,270000,3,28214,Calle,,True,,Fresnedillas de la Oliva,False,-4.1730343,,,0,Madrid,4,,0,0.27796942455,210,https://www.idealista.com/102338246,,102338246,8,,140,28056,1531,30/08/2023,,1,2,,,de la Encina,,30/08/2023,False,https://www.idealista.com/data/app/cid/dm11Ni91bEVTT0NhNE1IM29kS0JPUT09,1928.57,8,0-EU-ES-28-03-009-056
03/02/2009,2,,75,40.4848424,3,4,1030203VK0813S0001HR,2805601001,1,1639482,100,1,295000,3,28214,Carretera,,True,1030203VK0813S,Fresnedillas de la Oliva,False,-4.169738,,6,8,Madrid,3,,0,0.27796942455,267,https://www.idealista.com/1698250,,1698250,3127,2059,171,28056,1531,27/08/2017,2002,1,2,,V,de Zarzalejo,169,02/02/2024,False,https://www.idealista.com/data/app/cid/ak9zZml3V2J0Y3RjNjQ3aVJoOGw5dz09,1725.15,7,0-EU-ES-28-03-009-056
21/11/2023,2,,0,40.4880347,4,7,,2805601001,3,37244344,0,1,300000,3,28214,,,,,Fresnedillas de la Oliva,,-4.1692146,,4,25,Madrid,4,,0,0.27796942455,408,https://www.idealista.com/103244827,,103244827,12,716,179,28056,1531,04/12/2023,,1,3,,,,,04/12/2023,,https://www.idealista.com/data/app/cid/TEZVRzVnQW5aNW5vdkM1Z1Y1WUZJdz09,1675.98,,0-EU-ES-28-03-009-056
09/12/2022,2,,100,40.4826031,4,5,,2805601001,3,34214830,75,1,310000,3,28214,,,False,,Fresnedillas de la Oliva,,-4.1719574,,4,79,Madrid,4,,1,0.27796942455,501,https://www.idealista.com/99872630,,99872630,252,1742,250,28056,1531,19/08/2023,1975,1,2,,V,,296,19/08/2023,True,https://www.idealista.com/data/app/cid/Tnl4eDBKOW05QjQ4L28rWjAwOHpqZz09,1240,,0-EU-ES-28-03-009-056
01/12/2022,2,,100,40.4804244,4,5,,2805601001,2,34161789,75,1,310000,3,28214,Desconocida,,,,Fresnedillas de la Oliva,True,-4.1706949,,16,157,Madrid,4,,4,0.27796942455,501,https://www.idealista.com/99813172,,99813172,349,4104,296,28056,1531,16/11/2023,1975,1,2,,V,callejos,296,16/11/2023,True,https://www.idealista.com/data/app/cid/dGF1UGVzZmZoa3E5WXZBZTdZUFIyZz09,1047.3,,0-EU-ES-28-03-009-056
