ad_activationdate,ad_typology,newdevelopment_averageprice,address_certainty,ad_latitude,ad_subtypology,ad_roomnumber,property_cadastralreference,censustract_id,ad_addressvisible,id,cadastral_certainty,ad_operation,ad_price,ad_builttype,ad_postalcode,ad_streettype,ad_floornumber,ad_hasparkingspace,estate_cadastralroot,ad_town,ad_hasboxroom,ad_longitude,newdevelopment_commercialname,adstats_contactsbyemail,adstats_savedasfavorite,ad_province,ad_state,ad_flatlocation,adstats_sendtofriend,layerlocation_area,distance,ad_urlactive,newdevelopment_fromprice,ad_id,adstats_daysonmarket,adstats_visits,ad_area,censustract_town_id,layerlocation_population,ad_deactivationdate,property_builtdate,ad_propertytype,ad_bathnumber,ad_haslift,property_use,ad_streetname,property_area,ad_modificationdate,ad_hasswimmingpool,ad_urlinactive,ad_unitprice,ad_streetnumber,ad_layerlocation
05/02/2022,1,,69,40.9808875,,2,2072504VL4327S0001HX,2806301001,1,31226499,75,1,123850,3,28739,Calle,bj,,2072504VL4327S,Gargantilla del Lozoya,,-3.6922468,,15,228,Madrid,4,1,2,0.23669613281374,2859,https://www.idealista.com/96668088,,96668088,576,5519,104,28063,353,04/09/2023,1980,1,2,False,V,Iglesia,249,04/09/2023,,https://www.idealista.com/data/app/cid/Z0dEM3VaU1I4d3k5T3pqKy9RZDVxUT09,1190.87,3,0-EU-ES-28-01-006-063
03/05/2018,2,,0,40.9645511,4,4,,2806301001,1,17269392,0,1,185000,3,28739,Calle,,True,,Gargantilla del Lozoya,True,-3.7168161,,0,255,Madrid,3,,6,0.23669613281374,149,https://www.idealista.com/40415374,,40415374,538,13717,204,28063,353,23/10/2019,,1,1,,,Profresno,,28/01/2024,False,https://www.idealista.com/data/app/cid/d0NCeTczYzNocUhhYnVFeE1QOU9sQT09,906.86,1,0-EU-ES-28-01-006-063
29/03/2023,2,,100,40.9638886,3,3,,2806301001,3,35170448,75,1,310000,3,28739,,,True,,Gargantilla del Lozoya,True,-3.7150685,,5,69,Madrid,4,,1,0.23669613281374,266,https://www.idealista.com/100957742,,100957742,125,1712,160,28063,353,02/08/2023,2003,1,2,,V,,168,02/08/2023,,https://www.idealista.com/data/app/cid/TEdNNTl2ZTNmMDlaUjhxcVJuZzh4UT09,1937.5,,0-EU-ES-28-01-006-063
18/07/2023,2,,0,40.9644912,4,4,,2806301001,3,36167885,0,1,129000,2,28739,,,True,,Gargantilla del Lozoya,False,-3.7140734,,37,605,Madrid,4,,4,0.23669613281374,301,https://www.idealista.com/102068484,,102068484,113,10586,152,28063,353,08/11/2023,,1,1,,,,,08/11/2023,True,https://www.idealista.com/data/app/cid/eHROVHFTa2REVlRtMEJpTFROVEVkZz09,848.68,,0-EU-ES-28-01-006-063
25/08/2023,2,,100,40.9623388,4,3,,2806301001,3,36448689,75,1,199999,3,28739,,,True,,Gargantilla del Lozoya,True,-3.7162491,,22,230,Madrid,4,,1,0.23669613281374,420,https://www.idealista.com/102374463,,102374463,2,1669,186,28063,353,28/08/2023,1980,1,2,,V,,186,28/08/2023,False,https://www.idealista.com/data/app/cid/RlZEZThCZmxWSVdZcUlJSXlLTE8rdz09,1075.26,,0-EU-ES-28-01-006-063
04/10/2023,2,,100,40.9618554,4,6,,2806301001,2,36798888,75,1,240000,3,28739,Calle,,,,Gargantilla del Lozoya,True,-3.7158279,,,0,Madrid,4,,0,0.23669613281374,574,https://www.idealista.com/102756506,,102756506,13,,178,28063,353,17/10/2023,1992,1,2,,V,fresno,178,17/10/2023,,https://www.idealista.com/data/app/cid/WnhNWGxab0FTb0VCWFVIT2RiQUFvQT09,1348.31,,0-EU-ES-28-01-006-063
04/10/2023,2,,100,40.9589402,4,6,,2806301001,2,36798889,75,1,240000,3,28739,Calle,,,,Gargantilla del Lozoya,True,-3.7132993,,21,169,Madrid,3,,1,0.23669613281374,574,https://www.idealista.com/102756507,,102756507,121,3528,178,28063,353,,1992,1,2,,V,fresno,178,09/01/2024,,https://www.idealista.com/data/app/cid/WU9FMWNRWm5JODNEdTVwNEhMV0U5QT09,1348.31,,0-EU-ES-28-01-006-063
26/06/2023,2,,100,40.959573,4,6,,2806301001,2,35972782,75,1,245000,3,28739,Calle,,False,,Gargantilla del Lozoya,,-3.7156822,,6,106,Madrid,4,,1,0.23669613281374,574,https://www.idealista.com/101854487,,101854487,162,2683,178,28063,353,05/12/2023,1992,1,2,,V,fresno,178,05/12/2023,,https://www.idealista.com/data/app/cid/OEY3QytkNXZqV1hrU2lEaDhoZ3FvUT09,1376.4,,0-EU-ES-28-01-006-063
30/01/2023,2,,100,40.9606251,4,4,,2806301001,2,34595380,75,1,220000,3,28739,Avenida,,True,,Gargantilla del Lozoya,True,-3.7146563,,10,158,Madrid,4,,1,0.23669613281374,578,https://www.idealista.com/100306942,,100306942,215,4827,145,28063,353,02/09/2023,1985,1,2,,V,Principal,145,02/09/2023,False,https://www.idealista.com/data/app/cid/aHFlTm83MEhrZjlSRDBONFRVTTNFQT09,1517.24,,0-EU-ES-28-01-006-063
19/12/2023,2,,100,40.9564542,4,3,0044409VL4304S0001TO,2806301001,1,37462285,75,1,245000,3,28739,Calle,,True,0044409VL4304S,Gargantilla del Lozoya,True,-3.7133613,,10,92,Madrid,3,,1,0.23669613281374,1006,https://www.idealista.com/103481938,,103481938,45,2027,148,28063,353,,1999,1,1,,V,Acacia,146,02/02/2024,False,https://www.idealista.com/data/app/cid/YzhkRmV5SE0zZVd4VkpyNFFVY0VIdz09,1655.41,30,0-EU-ES-28-01-006-063
