ad_activationdate,ad_typology,newdevelopment_averageprice,address_certainty,ad_latitude,ad_subtypology,ad_roomnumber,property_cadastralreference,censustract_id,ad_addressvisible,id,cadastral_certainty,ad_operation,ad_price,ad_builttype,ad_postalcode,ad_streettype,ad_floornumber,ad_hasparkingspace,estate_cadastralroot,ad_town,ad_hasboxroom,ad_longitude,newdevelopment_commercialname,adstats_contactsbyemail,adstats_savedasfavorite,ad_province,ad_state,ad_flatlocation,adstats_sendtofriend,layerlocation_area,distance,ad_urlactive,newdevelopment_fromprice,ad_id,adstats_daysonmarket,adstats_visits,ad_area,censustract_town_id,layerlocation_population,ad_deactivationdate,property_builtdate,ad_propertytype,ad_bathnumber,ad_haslift,property_use,ad_streetname,property_area,ad_modificationdate,ad_hasswimmingpool,ad_urlinactive,ad_unitprice,ad_streetnumber,ad_layerlocation
30/01/2023,2,,76,40.9298065,2,3,,2890101001,3,34404048,76,1,180000,3,28752,,,True,,Lozoyuela-Navas-Sieteiglesias,True,-3.6226601,,32,280,Madrid,4,,5,0.50847189134998,370,https://www.idealista.com/100086757,,100086757,299,6182,149,28901,1188,25/11/2023,2009,1,2,,,,,25/11/2023,False,https://www.idealista.com/data/app/cid/RmZBKzNqRDJxUU9OMjFRZlRZV2liZz09,1208.05,,0-EU-ES-28-01-006-901
20/04/2023,2,,100,40.9273509,2,2,,2890101001,2,35360196,75,1,180000,3,28752,Desconocida,,True,,Lozoyuela-Navas-Sieteiglesias,,-3.6224513,,3,33,Madrid,4,,0,0.50847189134998,422,https://www.idealista.com/101169008,,101169008,172,775,149,28901,1188,10/10/2023,0,1,2,,M,Fresnedilla 1,0,10/10/2023,,https://www.idealista.com/data/app/cid/NnVUc2lFS3dySzBjc05tYnRYV3BWQT09,1208.05,,0-EU-ES-28-01-006-901
19/12/2022,2,,100,40.9287509,2,3,,2890101001,1,34279967,100,1,210000,3,28752,Calle,,True,7712409VL4371S,Lozoyuela-Navas-Sieteiglesias,True,-3.6216714,,7,41,Madrid,4,,0,0.50847189134998,422,https://www.idealista.com/99946479,,99946479,337,2450,145,28901,1188,22/11/2023,2009,1,2,,,Fresnedilla,,22/11/2023,False,https://www.idealista.com/data/app/cid/aW8zek85NCtMbzZjNnAzZm5OUi81UT09,1448.28,1,0-EU-ES-28-01-006-901
23/02/2023,2,,94,40.9301255,2,2,,2890101001,2,34848726,75,1,180000,3,28752,Calle,,True,,Lozoyuela-Navas-Sieteiglesias,,-3.6211913,,4,62,Madrid,4,,1,0.50847189134998,422,https://www.idealista.com/100597495,,100597495,224,2588,149,28901,1188,06/10/2023,1985,1,2,,V,Fresnedilla 1,170,06/10/2023,,https://www.idealista.com/data/app/cid/NXNkNjVMUmROT0MreUJGNWJHcFVMZz09,1208.05,,0-EU-ES-28-01-006-901
19/02/2023,2,,100,40.9277317,4,3,8011902VL4381S0001GD,2890101001,1,34797362,75,1,300000,3,28752,Calle,,True,8011902VL4381S,Lozoyuela-Navas-Sieteiglesias,False,-3.6228044,,0,248,Madrid,3,,1,0.50847189134998,452,https://www.idealista.com/100539101,,100539101,347,7373,215,28901,1188,,1900,1,3,,V,de la Fuente,219,02/08/2023,False,https://www.idealista.com/data/app/cid/cExNRnJHSkI0dTZTTHFsU0JIeW9rQT09,1395.35,8,0-EU-ES-28-01-006-901
06/06/2023,2,,0,40.9310303,4,3,,2890101001,2,35784093,0,1,259000,3,28752,Carretera,,True,,Lozoyuela-Navas-Sieteiglesias,True,-3.6242511,,18,453,Madrid,3,,9,0.50847189134998,788,https://www.idealista.com/101647619,,101647619,241,7027,140,28901,1188,,,1,1,,,Vial Camino,,16/01/2024,,https://www.idealista.com/data/app/cid/RzRZbmZQRER5am5IcllHcExrbDlYUT09,1850,,0-EU-ES-28-01-006-901
20/10/2023,2,,97,40.9315306,4,4,,2890101001,2,36955918,75,1,355000,3,28752,Calle,,True,,Lozoyuela-Navas-Sieteiglesias,True,-3.6287879,,0,15,Madrid,4,,0,0.50847189134998,904,https://www.idealista.com/102928449,,102928449,54,567,278,28901,1188,14/12/2023,2002,1,3,,V,Palancarrilos,278,14/12/2023,,https://www.idealista.com/data/app/cid/c3pyZzF0RFZmNWVGZ1JXcGFJc0xvUT09,1276.98,,0-EU-ES-28-01-006-901
23/09/2022,2,,0,40.9285638,4,4,,2890101001,2,33353786,0,1,225000,2,28752,Carretera,,,,Lozoyuela-Navas-Sieteiglesias,True,-3.6281452,,45,725,Madrid,3,,7,0.50847189134998,1108,https://www.idealista.com/98933021,,98933021,496,13845,148,28901,1188,,,1,2,,,estacion,,01/08/2023,,https://www.idealista.com/data/app/cid/K0E1Qjh0blF0RklBRUs3WlpiTDcvQT09,1520.27,,0-EU-ES-28-01-006-901
27/08/2015,2,,100,40.9357171,4,4,7121718VL4372S0001ME,2890101001,1,12916479,100,1,246000,3,28752,Desconocida,,True,7121718VL4372S,Lozoyuela-Navas-Sieteiglesias,True,-3.627942,,100,816,Madrid,3,,17,0.50847189134998,1345,https://www.idealista.com/31021657,,31021657,2309,19028,175,28901,1188,23/12/2021,1980,1,3,,V,navarro,742,11/12/2023,,https://www.idealista.com/data/app/cid/U0pIdElySWpGTnk4VkNnSkIrb3oxdz09,1405.71,10,0-EU-ES-28-01-006-901
12/12/2022,2,,100,40.9355116,3,3,,2890101001,3,34220574,75,1,205000,3,28754,,,False,,Lozoyuela-Navas-Sieteiglesias,True,-3.5972396,,13,270,Madrid,4,,1,0.50847189134998,1936,https://www.idealista.com/99879153,,99879153,254,4744,100,28901,1188,23/08/2023,1950,1,2,,V,,92,23/08/2023,False,https://www.idealista.com/data/app/cid/bkFBMmY1cDN0SS90b2RBR2QxcVFxZz09,2050,,0-EU-ES-28-01-006-901
07/06/2022,2,,100,40.9342788,3,3,,2890101001,2,32379221,75,1,118000,2,28754,Calle,,,,Lozoyuela-Navas-Sieteiglesias,,-3.5984789,,6,183,Madrid,4,,1,0.50847189134998,2010,https://www.idealista.com/97887796,,97887796,511,11082,137,28901,1188,01/11/2023,1900,1,1,,V,Santa Ana,137,01/11/2023,,https://www.idealista.com/data/app/cid/M3JLVktEemNyam83U24xcURwMVZYUT09,861.31,,0-EU-ES-28-01-006-901
28/12/2022,2,,0,40.9160867,3,3,,2890101001,1,34341618,0,1,237500,3,28753,Calle,,True,,Lozoyuela-Navas-Sieteiglesias,False,-3.5926366,,15,82,Madrid,4,,3,0.50847189134998,2399,https://www.idealista.com/100015788,,100015788,263,2740,163,28901,1188,18/09/2023,,1,3,,,Real,,18/09/2023,False,https://www.idealista.com/data/app/cid/MEJWVi90SFdnaXRMa21UVXMzdHNSZz09,1457.06,50,0-EU-ES-28-01-006-901
28/11/2017,2,,100,40.9160868,3,3,0298801VL5209N0001DQ,2890101001,1,14799174,100,1,218000,3,28753,Calle,,True,0298801VL5209N,Lozoyuela-Navas-Sieteiglesias,True,-3.5923478,,20,93,Madrid,4,,6,0.50847189134998,2420,https://www.idealista.com/38920816,,38920816,2249,2334,166,28901,1188,25/01/2024,0,1,3,,M,Real,0,25/01/2024,False,https://www.idealista.com/data/app/cid/VXVlUGlMalM3NGZQY004V2ZTcDV1Zz09,1313.25,44,0-EU-ES-28-01-006-901
31/10/2014,2,,100,40.9160868,3,3,0298801VL5209N0001DQ,2890101001,1,6381083,100,1,220000,3,28753,Calle,,True,0298801VL5209N,Lozoyuela-Navas-Sieteiglesias,True,-3.5923478,,,0,Madrid,4,,0,0.50847189134998,2420,https://www.idealista.com/29002432,,29002432,3323,,160,28901,1188,06/12/2023,0,1,3,,M,del Real,0,06/12/2023,False,https://www.idealista.com/data/app/cid/MFplcm0zc2hkSmp1L0hCTHVwbE5udz09,1375,44,0-EU-ES-28-01-006-901
